id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,conversation_id,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target
d_nikke_frima_02_1,d_nikke_frima_02,Narration,Locale_NikkeEpisode:d_nikke_frima_02_1,False,CommanderRoom,1,1,1.0,sfx_scn_phonevibration,bgm_story_orangepop,,,,,,,,,,,,,,,
d_nikke_frima_02_2,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_2,False,,1,1,1.0,,,m_nikke_frima_02,,,,,,,,,,,,,,
d_nikke_frima_02_3,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_frima_02_4,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_4,False,NikkeCorridor,black,black,1.0,,,,,,,,,,,,,,,,,
d_nikke_frima_02_5,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_5,True,,2,2,1.0,,,,sugar,sugar,sugar,1,idle,milk,3,idle,,,,,,
d_nikke_frima_02_6,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_6,True,,2,2,1.0,,,,milk,milk,,1,idle,,3,good,,,,,,
d_nikke_frima_02_7,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_7,True,,2,2,1.0,,,,milk,milk,,1,idle,,3,good,,,,,,
d_nikke_frima_02_8,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_8,False,,2,2,1.0,,,,milk,,,1,idle,,3,good,,,,,,
d_nikke_frima_02_9,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_9,True,,2,2,1.0,,,,milk,milk,,1,idle,,3,idle,,,,,,
d_nikke_frima_02_10,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_10,True,,2,2,1.0,,,,milk,milk,,1,idle,,3,idle,,,,,,
d_nikke_frima_02_11,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_11,True,,2,2,1.0,,,,milk,milk,,1,idle,,3,no,,,,,,
d_nikke_frima_02_12,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_12,True,,2,2,1.0,,,,sugar,sugar,,1,idle,,3,no,,,,,,
d_nikke_frima_02_13,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_13,True,,2,2,1.0,,,,milk,milk,,1,idle,,3,no,,,,,,
d_nikke_frima_02_14,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_14,True,,2,2,1.0,,,,sugar,sugar,,1,idle,,3,no,,,,,,
d_nikke_frima_02_15,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_15,False,,2,2,1.0,,,,sugar,,,1,idle,,3,no,,,,,,
d_nikke_frima_02_16,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_16,True,,2,2,1.0,,,,milk,milk,,1,idle,,3,good,,,,,,
d_nikke_frima_02_17,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_17,False,NikkeRoom,black,black,1.0,,,,frima,frima,,1,idle,,3,good,sugar,milk,frima,2,idle,
d_nikke_frima_02_18,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_18,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_19,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_19,False,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,sleep_01,
d_nikke_frima_02_20,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_20,False,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,think,
d_nikke_frima_02_21,d_nikke_frima_02,Narration,Locale_NikkeEpisode:d_nikke_frima_02_21,False,,2,2,1.0,sfx_scn_sofasheet,,,frima,,,,,,,,,,,2,sleep_01,
d_nikke_frima_02_22,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_22,False,,2,2,1.0,,,,frima,,,,,,,,,,,1,sleep_01,
d_nikke_frima_02_23,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_23,False,,2,2,1.0,,,,frima,frima,,,,,,,,,,1,sleep_01,
d_nikke_frima_02_24,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_24,False,,2,2,1.0,,,,frima,frima,,,,,,,,,,1,think,
d_nikke_frima_02_25,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_25,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,sleep_01,
d_nikke_frima_02_26,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_26,False,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,sleep_01,
d_nikke_frima_02_27,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_27,False,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,think,
d_nikke_frima_02_28,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_28,False,,2,2,1.0,,,,frima,,,,,,,,,,,3,sleep_01,
d_nikke_frima_02_29,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_29,False,,2,2,1.0,,,,frima,frima,,,,,,,,,,3,sleep_01,
