id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_eunhwa_tactical_03_1,d_nikke_eunhwa_tactical_03,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_03_1,True,CityForest_02,10,10,1.0,bgm_theruinedcity,,,eunhwa_t,1,idle,
d_nikke_eunhwa_tactical_03_2,d_nikke_eunhwa_tactical_03,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_03_2,True,,10,10,1.0,,,,,1,idle,
d_nikke_eunhwa_tactical_03_3,d_nikke_eunhwa_tactical_03,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_03_3,True,,10,10,1.0,,,,,1,idle,
d_nikke_eunhwa_tactical_03_4,d_nikke_eunhwa_tactical_03,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_03_4,True,,10,100,1.5,,,,,1,idle,
d_nikke_eunhwa_tactical_03_5,d_nikke_eunhwa_tactical_03,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_03_5,False,,100,100,1.0,,,,,1,angry,
d_nikke_eunhwa_tactical_03_6,d_nikke_eunhwa_tactical_03,Self,eunhwa_t,,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_03_6,False,,100,100,1.0,,,,,1,angry,
d_nikke_eunhwa_tactical_03_7,d_nikke_eunhwa_tactical_03,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_03_7,True,,100,10,1.5,,,,,1,idle,
d_nikke_eunhwa_tactical_03_8,d_nikke_eunhwa_tactical_03,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_03_8,True,,10,10,1.0,,,,,1,idle,
d_nikke_eunhwa_tactical_03_9,d_nikke_eunhwa_tactical_03,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_03_9,True,,10,10,1.0,,,,,1,idle,
d_nikke_eunhwa_tactical_03_10,d_nikke_eunhwa_tactical_03,Self,eunhwa_t,,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_03_10,False,,10,10,1.0,,,,,1,idle,
d_nikke_eunhwa_tactical_03_11,d_nikke_eunhwa_tactical_03,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_03_11,True,,10,10,1.0,,,,,1,idle,
d_nikke_eunhwa_tactical_03_12,d_nikke_eunhwa_tactical_03,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_03_12,True,,10,100,1.0,,,,,1,idle,
d_nikke_eunhwa_tactical_03_13,d_nikke_eunhwa_tactical_03,Speech,eunhwa_t,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_03_13,True,,100,100,1.0,,,,,1,idle,
