id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_leona_02_1,d_nikke_leona_02,Speech,leona_no,leona_no,Locale_NikkeEpisode:d_nikke_leona_02_1,False,SchoolCorridor,12,12,1.0,bgm_story_backtonormal,,leona_no,1,sad,timi,3,idle,biscuit,13,sad
d_nikke_leona_02_2,d_nikke_leona_02,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_leona_02_2,False,,12,12,1.0,,,,1,sad,,3,idle,,13,sad
d_nikke_leona_02_3,d_nikke_leona_02,Self,,,Locale_NikkeEpisode:d_nikke_leona_02_3,False,,12,12,1.0,,,,1,sad,,3,idle,,13,sad
d_nikke_leona_02_4,d_nikke_leona_02,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_leona_02_4,True,,12,XS_130,1.0,,,,1,sad,,3,idle,,13,shy
d_nikke_leona_02_5,d_nikke_leona_02,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_leona_02_5,True,,XS_130,XS_130,1.0,,,,1,sad,,3,idle,,13,shy
d_nikke_leona_02_6,d_nikke_leona_02,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_leona_02_6,True,,XS_130,XS_130,1.0,,,,1,sad,,3,idle,,13,shy
d_nikke_leona_02_7,d_nikke_leona_02,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_leona_02_7,True,,XS_130,XS_130,1.0,,,,1,sad,,3,idle,,13,shy
d_nikke_leona_02_8,d_nikke_leona_02,Self,,,Locale_NikkeEpisode:d_nikke_leona_02_8,False,,XS_130,Leo_10,1.0,,,,1,sad,,3,idle,,13,shy
d_nikke_leona_02_9,d_nikke_leona_02,Speech,leona_no,leona_no,Locale_NikkeEpisode:d_nikke_leona_02_9,True,,Leo_10,Leo_10,1.0,,,,1,sad,,3,idle,,13,idle
d_nikke_leona_02_10,d_nikke_leona_02,Speech,leona_no,leona_no,Locale_NikkeEpisode:d_nikke_leona_02_10,True,,Leo_10,Leo_10,1.0,,,,1,sad,,3,idle,,13,idle
d_nikke_leona_02_11,d_nikke_leona_02,Speech,leona_no,leona_no,Locale_NikkeEpisode:d_nikke_leona_02_11,True,,Leo_10,Leo_10,1.0,,,,1,sad,,3,idle,,13,idle
d_nikke_leona_02_12,d_nikke_leona_02,Speech,leona_no,leona_no,Locale_NikkeEpisode:d_nikke_leona_02_12,True,,Leo_10,Leo_10,1.0,,,,1,sad,,3,idle,,13,idle
d_nikke_leona_02_13,d_nikke_leona_02,Speech,leona_no,leona_no,Locale_NikkeEpisode:d_nikke_leona_02_13,True,,Leo_10,Leo_10,1.0,,,,1,sad,,3,idle,,13,idle
d_nikke_leona_02_14,d_nikke_leona_02,Speech,leona_no,leona_no,Locale_NikkeEpisode:d_nikke_leona_02_14,True,,Leo_10,2,1.0,,,,1,sad,,3,idle,,13,idle
d_nikke_leona_02_15,d_nikke_leona_02,Speech,leona_no,leona_no,Locale_NikkeEpisode:d_nikke_leona_02_15,True,,2,2,1.0,,,,1,sad,,3,idle,,13,idle
d_nikke_leona_02_16,d_nikke_leona_02,Speech,timi,timi,Locale_NikkeEpisode:d_nikke_leona_02_16,True,,2,2,1.0,,sfx_scn_whine,,1,sad,,3,sad,,13,idle
d_nikke_leona_02_17,d_nikke_leona_02,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_leona_02_17,True,,2,12,1.0,,,,1,sad,,3,sad,,13,sad
d_nikke_leona_02_18,d_nikke_leona_02,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_leona_02_18,True,,12,12,1.0,,,,1,sad,,3,sad,,13,sad
d_nikke_leona_02_19,d_nikke_leona_02,Speech,leona_no,leona_no,Locale_NikkeEpisode:d_nikke_leona_02_19,True,,12,12,1.0,,,,1,sad,,3,sad,,13,sad
d_nikke_leona_02_20,d_nikke_leona_02,Speech,leona_no,leona_no,Locale_NikkeEpisode:d_nikke_leona_02_20,True,,12,12,1.0,,,,1,sad,,3,sad,,13,sad
d_nikke_leona_02_21,d_nikke_leona_02,Speech,leona_no,leona_no,Locale_NikkeEpisode:d_nikke_leona_02_21,True,,12,12,1.0,,,,1,sad,,3,sad,,13,sad
d_nikke_leona_02_22,d_nikke_leona_02,Speech,leona_no,leona_no,Locale_NikkeEpisode:d_nikke_leona_02_22,True,,12,12,1.0,,,,1,sad,,3,sad,,13,sad
d_nikke_leona_02_23,d_nikke_leona_02,Speech,timi,timi,Locale_NikkeEpisode:d_nikke_leona_02_23,True,,12,2,1.0,,sfx_scn_whine,,1,sad,,3,sad,,13,sad
d_nikke_leona_02_24,d_nikke_leona_02,Speech,leona_no,leona_no,Locale_NikkeEpisode:d_nikke_leona_02_24,True,,2,2,1.0,,,,1,sad,,3,sad,,13,sad
d_nikke_leona_02_25,d_nikke_leona_02,Speech,leona_no,leona_no,Locale_NikkeEpisode:d_nikke_leona_02_25,True,,2,2,1.0,,,,1,sad,,3,sad,,13,sad
d_nikke_leona_02_26,d_nikke_leona_02,Speech,leona_no,leona_no,Locale_NikkeEpisode:d_nikke_leona_02_26,True,,2,2,1.0,,,,1,sad,,3,sad,,13,sad
d_nikke_leona_02_27,d_nikke_leona_02,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_leona_02_27,True,,2,12,1.0,,,,1,sad,,3,sad,,13,sad
d_nikke_leona_02_28,d_nikke_leona_02,Monologue,,,Locale_NikkeEpisode:d_nikke_leona_02_28,False,,12,12,1.0,,,,1,idle,,3,sad,,13,idle
d_nikke_leona_02_29,d_nikke_leona_02,Monologue,,,Locale_NikkeEpisode:d_nikke_leona_02_29,False,,12,12,1.0,,,,1,idle,,3,sad,,13,idle
