id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_mast_romanticmaid_02_1,d_nikke_mast_romanticmaid_02,Monologue,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_02_1,False,OutpostOut,30,S_10,1.5,bgm_story_flipflop,,,,,mast_m,1,idle2,,,,
d_nikke_mast_romanticmaid_02_2,d_nikke_mast_romanticmaid_02,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_02_2,True,,S_10,S_10,1.0,,mast_m,,,,,1,idle2,,,,
d_nikke_mast_romanticmaid_02_3,d_nikke_mast_romanticmaid_02,Self,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_02_3,False,,S_10,S_10,1.0,,,,,,,1,idle2,,,,
d_nikke_mast_romanticmaid_02_4,d_nikke_mast_romanticmaid_02,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_02_4,True,,S_10,S_10,1.0,,mast_m,,,,,1,idle2,,,,
d_nikke_mast_romanticmaid_02_5,d_nikke_mast_romanticmaid_02,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_02_5,True,,S_10,S_10,1.0,,mast_m,,,,,1,idle2,,,,
d_nikke_mast_romanticmaid_02_6,d_nikke_mast_romanticmaid_02,Self,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_02_6,False,,S_10,S_10,1.0,,,,,,,1,idle2,,,,
d_nikke_mast_romanticmaid_02_7,d_nikke_mast_romanticmaid_02,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_02_7,True,,S_10,S_10,1.0,,mast_m,,,,,1,surprise,,,,
d_nikke_mast_romanticmaid_02_8,d_nikke_mast_romanticmaid_02,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_02_8,True,,S_10,S_10,1.0,,mast_m,,,,,1,surprise,,,,
d_nikke_mast_romanticmaid_02_9,d_nikke_mast_romanticmaid_02,Monologue,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_02_9,False,,S_10,S_100,1.0,,,,,,,1,idle,,,,
d_nikke_mast_romanticmaid_02_10,d_nikke_mast_romanticmaid_02,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_02_10,True,,S_100,S_100,1.0,,mast_m,,,,,1,idle,,,,
