id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01,characters/1/hide_char_id,characters/2/hide_char_id,fade
d_nikke_bready_03_1,d_nikke_bready_03,Self,Locale_NikkeEpisode:d_nikke_bready_03_1,False,CommanderRoom_n,16,16,1.0,none,,,,,,,,,,,,,,,,
d_nikke_bready_03_2,d_nikke_bready_03,Monologue,Locale_NikkeEpisode:d_nikke_bready_03_2,False,,16,16,1.0,,,,,,,,,,,,,,,,,
d_nikke_bready_03_3,d_nikke_bready_03,Monologue,Locale_NikkeEpisode:d_nikke_bready_03_3,False,,16,16,1.0,,,,,,,,,,,,,,,,,
d_nikke_bready_03_4,d_nikke_bready_03,Self,Locale_NikkeEpisode:d_nikke_bready_03_4,False,,16,16,1.0,,,,,,,,,,,,,,,,,
d_nikke_bready_03_5,d_nikke_bready_03,Self,Locale_NikkeEpisode:d_nikke_bready_03_5,False,,16,16,1.0,,,,,,,,,,,,,,,,,
d_nikke_bready_03_6,d_nikke_bready_03,Narration,Locale_NikkeEpisode:d_nikke_bready_03_6,False,,16,16,1.0,,sfx_scn_knock,,,,,,,,,,,,,,,
d_nikke_bready_03_7,d_nikke_bready_03,Self,Locale_NikkeEpisode:d_nikke_bready_03_7,False,,16,16,1.0,,,,,,,,,,,,,,,,,
d_nikke_bready_03_8,d_nikke_bready_03,Self,Locale_NikkeEpisode:d_nikke_bready_03_8,False,,16,16,1.0,,,,,,,,,,,,,,,,,
d_nikke_bready_03_9,d_nikke_bready_03,Speech,Locale_NikkeEpisode:d_nikke_bready_03_9,True,,16,16,1.0,,,bready,,,,,,,,,,,,,,
d_nikke_bready_03_10,d_nikke_bready_03,Speech,Locale_NikkeEpisode:d_nikke_bready_03_10,True,,16,16,1.0,,,bready,,,,,,,,,,,,,,
