id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_blanc_02_1,d_nikke_blanc_02,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_02_1,True,City_d,1,1,1.0,bgm_story_sundayintheark,,,,blanc,1,delight,,,,,
d_nikke_blanc_02_2,d_nikke_blanc_02,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_02_2,True,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_blanc_02_3,d_nikke_blanc_02,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_02_3,True,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_blanc_02_4,d_nikke_blanc_02,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_02_4,True,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_blanc_02_5,d_nikke_blanc_02,Self,,Self,Locale_NikkeEpisode:d_nikke_blanc_02_5,False,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_blanc_02_6,d_nikke_blanc_02,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_02_6,True,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_blanc_02_7,d_nikke_blanc_02,Narration,,Narration,Locale_NikkeEpisode:d_nikke_blanc_02_7,False,,1,1,1.0,,sfx_scn_hungry,,,,1,idle,,,,,
d_nikke_blanc_02_8,d_nikke_blanc_02,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_02_8,True,,1,L_10,1.0,,,,,,1,idle,,,,,
d_nikke_blanc_02_9,d_nikke_blanc_02,Self,,Self,Locale_NikkeEpisode:d_nikke_blanc_02_9,False,,L_10,L_10,1.0,,,,,,1,idle,,,,,
d_nikke_blanc_02_10,d_nikke_blanc_02,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_02_10,True,,L_10,L_10,1.0,,,,,,1,delight,,,,,
d_nikke_blanc_02_11,d_nikke_blanc_02,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_02_11,True,,L_10,L_10,1.0,,,,,,1,delight,,,,,
