id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,play_sound,jump_target,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/set_char_anim,characters/0/hide_char_id
d_nikke_aria_03_1,d_nikke_aria_03,Speech,reporter,reporter,Locale_NikkeEpisode:d_nikke_aria_03_1,False,RoyalRoad,black,black,1.0,none,Grey,,,,,,,,,,,,,,,,
d_nikke_aria_03_2,d_nikke_aria_03,Speech,reporter,reporter,Locale_NikkeEpisode:d_nikke_aria_03_2,False,,black,black,1.0,,Grey,,,,,,,,,,,,,,,,
d_nikke_aria_03_3,d_nikke_aria_03,Speech,reporter,reporter,Locale_NikkeEpisode:d_nikke_aria_03_3,False,,black,black,1.0,,Grey,audience02,5,,,,,,,,,,,,,,
d_nikke_aria_03_4,d_nikke_aria_03,Speech,audience02,audience02,Locale_NikkeEpisode:d_nikke_aria_03_4,True,,50,50,1.0,,Grey,,5,,,,,,,,,,,,,,
d_nikke_aria_03_5,d_nikke_aria_03,Speech,audience02,audience02,Locale_NikkeEpisode:d_nikke_aria_03_5,True,,50,50,1.0,,Grey,,5,,,,,,,,,,,,,,
d_nikke_aria_03_6,d_nikke_aria_03,Speech,audience02,audience02,Locale_NikkeEpisode:d_nikke_aria_03_6,True,,50,50,1.0,,Grey,,5,,,,,,,,,,,,,,
d_nikke_aria_03_7,d_nikke_aria_03,Speech,audience02,audience02,Locale_NikkeEpisode:d_nikke_aria_03_7,True,,50,50,1.0,,Grey,,5,,,,,,,,,,,,,,
d_nikke_aria_03_8,d_nikke_aria_03,Speech,audience02,audience02,Locale_NikkeEpisode:d_nikke_aria_03_8,True,,50,50,1.0,,Grey,,5,,,,,,,,,,,,,,
d_nikke_aria_03_9,d_nikke_aria_03,Speech,audience02,audience02,Locale_NikkeEpisode:d_nikke_aria_03_9,True,,50,50,1.0,,Grey,,5,,,,,,,,,,,,,,
d_nikke_aria_03_10,d_nikke_aria_03,Speech,audience02,audience02,Locale_NikkeEpisode:d_nikke_aria_03_10,True,,50,50,1.0,,Grey,,5,,,,,,,,,,,,,,
d_nikke_aria_03_11,d_nikke_aria_03,Speech,audience02,audience02,Locale_NikkeEpisode:d_nikke_aria_03_11,True,,50,50,1.0,,Grey,,5,,,,,,,,,,,,,,
d_nikke_aria_03_12,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_12,False,Office,10,10,1.0,bgm_story_backtonormal,,,5,aria,1,think,,,,,,,,,,,
d_nikke_aria_03_13,d_nikke_aria_03,Speech,tvvoice,tvvoice,Locale_NikkeEpisode:d_nikke_aria_03_13,False,,10,10,1.0,,,,5,,1,think,,,,,,,,,,,
d_nikke_aria_03_14,d_nikke_aria_03,Speech,tvvoice,tvvoice,Locale_NikkeEpisode:d_nikke_aria_03_14,False,,10,10,1.0,,,,5,,1,think,,,,,,,,,,,
d_nikke_aria_03_15,d_nikke_aria_03,Speech,tvvoice,tvvoice,Locale_NikkeEpisode:d_nikke_aria_03_15,False,,10,10,1.0,,,,5,,1,think,,,,,,,,,,,
d_nikke_aria_03_16,d_nikke_aria_03,Self,,Self,Locale_NikkeEpisode:d_nikke_aria_03_16,False,,10,10,1.0,,,,5,,1,think,audience02,sfx_scn_remotesignal,,,,,,,,,
d_nikke_aria_03_17,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_17,True,,10,1,1.0,,,,,,1,think,,,,,,,,,,,
d_nikke_aria_03_18,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_18,True,,1,1,1.0,,,,,,1,think,,,,,,,,,,,
d_nikke_aria_03_19,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_19,True,,1,1,1.0,,,,,,1,idle,,,,,,,,,,,
d_nikke_aria_03_20,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_20,True,,1,1,1.0,,,,,,1,idle,,,,,,,,,,,
d_nikke_aria_03_21,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_21,True,,1,10,1.0,,,,,,1,idle,,,,,,,,,,,
d_nikke_aria_03_22,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_22,True,,10,10,1.0,,,,,,1,idle,,,,,,,,,,,
d_nikke_aria_03_23,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_23,True,,10,10,1.0,,,,,,1,idle,,,,,,,,,,,
d_nikke_aria_03_24,d_nikke_aria_03,Choice,,,Locale_NikkeEpisode:d_nikke_aria_03_24,False,,10,10,1.0,,,,,,1,idle,,,d_nikke_aria_03_26,,,,,,,,
d_nikke_aria_03_25,d_nikke_aria_03,Choice,,,Locale_NikkeEpisode:d_nikke_aria_03_25,False,,10,10,1.0,,,,,,1,idle,,,d_nikke_aria_03_29,,,,,,,,
d_nikke_aria_03_26,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_26,True,,10,10,1.0,,,,,,1,idle,,,,,,,,,,,
d_nikke_aria_03_27,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_27,True,,10,10,1.0,,,,,,1,idle,,,,,,,,,,,
d_nikke_aria_03_28,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_28,True,,10,10,1.0,,,,,,1,idle,,,d_nikke_aria_03_31,,,,,,,,
d_nikke_aria_03_29,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_29,True,,10,10,1.0,,,,,,1,idle,,,,,,,,,,,
d_nikke_aria_03_30,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_30,True,,10,10,1.0,,,,,,1,idle,,,d_nikke_aria_03_31,,,,,,,,
d_nikke_aria_03_31,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_31,False,,10,1,1.0,,,,,,1,think,,,,,,,,,,,
d_nikke_aria_03_32,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_32,True,,1,1,1.0,,,,,,1,think,,,,,,,,,,,
d_nikke_aria_03_33,d_nikke_aria_03,Speech,aria,aria,Locale_NikkeEpisode:d_nikke_aria_03_33,True,,1,1,1.0,,,anis,15,,1,idle,,,,neon,17,surprise,rapi,19,idle,,
