id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade
d_nikke_tia_04_1,d_nikke_tia_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_tia_04_1,False,CommanderRoom,black,black,1.0,bgm_story_orangepop,,,,,,,,,,,,
d_nikke_tia_04_2,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_2,True,,1,1,1.0,,tia,tia,1,idle,,,,,,,,
d_nikke_tia_04_3,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_3,True,,1,1,1.0,,tia,,1,idle,,,,,,,,
d_nikke_tia_04_4,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_4,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_5,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_5,True,,1,1,1.0,,tia,,1,idle,,,,,,,,
d_nikke_tia_04_6,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_6,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_7,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_7,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_8,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_8,True,,1,1,2.0,,tia,,1,think,,,,,,,,
d_nikke_tia_04_9,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_9,True,,1,1,1.0,,tia,,1,think,,,,,,,,
d_nikke_tia_04_10,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_10,True,,1,1,1.0,,tia,,1,think,,,,,,,,
d_nikke_tia_04_11,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_11,True,,1,1,1.0,,tia,,1,delight,,,,,,,,
d_nikke_tia_04_12,d_nikke_tia_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_tia_04_12,False,,1,10,1.0,,,,1,delight,,,,,,,,
d_nikke_tia_04_13,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_13,False,,10,10,1.0,,,,1,delight,,,,,,,,
d_nikke_tia_04_14,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_14,True,,10,10,1.0,,tia,,1,delight,,,,,,,,
d_nikke_tia_04_15,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_15,True,,10,10,1.0,,tia,,1,delight,,,,,,,,
d_nikke_tia_04_16,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_16,True,,10,10,1.0,,tia,,1,delight,,,,,,,,
