id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/2/hide_char_id
d_nikke_eunhwa_tactical_01_1,d_nikke_eunhwa_tactical_01,Monologue,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_1,False,CityForest_03,1,1,1.0,bgm_emergency,,,,,,,,,,,,,,
d_nikke_eunhwa_tactical_01_2,d_nikke_eunhwa_tactical_01,Monologue,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_2,False,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_eunhwa_tactical_01_3,d_nikke_eunhwa_tactical_01,Monologue,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_3,False,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_eunhwa_tactical_01_4,d_nikke_eunhwa_tactical_01,Monologue,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_4,False,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_eunhwa_tactical_01_5,d_nikke_eunhwa_tactical_01,Monologue,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_5,False,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_eunhwa_tactical_01_6,d_nikke_eunhwa_tactical_01,Narration,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_6,False,,1,10,1.0,,sfx_scn_rapturecry,,,,,,,,,,,,,
d_nikke_eunhwa_tactical_01_7,d_nikke_eunhwa_tactical_01,Self,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_7,False,,10,10,1.0,,,,,,,,,,,,,,,
d_nikke_eunhwa_tactical_01_8,d_nikke_eunhwa_tactical_01,Monologue,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_8,False,,10,10,1.0,,,,,,,,,,,,,,,
d_nikke_eunhwa_tactical_01_9,d_nikke_eunhwa_tactical_01,Monologue,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_9,False,,10,10,1.0,,,,,,,,,,,,,,,
d_nikke_eunhwa_tactical_01_10,d_nikke_eunhwa_tactical_01,Speech,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_10,True,,black,black,1.0,,sfx_scn_walkiesignal,eunhwa_t_op_c,,,,,,,,,,,,
d_nikke_eunhwa_tactical_01_11,d_nikke_eunhwa_tactical_01,Speech,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_11,True,,1,1,1.0,,,eunhwa_t_op_c,eunhwa_t_op_c,OP_center,idle,,,,,,,,,
d_nikke_eunhwa_tactical_01_12,d_nikke_eunhwa_tactical_01,Speech,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_12,True,,1,1,1.0,,,eunhwa_t_op_c,,OP_center,idle,,,,,,,,,
d_nikke_eunhwa_tactical_01_13,d_nikke_eunhwa_tactical_01,Self,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_13,False,,1,1,1.0,,,,,OP_center,idle,,,,,,,,,
d_nikke_eunhwa_tactical_01_14,d_nikke_eunhwa_tactical_01,Speech,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_14,True,,1,1,1.0,,,eunhwa_t_op_c,,OP_center,angry,,,,,,,,,
d_nikke_eunhwa_tactical_01_15,d_nikke_eunhwa_tactical_01,Self,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_15,False,,1,1,1.0,,,,,OP_center,angry,,,,,,,,,
d_nikke_eunhwa_tactical_01_16,d_nikke_eunhwa_tactical_01,Speech,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_16,True,,1,1,1.0,,,eunhwa_t_op_c,,OP_center,angry,,,,,,,,,
d_nikke_eunhwa_tactical_01_17,d_nikke_eunhwa_tactical_01,Speech,eunhwa_t_op_c,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_01_17,True,,1,1,1.0,,,eunhwa_t_op_c,,OP_center,idle,,,,,,,,,
