id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,jump_target,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_eunhwa_05_1,d_nikke_eunhwa_05,Monologue,Locale_NikkeEpisode:d_nikke_eunhwa_05_1,False,ElevatorOut,black,black,1.0,none,,,,,,,,,,,,,,,
d_nikke_eunhwa_05_2,d_nikke_eunhwa_05,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_05_2,True,,1,1,1.0,,eunhwa,eunhwa,eunhwa,1,idle,Grey,,,,,,,,,
d_nikke_eunhwa_05_3,d_nikke_eunhwa_05,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_05_3,True,,1,1,1.0,,eunhwa,eunhwa,,1,idle,Grey,,,,,,,,,
d_nikke_eunhwa_05_4,d_nikke_eunhwa_05,Monologue,Locale_NikkeEpisode:d_nikke_eunhwa_05_4,False,,1,1,1.0,,eunhwa,,,1,idle,Grey,,,,,,,,,
d_nikke_eunhwa_05_5,d_nikke_eunhwa_05,Monologue,Locale_NikkeEpisode:d_nikke_eunhwa_05_5,False,,1,1,1.0,,eunhwa,,,1,idle,Grey,,,,,,,,,
d_nikke_eunhwa_05_6,d_nikke_eunhwa_05,Monologue,Locale_NikkeEpisode:d_nikke_eunhwa_05_6,False,,1,1,1.0,,eunhwa,,,1,idle,Grey,,,,,,,,,
d_nikke_eunhwa_05_7,d_nikke_eunhwa_05,Monologue,Locale_NikkeEpisode:d_nikke_eunhwa_05_7,False,WasteLand_02_n,black,black,1.0,ambient_scn_wind,,,,1,idle,,,,,,,,,,
d_nikke_eunhwa_05_8,d_nikke_eunhwa_05,Choice,Locale_NikkeEpisode:d_nikke_eunhwa_05_8,False,,16,16,1.0,,,,,1,idle,,d_nikke_eunhwa_05_10,,,,,,,,
d_nikke_eunhwa_05_9,d_nikke_eunhwa_05,Choice,Locale_NikkeEpisode:d_nikke_eunhwa_05_9,False,,16,16,1.0,,,,,1,idle,,d_nikke_eunhwa_05_11,,,,,,,,
d_nikke_eunhwa_05_10,d_nikke_eunhwa_05,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_05_10,True,,16,1,1.0,,eunhwa,eunhwa,,1,idle,,d_nikke_eunhwa_05_15,,,,,,,,
d_nikke_eunhwa_05_11,d_nikke_eunhwa_05,Monologue,Locale_NikkeEpisode:d_nikke_eunhwa_05_11,False,,16,16,1.0,,,,,1,idle,,,,,,,,,,
d_nikke_eunhwa_05_12,d_nikke_eunhwa_05,Monologue,Locale_NikkeEpisode:d_nikke_eunhwa_05_12,False,,16,16,1.0,,,,,1,idle,,,,,,,,,,
d_nikke_eunhwa_05_13,d_nikke_eunhwa_05,Monologue,Locale_NikkeEpisode:d_nikke_eunhwa_05_13,False,,16,16,1.0,,,,,1,idle,,,,,,,,,,
d_nikke_eunhwa_05_14,d_nikke_eunhwa_05,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_05_14,True,,16,1,1.0,,eunhwa,eunhwa,,1,idle,,,,,,,,,,
d_nikke_eunhwa_05_15,d_nikke_eunhwa_05,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_05_15,True,,1,1,1.0,,eunhwa,eunhwa,,1,idle,,,,,,,,,,
d_nikke_eunhwa_05_16,d_nikke_eunhwa_05,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_05_16,True,,1,1,1.0,,eunhwa,eunhwa,,1,idle,,,,,,,,,,
d_nikke_eunhwa_05_17,d_nikke_eunhwa_05,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_05_17,True,,1,1,1.0,,eunhwa,eunhwa,,1,idle,,,,,,,,,,
d_nikke_eunhwa_05_18,d_nikke_eunhwa_05,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_05_18,True,,1,1,1.0,,eunhwa,eunhwa,,1,idle,,,,,,,,,,
d_nikke_eunhwa_05_19,d_nikke_eunhwa_05,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_05_19,True,,1,1,1.0,,eunhwa,eunhwa,,1,idle,,,,,,,,,,
d_nikke_eunhwa_05_20,d_nikke_eunhwa_05,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_05_20,True,,1,1,1.0,,eunhwa,eunhwa,,1,idle,,,,,,,,,,
d_nikke_eunhwa_05_21,d_nikke_eunhwa_05,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_05_21,True,,1,1,1.0,,eunhwa,eunhwa,,1,delight,,,,,,,,,,
d_nikke_eunhwa_05_22,d_nikke_eunhwa_05,Self,Locale_NikkeEpisode:d_nikke_eunhwa_05_22,False,,1,1,1.0,,eunhwa,,,1,delight,,,,,,,,,,
d_nikke_eunhwa_05_23,d_nikke_eunhwa_05,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_05_23,True,,1,1,1.0,,eunhwa,eunhwa,,1,delight,,,,,,,,,,
d_nikke_eunhwa_05_24,d_nikke_eunhwa_05,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_05_24,True,,1,1,1.0,,eunhwa,eunhwa,,1,delight,,,,,,,,,,
d_nikke_eunhwa_05_25,d_nikke_eunhwa_05,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_05_25,True,,1,1,1.0,,eunhwa,eunhwa,,1,delight,,,,,,,,,,
d_nikke_eunhwa_05_26,d_nikke_eunhwa_05,Choice,Locale_NikkeEpisode:d_nikke_eunhwa_05_26,False,,1,1,1.0,,eunhwa,,,1,delight,,d_nikke_eunhwa_05_28,,,,,,,,
