id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake
d_nikke_snowwhite_young_01_1,d_nikke_snowwhite_young_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_1,False,Armory,L_140,L_140,1.0,sfx_scn_metalpartsassemble2,none,,,,,,,,,,,,,,
d_nikke_snowwhite_young_01_2,d_nikke_snowwhite_young_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_2,False,,L_140,L_140,1.0,,,,,,,,,,,,,,,,
d_nikke_snowwhite_young_01_3,d_nikke_snowwhite_young_01,Speech,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_3,True,,L_140,L_140,1.0,,bgm_story_tuffguys,commander,commander,14,idle,,,,,,,,,,
d_nikke_snowwhite_young_01_4,d_nikke_snowwhite_young_01,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_4,True,,L_140,12,1.0,,,snowwhite_o,,14,idle,snowwhite_o,12,idle,,,,,,,
d_nikke_snowwhite_young_01_5,d_nikke_snowwhite_young_01,Speech,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_5,True,,12,13,1.0,,,commander,,14,idle,,12,idle,,,,,,,
d_nikke_snowwhite_young_01_6,d_nikke_snowwhite_young_01,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_6,True,,13,13,1.0,,,snowwhite_o,,14,idle,,12,shy,,,,,,,
d_nikke_snowwhite_young_01_7,d_nikke_snowwhite_young_01,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_7,True,,13,13,1.0,,,snowwhite_o,,14,idle,,12,shy,,,,,,,
d_nikke_snowwhite_young_01_8,d_nikke_snowwhite_young_01,Speech,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_8,True,,13,13,1.0,,,commander,,14,idle,,12,shy,,,,,,,
d_nikke_snowwhite_young_01_9,d_nikke_snowwhite_young_01,Speech,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_9,True,,13,13,1.0,,,commander,,14,idle,,12,shy,,,,,,,
d_nikke_snowwhite_young_01_10,d_nikke_snowwhite_young_01,Speech,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_10,True,,13,13,1.0,,,commander,,14,idle,,12,shy,,,,,,,
d_nikke_snowwhite_young_01_11,d_nikke_snowwhite_young_01,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_11,True,,13,13,1.0,,,snowwhite_o,,14,idle,,12,shy,,,,,,,
d_nikke_snowwhite_young_01_12,d_nikke_snowwhite_young_01,Speech,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_12,True,,13,13,1.0,,,commander,,14,idle,,12,shy,,,,,,,
d_nikke_snowwhite_young_01_13,d_nikke_snowwhite_young_01,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_13,True,,12,S_120,0.6,,,snowwhite_o,,14,idle,,12,surprise,,,,,,,
d_nikke_snowwhite_young_01_14,d_nikke_snowwhite_young_01,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_14,True,,S_120,S_120,1.0,,,snowwhite_o,,14,idle,,12,surprise,,,,,,,
d_nikke_snowwhite_young_01_15,d_nikke_snowwhite_young_01,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_15,True,,S_120,S_120,1.0,,,snowwhite_o,,14,idle,,12,surprise,,,,,,,
d_nikke_snowwhite_young_01_16,d_nikke_snowwhite_young_01,Speech,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_16,True,,S_120,13,1.0,,,commander,,14,idle,,12,surprise,,,,,,,
d_nikke_snowwhite_young_01_17,d_nikke_snowwhite_young_01,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_17,True,,13,13,1.0,,,snowwhite_o,,14,idle,,12,shy,,,,,,,
d_nikke_snowwhite_young_01_18,d_nikke_snowwhite_young_01,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_18,True,,13,13,1.0,,,snowwhite_o,,14,idle,,12,shy,,,,,,,
d_nikke_snowwhite_young_01_19,d_nikke_snowwhite_young_01,Speech,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_19,True,,13,13,1.0,,,commander,,14,delight,,12,shy,,,,,,,
d_nikke_snowwhite_young_01_20,d_nikke_snowwhite_young_01,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_20,True,,12,S_120,0.6,,,snowwhite_o,,14,delight,,12,angry,,,,,,,
d_nikke_snowwhite_young_01_21,d_nikke_snowwhite_young_01,Speech,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_21,True,,S_120,S_120,1.0,,,commander,,14,idle,,12,angry,,,,,,,
d_nikke_snowwhite_young_01_22,d_nikke_snowwhite_young_01,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_22,True,,S_120,S_120,1.0,,,snowwhite_o,,14,idle,,12,shy,,,,,,,
d_nikke_snowwhite_young_01_23,d_nikke_snowwhite_young_01,Speech,commander,Locale_NikkeEpisode:d_nikke_snowwhite_young_01_23,True,,S_120,S_120,1.0,,,commander,,14,idle,,12,shy,,,,,,,
