id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_nikke_julia_01_1,d_nikke_julia_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_julia_01_1,True,Backstreet_n,S_70,S_70,1.0,bgm_story_herecomestrouble,,,,,,rapi,3,idle,anis,5,idle,neon,7,idle
d_nikke_julia_01_2,d_nikke_julia_01,Self,neon,,Locale_NikkeEpisode:d_nikke_julia_01_2,False,,S_70,S_70,1.0,,,,,,,,3,idle,,5,idle,,7,idle
d_nikke_julia_01_3,d_nikke_julia_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_julia_01_3,True,,S_30,S_30,1.0,,,,,,,,3,idle,,5,idle,,7,idle
d_nikke_julia_01_4,d_nikke_julia_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_julia_01_4,True,,S_70,S_70,1.0,,,,,,,,3,idle,,5,idle,,7,no
d_nikke_julia_01_5,d_nikke_julia_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_julia_01_5,True,,S_70,S_70,1.0,,,,,,,,3,idle,,5,idle,,7,no
d_nikke_julia_01_6,d_nikke_julia_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_julia_01_6,True,,S_30,S_30,1.0,,,,,,,,3,idle,,5,idle,,7,no
d_nikke_julia_01_7,d_nikke_julia_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_julia_01_7,True,,S_30,S_30,1.0,,,,,,,,3,idle,,5,idle,,7,no
d_nikke_julia_01_8,d_nikke_julia_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_julia_01_8,True,,S_30,4,2.0,,,,,,,,3,idle,,5,worry,,7,idle
d_nikke_julia_01_9,d_nikke_julia_01,Self,anis,,Locale_NikkeEpisode:d_nikke_julia_01_9,False,,4,4,1.0,,,,,,,,3,idle,,5,worry,,7,idle
d_nikke_julia_01_10,d_nikke_julia_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_julia_01_10,True,,4,50,0.5,,,,,,,,3,idle,,5,angry,,7,idle
d_nikke_julia_01_11,d_nikke_julia_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_julia_01_11,True,,50,50,1.0,,,,,,,,3,idle,,5,angry,,7,idle
d_nikke_julia_01_12,d_nikke_julia_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_julia_01_12,True,,50,500,0.5,,,,,,,,3,idle,,5,angry,,7,idle
d_nikke_julia_01_13,d_nikke_julia_01,Narration,anis,,Locale_NikkeEpisode:d_nikke_julia_01_13,False,,500,6,0.5,,sfx_scn_violin,,,,,,3,idle,,5,angry,,7,idle
d_nikke_julia_01_14,d_nikke_julia_01,Self,anis,,Locale_NikkeEpisode:d_nikke_julia_01_14,False,,6,6,1.0,,,,,,,,3,idle,,5,worry,,7,surprise
d_nikke_julia_01_15,d_nikke_julia_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_julia_01_15,True,,6,6,1.0,,,,,,,,3,idle,,5,worry,,7,surprise
d_nikke_julia_01_16,d_nikke_julia_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_julia_01_16,True,,6,6,1.0,,,,,,,,3,idle,,5,angry,,7,surprise
d_nikke_julia_01_17,d_nikke_julia_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_julia_01_17,True,,6,6,1.0,,,,,,,,3,idle,,5,angry,,7,surprise
d_nikke_julia_01_18,d_nikke_julia_01,Narration,rapi,,Locale_NikkeEpisode:d_nikke_julia_01_18,False,none,black,black,1.0,,sfx_scn_violin,,,,,,3,idle,,5,angry,,7,surprise
d_nikke_julia_01_19,d_nikke_julia_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_julia_01_19,True,Backstreet_n,6,S_70,0.5,bgm_story_crawlinganxiety,,,,,,,3,idle,,5,angry,,7,surprise
d_nikke_julia_01_20,d_nikke_julia_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_julia_01_20,True,,S_70,500,0.5,,,,,,,,3,idle,,5,angry,,7,surprise
d_nikke_julia_01_21,d_nikke_julia_01,Speech,unknown,unknown,Locale_NikkeEpisode:d_nikke_julia_01_21,False,,500,5,2.0,,,,,,,,3,idle,,5,angry,,7,surprise
d_nikke_julia_01_22,d_nikke_julia_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_julia_01_22,True,,5,4,0.5,,,Low_2,,,,,3,idle,,5,angry,,7,surprise
d_nikke_julia_01_23,d_nikke_julia_01,Monologue,anis,,Locale_NikkeEpisode:d_nikke_julia_01_23,False,,4,4,1.0,none,,,,,,,4,idle,,5,angry,,7,surprise
d_nikke_julia_01_24,d_nikke_julia_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_julia_01_24,False,,4,4,1.0,,,,,,,,4,idle,,5,worry,,7,surprise
d_nikke_julia_01_25,d_nikke_julia_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_julia_01_25,True,,4,4,1.0,,,,,,,,4,angry,,5,worry,,7,surprise
d_nikke_julia_01_26,d_nikke_julia_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_julia_01_26,True,,4,4,1.0,,,,,,,,4,idle,,5,worry,,7,surprise
d_nikke_julia_01_27,d_nikke_julia_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_julia_01_27,False,,4,50,1.0,,,,,,,,4,idle,,5,worry,,7,surprise
d_nikke_julia_01_28,d_nikke_julia_01,Speech,anis,unknown,Locale_NikkeEpisode:d_nikke_julia_01_28,False,,50,50,2.0,,,,,,,,4,idle,,5,worry,,7,surprise
