id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,jump_target,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,fade
d_nikke_epinel_05_1,d_nikke_epinel_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_epinel_05_1,False,City,15,1,1.0,bgm_story_mustang,,,,,,,,,,,,,,,,,
d_nikke_epinel_05_2,d_nikke_epinel_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_epinel_05_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,
d_nikke_epinel_05_3,d_nikke_epinel_05,Speech,unknown,Locale_NikkeEpisode:d_nikke_epinel_05_3,True,,1,15,0.5,,unknown,mustang,15,delight,,,,,,,,,,,,,
d_nikke_epinel_05_4,d_nikke_epinel_05,Speech,unknown,Locale_NikkeEpisode:d_nikke_epinel_05_4,True,,15,L_150,0.5,,unknown,,15,delight,,,,,,,,,,,,,
d_nikke_epinel_05_5,d_nikke_epinel_05,Speech,mustang,Locale_NikkeEpisode:d_nikke_epinel_05_5,True,,L_150,L_150,1.0,,mustang,,15,delight,,,,,,,,,,,,,
d_nikke_epinel_05_6,d_nikke_epinel_05,Speech,mustang,Locale_NikkeEpisode:d_nikke_epinel_05_6,True,,L_150,L_150,1.0,,mustang,,15,delight,,,,,,,,,,,,,
d_nikke_epinel_05_7,d_nikke_epinel_05,Speech,mustang,Locale_NikkeEpisode:d_nikke_epinel_05_7,True,,L_150,L_150,1.0,,mustang,,15,delight,,,,,,,,,,,,,
d_nikke_epinel_05_8,d_nikke_epinel_05,Speech,mustang,Locale_NikkeEpisode:d_nikke_epinel_05_8,True,,L_150,5,1.0,,mustang,,15,idle,,,,,,,,,,,,,
d_nikke_epinel_05_9,d_nikke_epinel_05,Speech,teenagerfans,Locale_NikkeEpisode:d_nikke_epinel_05_9,False,,5,50,1.0,,teenagerfans,,15,idle,sfx_scn_crowdcheer,Low_2,,,,,,,,,,,
d_nikke_epinel_05_10,d_nikke_epinel_05,Speech,teenagerfans,Locale_NikkeEpisode:d_nikke_epinel_05_10,False,,50,500,1.0,,teenagerfans,,15,idle,,Low_2,,,,,,,,,,,
d_nikke_epinel_05_11,d_nikke_epinel_05,Speech,mustang,Locale_NikkeEpisode:d_nikke_epinel_05_11,True,,15,15,1.0,,mustang,,15,good,,,,,,,,,,,,,
d_nikke_epinel_05_12,d_nikke_epinel_05,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_05_12,False,,15,1,1.0,,epinel,,15,good,,,epinel,1,pain,,,,,,,,
d_nikke_epinel_05_13,d_nikke_epinel_05,Self,Self,Locale_NikkeEpisode:d_nikke_epinel_05_13,False,,1,1,1.0,,epinel,,15,good,,,,1,pain,mustang,,,,,,,
d_nikke_epinel_05_14,d_nikke_epinel_05,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_05_14,True,,1,1,1.0,,epinel,,,,,,,1,pain,,,,,,,,
d_nikke_epinel_05_15,d_nikke_epinel_05,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_05_15,True,,1,1,1.0,,epinel,,,,,,,1,pain,,,,,,,,
