id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
d_nikke_bready_02_1,d_nikke_bready_02,Narration,Locale_NikkeEpisode:d_nikke_bready_02_1,False,CommanderRoom,2,2,1.0,sfx_scn_knock,none,,,,,,,,,,
d_nikke_bready_02_2,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_2,True,,2,2,1.0,,,bready,bready,,,,,,,,
d_nikke_bready_02_3,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_3,True,,2,2,1.0,,,bready,bready,,,,,,,,
d_nikke_bready_02_4,d_nikke_bready_02,Monologue,Locale_NikkeEpisode:d_nikke_bready_02_4,False,,2,2,1.0,,,bready,,,,,,,,,
d_nikke_bready_02_5,d_nikke_bready_02,Monologue,Locale_NikkeEpisode:d_nikke_bready_02_5,False,,2,2,1.0,,,bready,,,,,,,,,
d_nikke_bready_02_6,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_6,False,,2,2,1.0,,,bready,,,,,,,,,
d_nikke_bready_02_7,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_7,False,,2,2,1.0,,,bready,,,,,,,,,
d_nikke_bready_02_8,d_nikke_bready_02,Narration,Locale_NikkeEpisode:d_nikke_bready_02_8,False,,2,S_20,1.3,sfx_scn_autodooropen,bgm_story_breakaway,bready,,bready,2,delight,,,,,
d_nikke_bready_02_9,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_9,True,,S_20,S_20,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_10,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_10,False,,S_20,S_20,1.0,,,bready,,,2,delight,,,,,
d_nikke_bready_02_11,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_11,True,,S_20,S_20,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_12,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_12,True,,S_20,S_20,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_13,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_13,True,,S_20,S_20,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_14,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_14,True,,S_20,S_20,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_15,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_15,False,,S_20,S_20,1.0,,,bready,,,2,delight,,,,,
d_nikke_bready_02_16,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_16,True,,S_20,S_20,1.0,,,bready,bready,,2,idle,,,,,
d_nikke_bready_02_17,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_17,True,,S_20,S_20,1.0,,,bready,bready,,2,idle,,,,,
d_nikke_bready_02_18,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_18,True,,S_20,S_20,1.0,,,bready,bready,,2,idle,,,,,
d_nikke_bready_02_19,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_19,False,,S_20,S_20,1.0,,,bready,,,2,idle,,,,,
d_nikke_bready_02_20,d_nikke_bready_02,Narration,Locale_NikkeEpisode:d_nikke_bready_02_20,False,,black,black,1.0,sfx_scn_heavysupplies,,bready,,,2,idle,,,,,
d_nikke_bready_02_21,d_nikke_bready_02,Monologue,Locale_NikkeEpisode:d_nikke_bready_02_21,False,,black,black,1.0,,,bready,,,2,idle,,,,,
d_nikke_bready_02_22,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_22,True,,S_200,S_200,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_23,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_23,True,,S_200,S_20,1.3,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_24,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_24,True,,S_20,S_20,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_25,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_25,False,,S_20,S_20,1.0,,,bready,,,2,delight,,,,,
d_nikke_bready_02_26,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_26,True,,S_20,S_20,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_27,d_nikke_bready_02,Narration,Locale_NikkeEpisode:d_nikke_bready_02_27,False,,black,black,1.0,sfx_scn_dishdebris,,bready,,,2,delight,,,,,
d_nikke_bready_02_28,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_28,True,,S_20,S_20,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_29,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_29,False,,S_20,S_20,1.0,,,bready,,,2,delight,,,,,
d_nikke_bready_02_30,d_nikke_bready_02,Monologue,Locale_NikkeEpisode:d_nikke_bready_02_30,False,,S_20,S_20,1.0,,,bready,,,2,delight,,,,,
d_nikke_bready_02_31,d_nikke_bready_02,Monologue,Locale_NikkeEpisode:d_nikke_bready_02_31,False,,S_20,S_20,1.0,,,bready,,,2,delight,,,,,
d_nikke_bready_02_32,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_32,False,,S_20,S_200,1.3,,,bready,,,2,delight,,,,,
d_nikke_bready_02_33,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_33,False,,S_200,S_200,1.0,,,bready,,,2,delight,,,,,
d_nikke_bready_02_34,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_34,False,,S_200,S_200,1.0,,,bready,,,2,delight,,,,,
d_nikke_bready_02_35,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_35,True,,S_200,S_200,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_36,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_36,True,,S_200,S_200,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_37,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_37,False,,S_200,S_200,1.0,,,bready,,,2,delight,,,,,
d_nikke_bready_02_38,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_38,True,,S_200,S_200,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_39,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_39,False,,S_200,S_200,1.0,,,bready,,,2,delight,,,,,
d_nikke_bready_02_40,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_40,True,,S_200,S_200,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_41,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_41,True,,S_200,S_200,1.0,,,bready,bready,,2,delight,,,,,
