id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
treasurestory_poli_04_1,treasurestory_poli_04,Narration,ade,Locale_NikkeEpisode:treasurestory_poli_04_1,False,MaidCafe,black,black,1.0,sfx_scn_toyshopbell,bgm_story_girlstalk,,,ade,2,delight,,poli,12,idle
treasurestory_poli_04_2,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_2,True,,20,20,1.0,,,ade,,,2,delight,,,12,idle
treasurestory_poli_04_3,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_3,True,,20,20,1.0,,,ade,,,2,idle,,,12,idle
treasurestory_poli_04_4,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_4,True,,20,1,1.3,,,ade,,,2,idle,,,12,idle
treasurestory_poli_04_5,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_5,True,,1,1,1.0,,,poli,,,2,idle,,,12,surprise
treasurestory_poli_04_6,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_6,True,,1,1,1.0,,,poli,,,2,idle,,,12,surprise
treasurestory_poli_04_7,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_7,True,,1,1,1.0,,,ade,,,2,worried,,,12,surprise
treasurestory_poli_04_8,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_8,True,,1,1,1.0,,,poli,,,2,worried,,,12,idle
treasurestory_poli_04_9,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_9,True,,1,1,1.0,,,ade,,,2,idle,,,12,idle
treasurestory_poli_04_10,treasurestory_poli_04,Speech,ade,Locale_NikkeEpisode:treasurestory_poli_04_10,True,,1,1,1.0,,,ade,,,2,idle,,,12,idle
treasurestory_poli_04_11,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_11,True,,1,1,1.0,,,poli,,,2,idle,,,12,idle
treasurestory_poli_04_12,treasurestory_poli_04,Narration,poli,Locale_NikkeEpisode:treasurestory_poli_04_12,False,,black,black,1.0,sfx_scn_chair,,,,,2,idle,,,12,idle
treasurestory_poli_04_13,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_13,True,,XS_120,XS_120,1.0,,,poli,,,2,idle,,,12,idle
treasurestory_poli_04_14,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_14,True,,XS_120,XS_120,1.0,,,poli,,,2,idle,,,12,idle
treasurestory_poli_04_15,treasurestory_poli_04,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_04_15,True,,XS_120,XS_120,1.0,,,poli,,,2,idle,,,12,idle
