id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,play_sound
d_nikke_ade_agentbunny_02_1,d_nikke_ade_agentbunny_02,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_02_1,True,MaidCafe,black,black,1.0,none,,,,,
d_nikke_ade_agentbunny_02_2,d_nikke_ade_agentbunny_02,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_02_2,True,,black,black,1.0,,,,,,
d_nikke_ade_agentbunny_02_3,d_nikke_ade_agentbunny_02,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_02_3,True,,black,black,1.0,,,,,,
d_nikke_ade_agentbunny_02_4,d_nikke_ade_agentbunny_02,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_02_4,True,,black,black,1.0,,ade_b,1,shy2,,
d_nikke_ade_agentbunny_02_5,d_nikke_ade_agentbunny_02,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_02_5,True,,10,10,1.0,bgm_story_tepidappleade,,1,shy2,,
d_nikke_ade_agentbunny_02_6,d_nikke_ade_agentbunny_02,Self,ade_b,,Locale_NikkeEpisode:d_nikke_ade_agentbunny_02_6,False,,10,10,1.0,,,1,shy2,,
d_nikke_ade_agentbunny_02_7,d_nikke_ade_agentbunny_02,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_02_7,True,,10,10,1.0,,,1,shy2,,
d_nikke_ade_agentbunny_02_8,d_nikke_ade_agentbunny_02,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_02_8,True,,10,10,1.0,,,1,shy2,,
d_nikke_ade_agentbunny_02_9,d_nikke_ade_agentbunny_02,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_02_9,True,,10,10,1.0,,,1,shy2,,
d_nikke_ade_agentbunny_02_10,d_nikke_ade_agentbunny_02,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_02_10,True,,10,10,1.0,,,1,shy2,,
d_nikke_ade_agentbunny_02_11,d_nikke_ade_agentbunny_02,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_02_11,True,,10,10,1.0,,,1,angry,,
d_nikke_ade_agentbunny_02_12,d_nikke_ade_agentbunny_02,Speech,ade_b,ade_b,Locale_NikkeEpisode:d_nikke_ade_agentbunny_02_12,True,,10,10,1.0,,,1,angry,,
