id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id,characters/0/hide_char_id,jump_target
d_nikke_marian_p_01_1,d_nikke_marian_p_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_01_1,True,neon,1,idle,modenia,3,idle,anis,5,idle,rapi,7,idle,NikkeRoom,53,53,1.0,bgm_story_orangepop,,,
d_nikke_marian_p_01_2,d_nikke_marian_p_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_01_2,True,,1,idle,,3,idle,,5,void,,7,idle,,53,53,1.0,,,,
d_nikke_marian_p_01_3,d_nikke_marian_p_01,Speech,modenia,modenia,Locale_NikkeEpisode:d_nikke_marian_p_01_3,True,,1,idle,,3,surprise,,5,void,,7,idle,,53,53,1.0,,,,
d_nikke_marian_p_01_4,d_nikke_marian_p_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_01_4,True,,1,no,,3,surprise,,5,void,,7,idle,,53,31,1.0,,,,
d_nikke_marian_p_01_5,d_nikke_marian_p_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_01_5,True,,1,no,,3,surprise,,5,void,,7,idle,,31,31,1.0,,,,
d_nikke_marian_p_01_6,d_nikke_marian_p_01,Speech,modenia,modenia,Locale_NikkeEpisode:d_nikke_marian_p_01_6,True,,1,no,,3,surprise,,5,void,,7,idle,,31,53,1.0,,,,
d_nikke_marian_p_01_7,d_nikke_marian_p_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_01_7,True,,1,no,,3,surprise,,5,void,,7,idle,,53,53,1.0,,,,
d_nikke_marian_p_01_8,d_nikke_marian_p_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_01_8,True,,1,no,,3,idle,,5,void,,7,idle,,53,53,1.0,,,,
d_nikke_marian_p_01_9,d_nikke_marian_p_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_01_9,True,,1,surprise,,3,idle,,5,void,,7,idle,,53,75,1.0,,,,
d_nikke_marian_p_01_10,d_nikke_marian_p_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_marian_p_01_10,True,,1,surprise,,3,idle,,5,void,,7,idle,,75,75,1.0,,,,
d_nikke_marian_p_01_11,d_nikke_marian_p_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_01_11,True,,1,surprise,,3,idle,,5,void,,7,idle,,S_10,S_10,1.0,,,,
d_nikke_marian_p_01_12,d_nikke_marian_p_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_01_12,True,,1,surprise,,3,idle,,5,idle,,7,idle,,50,50,1.0,,,,
d_nikke_marian_p_01_13,d_nikke_marian_p_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_01_13,True,,1,idle,,3,idle,,5,idle,,7,idle,,S_10,S_10,1.0,,,,
d_nikke_marian_p_01_14,d_nikke_marian_p_01,Speech,modenia,modenia,Locale_NikkeEpisode:d_nikke_marian_p_01_14,True,,1,idle,,3,delight,,5,idle,,7,idle,,30,30,1.0,,,,
d_nikke_marian_p_01_15,d_nikke_marian_p_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_01_15,True,,1,idle,,3,delight,,5,idle,,7,idle,,S_10,S_10,1.0,,,,
d_nikke_marian_p_01_16,d_nikke_marian_p_01,Self,neon,,Locale_NikkeEpisode:d_nikke_marian_p_01_16,False,,1,idle,,3,idle,,5,idle,,7,idle,,S_10,S_10,1.0,,,,
d_nikke_marian_p_01_17,d_nikke_marian_p_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_01_17,True,,1,worry,,3,idle,,5,idle,,7,idle,,S_10,S_10,1.0,,,,
d_nikke_marian_p_01_18,d_nikke_marian_p_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_01_18,True,,1,worry,,3,idle,,5,idle,,7,idle,,5,5,1.0,,,,
d_nikke_marian_p_01_19,d_nikke_marian_p_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_01_19,True,,1,worry,,3,idle,,5,idle,,7,idle,,5,5,1.0,,,,
d_nikke_marian_p_01_20,d_nikke_marian_p_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_01_20,True,,1,worry,,3,idle,,5,delight,,7,idle,,5,5,1.0,,,,
d_nikke_marian_p_01_21,d_nikke_marian_p_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_01_21,True,,1,worry,,3,idle,,5,delight,,7,idle,,5,5,1.0,,,,
d_nikke_marian_p_01_22,d_nikke_marian_p_01,Speech,modenia,modenia,Locale_NikkeEpisode:d_nikke_marian_p_01_22,True,,1,worry,,3,surprise,,5,delight,,7,idle,,5,53,1.0,,,,
d_nikke_marian_p_01_23,d_nikke_marian_p_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_01_23,True,,1,idle,,3,surprise,,5,delight,,7,idle,,53,53,1.0,,,,
d_nikke_marian_p_01_24,d_nikke_marian_p_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_01_24,True,,1,idle,,3,surprise,,5,delight,,7,idle,,53,53,1.0,,,,
