id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,highlight,jump_target,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_noah_03_1,d_nikke_noah_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_noah_03_1,False,RuinIndoor,S_10,S_10,1.0,none,Blur_Low,,,,,noah,1,shy,littlenikke,5,idle,
d_nikke_noah_03_2,d_nikke_noah_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_noah_03_2,False,,S_10,S_50,1.0,,,,,,,,1,shy,,5,idle,
d_nikke_noah_03_3,d_nikke_noah_03,Self,Self,Locale_NikkeEpisode:d_nikke_noah_03_3,False,,S_50,S_10,1.0,,,,,,,,1,shy,,5,idle,
d_nikke_noah_03_4,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_4,True,,S_10,S_10,1.0,,,noah,,,,,1,shy,,5,idle,
d_nikke_noah_03_5,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_5,True,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_6,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_6,True,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_7,d_nikke_noah_03,Self,Self,Locale_NikkeEpisode:d_nikke_noah_03_7,False,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_8,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_8,False,,S_10,S_10,1.0,,,noah,,,,,1,shy,,5,idle,
d_nikke_noah_03_9,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_9,True,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_10,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_10,True,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_11,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_11,True,,S_10,S_10,1.0,,,noah,,,,,1,surprise,,5,idle,
d_nikke_noah_03_12,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_12,True,,S_10,S_10,1.0,,,noah,,,,,1,surprise,,5,idle,
d_nikke_noah_03_13,d_nikke_noah_03,Choice,,Locale_NikkeEpisode:d_nikke_noah_03_13,False,,S_10,S_10,1.0,,,noah,d_nikke_noah_03_15,,,,1,surprise,,5,idle,
d_nikke_noah_03_14,d_nikke_noah_03,Choice,,Locale_NikkeEpisode:d_nikke_noah_03_14,False,,S_10,S_10,1.0,,,noah,d_nikke_noah_03_16,,,,1,surprise,,5,idle,
d_nikke_noah_03_15,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_15,True,,S_10,S_10,1.0,,,noah,d_nikke_noah_03_18,,,,1,pain,,5,idle,
d_nikke_noah_03_16,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_16,True,,S_10,S_10,1.0,,,noah,,,,,1,angry,,5,idle,
d_nikke_noah_03_17,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_17,True,,S_10,S_10,1.0,,,noah,,,,,1,angry,,5,idle,
d_nikke_noah_03_18,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_18,False,,S_10,S_10,1.0,,,noah,,,,,1,shy,,5,idle,
d_nikke_noah_03_19,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_19,True,,S_10,S_10,1.0,,,noah,,,,,1,shy,,5,idle,
d_nikke_noah_03_20,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_20,True,,S_10,S_10,1.0,,,noah,,,,,1,shy,,5,idle,
d_nikke_noah_03_21,d_nikke_noah_03,Self,Self,Locale_NikkeEpisode:d_nikke_noah_03_21,False,,S_10,S_10,1.0,,,noah,,,,,1,shy,,5,idle,
d_nikke_noah_03_22,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_22,True,,S_10,5,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_23,d_nikke_noah_03,Speech,littlenikke,Locale_NikkeEpisode:d_nikke_noah_03_23,False,,5,5,1.0,,,littlenikke,,,,,1,pain,,5,idle,
d_nikke_noah_03_24,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_24,True,,5,S_10,0.5,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_25,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_25,True,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_26,d_nikke_noah_03,Self,Self,Locale_NikkeEpisode:d_nikke_noah_03_26,False,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_27,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_27,True,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_28,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_28,True,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_29,d_nikke_noah_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_noah_03_29,False,WasteLand_01,black,black,1.0,none,,noah,,,,,1,angry,,5,idle,
d_nikke_noah_03_30,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_30,True,,S_10,S_10,1.0,,Grey,noah,,,,,1,angry,,5,idle,
d_nikke_noah_03_31,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_31,True,,S_10,S_10,1.0,,Grey,noah,,,,,1,angry,,5,idle,
d_nikke_noah_03_32,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_32,True,,S_10,S_10,1.0,,Grey,noah,,,,,1,angry,,5,idle,
d_nikke_noah_03_33,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_33,True,,S_10,S_10,1.0,,Grey,noah,,,,,1,angry,,5,idle,
d_nikke_noah_03_34,d_nikke_noah_03,Self,Self,Locale_NikkeEpisode:d_nikke_noah_03_34,False,RuinIndoor,black,black,1.0,bgm_story_impression,,noah,,,,,1,angry,,5,idle,
d_nikke_noah_03_35,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_35,True,,S_10,S_10,1.0,,,noah,,,,,1,surprise,,5,idle,
d_nikke_noah_03_36,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_36,True,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_37,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_37,True,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_38,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_38,True,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_39,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_39,True,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_40,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_40,True,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_41,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_41,True,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_42,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_42,True,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_43,d_nikke_noah_03,Self,Self,Locale_NikkeEpisode:d_nikke_noah_03_43,False,,S_10,S_10,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_44,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_44,False,,S_10,S_10,1.0,,,noah,,,,,1,surprise,,5,idle,
d_nikke_noah_03_45,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_45,True,,S_10,S_10,1.0,,,noah,,,,,1,surprise,,5,idle,
d_nikke_noah_03_46,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_46,True,,S_10,S_10,1.0,,,noah,,,,,1,surprise,,5,idle,
d_nikke_noah_03_47,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_47,True,,S_10,S_10,1.0,,,noah,,,,,1,surprise,,5,idle,
d_nikke_noah_03_48,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_48,True,,S_10,1,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_49,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_49,True,,1,1,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_50,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_50,True,,1,1,1.0,,,noah,,,,,1,pain,,5,idle,
d_nikke_noah_03_51,d_nikke_noah_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_noah_03_51,False,,black,black,1.0,,,,,,,,15,pain,,5,idle,
d_nikke_noah_03_52,d_nikke_noah_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_noah_03_52,False,,black,black,1.0,,,,,,,,15,idle,,5,idle,
d_nikke_noah_03_53,d_nikke_noah_03,Speech,littlenikke,Locale_NikkeEpisode:d_nikke_noah_03_53,True,,1,5,1.0,,,littlenikke,,,,,15,idle,,5,idle,
d_nikke_noah_03_54,d_nikke_noah_03,Speech,littlenikke,Locale_NikkeEpisode:d_nikke_noah_03_54,True,,5,5,1.0,,,littlenikke,,,,,15,idle,,5,idle,
d_nikke_noah_03_55,d_nikke_noah_03,Choice,,Locale_NikkeEpisode:d_nikke_noah_03_55,False,,5,5,1.0,,,littlenikke,d_nikke_noah_03_57,,,,15,idle,,5,idle,
d_nikke_noah_03_56,d_nikke_noah_03,Choice,,Locale_NikkeEpisode:d_nikke_noah_03_56,False,,5,5,1.0,,,littlenikke,d_nikke_noah_03_57,,,,15,idle,,5,idle,
d_nikke_noah_03_57,d_nikke_noah_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_noah_03_57,False,,5,9,2.0,,,,,black,,,1,shy,,5,idle,littlenikke
d_nikke_noah_03_58,d_nikke_noah_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_noah_03_58,False,,9,9,1.0,,,,,,sfx_scn_sofasheet,,1,shy,,,,
d_nikke_noah_03_59,d_nikke_noah_03,Choice,,Locale_NikkeEpisode:d_nikke_noah_03_59,False,,9,9,1.0,,,,d_nikke_noah_03_61,,,,1,good,,,,
d_nikke_noah_03_60,d_nikke_noah_03,Choice,,Locale_NikkeEpisode:d_nikke_noah_03_60,False,,9,9,1.0,,,,d_nikke_noah_03_64,,,,1,good,,,,
d_nikke_noah_03_61,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_61,True,,9,1,1.0,,,noah,,,,,1,good,,,,
d_nikke_noah_03_62,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_62,True,,1,1,1.0,,,noah,,,,,1,good,,,,
d_nikke_noah_03_63,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_63,True,,1,1,1.0,,,noah,d_nikke_noah_03_67,,,,1,idle,,,,
d_nikke_noah_03_64,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_64,True,,1,1,1.0,,,noah,,,,,1,shy,,,,
d_nikke_noah_03_65,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_65,True,,1,1,1.0,,,noah,,,,,1,good,,,,
d_nikke_noah_03_66,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_66,True,,1,1,1.0,,,noah,,,,,1,idle,,,,
d_nikke_noah_03_67,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_67,True,,1,1,1.0,,,noah,,,,,1,idle,,,,
d_nikke_noah_03_68,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_68,True,,1,1,1.0,,,noah,,,,,1,idle,,,,
d_nikke_noah_03_69,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_69,True,,1,1,1.0,,,noah,,,,,1,pain,,,,
d_nikke_noah_03_70,d_nikke_noah_03,Self,Self,Locale_NikkeEpisode:d_nikke_noah_03_70,False,,1,1,1.0,,,noah,,,,,1,pain,,,,
d_nikke_noah_03_71,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_71,True,,1,S_10,0.5,,,noah,,,,,1,surprise,,,,
d_nikke_noah_03_72,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_72,True,,S_10,S_10,1.0,,,noah,,,,,1,surprise,,,,
d_nikke_noah_03_73,d_nikke_noah_03,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_03_73,True,,S_10,S_10,1.0,,,noah,,,,,1,surprise,,,,
d_nikke_noah_03_74,d_nikke_noah_03,Choice,,Locale_NikkeEpisode:d_nikke_noah_03_74,False,,S_10,S_10,1.0,,,noah,d_nikke_noah_03_76,,,,1,surprise,,,,
d_nikke_noah_03_75,d_nikke_noah_03,Choice,,Locale_NikkeEpisode:d_nikke_noah_03_75,False,,S_10,S_10,1.0,,,noah,d_nikke_noah_03_76,,,,1,surprise,,,,
