id,group_id,speech_window,scenario_localkey,play_lipSync,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,set_background,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,set_filter_01
d_nikke_trina_01_1,d_nikke_trina_01,Monologue,Locale_NikkeEpisode:d_nikke_trina_01_1,False,black,black,1.0,none,,,,,,,,,,,,,,,,,,
d_nikke_trina_01_2,d_nikke_trina_01,Monologue,Locale_NikkeEpisode:d_nikke_trina_01_2,False,black,black,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_trina_01_3,d_nikke_trina_01,Monologue,Locale_NikkeEpisode:d_nikke_trina_01_3,False,black,black,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_trina_01_4,d_nikke_trina_01,Self,Locale_NikkeEpisode:d_nikke_trina_01_4,False,black,black,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_trina_01_5,d_nikke_trina_01,Monologue,Locale_NikkeEpisode:d_nikke_trina_01_5,False,black,black,1.0,,sfx_scn_poke,,,,,,,,,,,,,,,,,
d_nikke_trina_01_6,d_nikke_trina_01,Self,Locale_NikkeEpisode:d_nikke_trina_01_6,False,black,black,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_trina_01_7,d_nikke_trina_01,Speech,Locale_NikkeEpisode:d_nikke_trina_01_7,False,black,black,1.0,bgm_story_whosdumber,,unknown,,,,,,,,,,,,,,,,
d_nikke_trina_01_8,d_nikke_trina_01,Self,Locale_NikkeEpisode:d_nikke_trina_01_8,False,black,black,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_trina_01_9,d_nikke_trina_01,Monologue,Locale_NikkeEpisode:d_nikke_trina_01_9,False,black,black,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_trina_01_10,d_nikke_trina_01,Self,Locale_NikkeEpisode:d_nikke_trina_01_10,False,L_1300,L_1300,1.0,,,,Arboretum,,,,,,,,,,,,,,,
d_nikke_trina_01_11,d_nikke_trina_01,Self,Locale_NikkeEpisode:d_nikke_trina_01_11,False,L_1300,L_130,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_trina_01_12,d_nikke_trina_01,Speech,Locale_NikkeEpisode:d_nikke_trina_01_12,False,L_130,L_130,1.0,,,unknown,,,,,,,,,,,,,,,,
d_nikke_trina_01_13,d_nikke_trina_01,Speech,Locale_NikkeEpisode:d_nikke_trina_01_13,False,L_130,L_130,1.0,,,unknown,,,,,,,,,,,,,,,,
d_nikke_trina_01_14,d_nikke_trina_01,Self,Locale_NikkeEpisode:d_nikke_trina_01_14,False,L_130,L_130,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_trina_01_15,d_nikke_trina_01,Speech,Locale_NikkeEpisode:d_nikke_trina_01_15,False,L_130,L_130,1.0,,,unknown,,,,,,,,,,,,,,,,
d_nikke_trina_01_16,d_nikke_trina_01,Speech,Locale_NikkeEpisode:d_nikke_trina_01_16,False,L_130,L_130,1.0,,,unknown,,,,,,,,,,,,,,,,
d_nikke_trina_01_17,d_nikke_trina_01,Self,Locale_NikkeEpisode:d_nikke_trina_01_17,False,L_130,13,1.0,,,,,trina,,,,,,,,,,,,,,
d_nikke_trina_01_18,d_nikke_trina_01,Self,Locale_NikkeEpisode:d_nikke_trina_01_18,False,13,13,1.0,,,,,trina,,,,,,,,,,,,,,
d_nikke_trina_01_19,d_nikke_trina_01,Monologue,Locale_NikkeEpisode:d_nikke_trina_01_19,False,13,13,1.0,,,,,trina,,,,,,,,,,,,,,
d_nikke_trina_01_20,d_nikke_trina_01,Narration,Locale_NikkeEpisode:d_nikke_trina_01_20,False,13,13,1.0,,sfx_scn_undress,,,trina,trina,13,idle,,,,,,,,,,,
d_nikke_trina_01_21,d_nikke_trina_01,Speech,Locale_NikkeEpisode:d_nikke_trina_01_21,True,13,13,1.0,,,trina,,trina,,13,delight,,,,,,,,,,,
d_nikke_trina_01_22,d_nikke_trina_01,Speech,Locale_NikkeEpisode:d_nikke_trina_01_22,True,13,13,1.0,,,trina,,trina,,13,idle,,,,,,,,,,,
d_nikke_trina_01_23,d_nikke_trina_01,Speech,Locale_NikkeEpisode:d_nikke_trina_01_23,True,13,L_130,1.3,,,trina,,trina,,13,idle,,,,,,,,,,,
d_nikke_trina_01_24,d_nikke_trina_01,Self,Locale_NikkeEpisode:d_nikke_trina_01_24,False,L_130,L_1300,1.5,,,,,trina,,13,idle,,,,,,,,,,,
d_nikke_trina_01_25,d_nikke_trina_01,Monologue,Locale_NikkeEpisode:d_nikke_trina_01_25,False,L_1300,L_1300,1.0,,,,,trina,,13,idle,,,,,,,,,,,
d_nikke_trina_01_26,d_nikke_trina_01,Narration,Locale_NikkeEpisode:d_nikke_trina_01_26,False,L_1300,L_130,0.7,,sfx_scn_slap,,,trina,,13,idle,Low_2,,,,,,,,,,
