id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,highlight,speaker,set_camera_shake,jump_target,fade
d_nikke_bay_02_1,d_nikke_bay_02,Narration,Locale_NikkeEpisode:d_nikke_bay_02_1,False,CommanderRoom,black,black,1.0,bgm_story_orangepop,,,,,,,,,
d_nikke_bay_02_2,d_nikke_bay_02,Self,Locale_NikkeEpisode:d_nikke_bay_02_2,False,,15,15,1.0,,,,,,,,,,
d_nikke_bay_02_3,d_nikke_bay_02,Self,Locale_NikkeEpisode:d_nikke_bay_02_3,False,,15,15,1.0,,,,,,,,,,
d_nikke_bay_02_4,d_nikke_bay_02,Monologue,Locale_NikkeEpisode:d_nikke_bay_02_4,False,,15,15,1.0,,,,,,,,,,
d_nikke_bay_02_5,d_nikke_bay_02,Narration,Locale_NikkeEpisode:d_nikke_bay_02_5,False,,black,black,1.0,,bay,1,idle,sfx_scn_autodooropen,,,,,
d_nikke_bay_02_6,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_6,True,,10,10,1.0,,,1,idle,,bay,bay,,,
d_nikke_bay_02_7,d_nikke_bay_02,Monologue,Locale_NikkeEpisode:d_nikke_bay_02_7,False,,10,10,1.0,,,1,idle,,bay,,,,
d_nikke_bay_02_8,d_nikke_bay_02,Self,Locale_NikkeEpisode:d_nikke_bay_02_8,False,,10,10,1.0,,,1,idle,,bay,,,,
d_nikke_bay_02_9,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_9,True,,10,100,1.0,,,1,idle,,bay,bay,,,
d_nikke_bay_02_10,d_nikke_bay_02,Self,Locale_NikkeEpisode:d_nikke_bay_02_10,False,,100,100,1.0,,,1,idle,,bay,,,,
d_nikke_bay_02_11,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_11,True,,100,100,1.0,,,1,idle,,bay,bay,,,
d_nikke_bay_02_12,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_12,True,,100,100,1.0,,,1,idle,,bay,bay,,,
d_nikke_bay_02_13,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_13,False,,100,100,1.0,,,1,worry,,bay,bay,Low_2,,
d_nikke_bay_02_14,d_nikke_bay_02,Narration,Locale_NikkeEpisode:d_nikke_bay_02_14,False,,100,10,0.7,,,1,sad,,bay,,,,
d_nikke_bay_02_15,d_nikke_bay_02,Self,Locale_NikkeEpisode:d_nikke_bay_02_15,False,,10,10,1.0,,,1,sad,,bay,,,,
d_nikke_bay_02_16,d_nikke_bay_02,Monologue,Locale_NikkeEpisode:d_nikke_bay_02_16,False,,10,10,1.0,,,1,sad,,bay,,,,
d_nikke_bay_02_17,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_17,True,,10,10,1.0,,,1,sad,,bay,bay,,,
d_nikke_bay_02_18,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_18,True,,10,10,1.0,,,1,sad,,bay,bay,,,
d_nikke_bay_02_19,d_nikke_bay_02,Self,Locale_NikkeEpisode:d_nikke_bay_02_19,False,,10,10,1.0,,,1,sad,,bay,,,,
d_nikke_bay_02_20,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_20,True,,10,10,1.0,,,1,sad,,bay,bay,,,
d_nikke_bay_02_21,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_21,True,,10,10,1.0,,,1,sad,,bay,bay,,,
d_nikke_bay_02_22,d_nikke_bay_02,Choice,Locale_NikkeEpisode:d_nikke_bay_02_22,False,,10,10,1.0,,,1,sad,,bay,,,d_nikke_bay_02_24,
d_nikke_bay_02_23,d_nikke_bay_02,Choice,Locale_NikkeEpisode:d_nikke_bay_02_23,False,,10,10,1.0,,,1,sad,,bay,,,d_nikke_bay_02_24,
d_nikke_bay_02_24,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_24,False,,10,10,1.0,,,1,sad,,bay,bay,,,
d_nikke_bay_02_25,d_nikke_bay_02,Self,Locale_NikkeEpisode:d_nikke_bay_02_25,False,,10,10,1.0,,,1,sad,,bay,,,,
d_nikke_bay_02_26,d_nikke_bay_02,Monologue,Locale_NikkeEpisode:d_nikke_bay_02_26,False,,10,1,1.0,,,1,sad,,bay,,,,
d_nikke_bay_02_27,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_27,True,,1,1,1.0,,,1,idle,,bay,bay,,,
d_nikke_bay_02_28,d_nikke_bay_02,Self,Locale_NikkeEpisode:d_nikke_bay_02_28,False,,1,1,1.0,,,1,idle,,bay,,,,
d_nikke_bay_02_29,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_29,True,,1,1,1.0,,,1,idle,,bay,bay,,,
d_nikke_bay_02_30,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_30,True,,1,1,1.0,,,1,idle,,bay,bay,,,
d_nikke_bay_02_31,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_31,True,,1,1,1.0,,,1,idle,,bay,bay,,,
d_nikke_bay_02_32,d_nikke_bay_02,Self,Locale_NikkeEpisode:d_nikke_bay_02_32,False,,1,1,1.0,,,1,idle,,bay,,,,
d_nikke_bay_02_33,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_33,True,,1,1,1.0,,,1,idle,,bay,bay,,,
d_nikke_bay_02_34,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_34,False,,1,1,1.0,,,1,idle,,bay,bay,,,
d_nikke_bay_02_35,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_35,True,,1,1,1.0,,,1,idle,,bay,bay,,,
d_nikke_bay_02_36,d_nikke_bay_02,Self,Locale_NikkeEpisode:d_nikke_bay_02_36,False,,1,1,1.0,,,1,idle,,bay,,,,black
d_nikke_bay_02_37,d_nikke_bay_02,Self,Locale_NikkeEpisode:d_nikke_bay_02_37,False,,1,1,1.0,,,1,idle,,bay,,,,
d_nikke_bay_02_38,d_nikke_bay_02,Self,Locale_NikkeEpisode:d_nikke_bay_02_38,False,,1,1,1.0,,,1,idle,,bay,,,,
d_nikke_bay_02_39,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_39,True,,1,1,1.0,,,1,idle,,bay,bay,,,
d_nikke_bay_02_40,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_40,True,,1,1,1.0,,,1,idle,,bay,bay,,,
d_nikke_bay_02_41,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_41,True,,1,1,1.0,,,1,idle,,bay,bay,,,
d_nikke_bay_02_42,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_42,True,,1,1,1.0,,,1,idle,,bay,bay,,,
d_nikke_bay_02_43,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_43,True,,1,10,1.0,,,1,sad,,bay,bay,,,
d_nikke_bay_02_44,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_44,True,,10,10,1.0,,,1,sad,,bay,bay,,,
d_nikke_bay_02_45,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_45,True,,10,10,1.0,,,1,sad,,bay,bay,,,
d_nikke_bay_02_46,d_nikke_bay_02,Self,Locale_NikkeEpisode:d_nikke_bay_02_46,False,,10,10,1.0,,,1,sad,,bay,,,,
d_nikke_bay_02_47,d_nikke_bay_02,Self,Locale_NikkeEpisode:d_nikke_bay_02_47,False,,10,10,1.0,,,1,sad,,bay,,,,
d_nikke_bay_02_48,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_48,True,,10,1,1.0,,,1,sad,,bay,bay,,,
d_nikke_bay_02_49,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_49,True,,1,1,1.0,,,1,sad,,bay,bay,,,
d_nikke_bay_02_50,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_50,True,,1,1,1.0,,,1,sad,,bay,bay,,,
d_nikke_bay_02_51,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_51,True,,1,1,1.0,,,1,sad,,bay,bay,,,
d_nikke_bay_02_52,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_52,False,,1,1,1.0,,,1,sad,,bay,bay,,,
d_nikke_bay_02_53,d_nikke_bay_02,Speech,Locale_NikkeEpisode:d_nikke_bay_02_53,True,,1,1,1.0,,,1,sad,,bay,bay,,,
