id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_nikke_rapunzel_puregrace_01_1,d_nikke_rapunzel_puregrace_01,Narration,redhood,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_01_1,False,WasteLand_02,black,black,1.0,sfx_scn_redfire,event_bgm_redash_ashsmoke,Low_2,,,redhood,1,idle,,rapunzel_o,3,idle,,liliweiss,5,idle,,,,,,snowwhite_o,13,angry,,dorothy,15,idle,
d_nikke_rapunzel_puregrace_01_2,d_nikke_rapunzel_puregrace_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_01_2,True,,12,12,1.0,,,,redhood,,,1,idle,,,3,idle,,,5,idle,,,,,,,13,angry,,,15,idle,
d_nikke_rapunzel_puregrace_01_3,d_nikke_rapunzel_puregrace_01,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_01_3,True,,12,12,1.0,,,,snowwhite_o,,,1,idle,,,3,idle,,,5,idle,,,,,,,13,angry,,,15,idle,
d_nikke_rapunzel_puregrace_01_4,d_nikke_rapunzel_puregrace_01,Speech,dorothy,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_01_4,True,,12,14,1.0,,,,dorothy,,,1,idle,,,3,idle,,,5,idle,,,,,,,13,angry,,,15,idle,
d_nikke_rapunzel_puregrace_01_5,d_nikke_rapunzel_puregrace_01,Speech,dorothy,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_01_5,True,,14,14,1.0,,,,dorothy,,,1,idle,,,3,idle,,,5,idle,,,,,,,13,angry,,,15,idle,
d_nikke_rapunzel_puregrace_01_6,d_nikke_rapunzel_puregrace_01,Speech,rapunzel_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_01_6,True,,30,30,1.0,,,,rapunzel_o,,,1,idle,,,3,idle,,,5,idle,,,,,,,13,idle,,,15,idle,
d_nikke_rapunzel_puregrace_01_7,d_nikke_rapunzel_puregrace_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_01_7,True,,30,2,1.0,,,,redhood,,,1,idle,,,3,idle,,,5,idle,,,,,,,13,idle,,,15,idle,
d_nikke_rapunzel_puregrace_01_8,d_nikke_rapunzel_puregrace_01,Speech,rapunzel_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_01_8,True,,2,2,1.0,,,,rapunzel_o,,,1,idle,,,3,idle,,,5,idle,,,,,,,13,idle,,,15,idle,
d_nikke_rapunzel_puregrace_01_9,d_nikke_rapunzel_puregrace_01,Speech,liliweiss,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_01_9,True,,50,50,1.0,,,,liliweiss,,,1,idle,,,3,idle,,,5,idle,,,,,,,13,idle,,,15,idle,
d_nikke_rapunzel_puregrace_01_10,d_nikke_rapunzel_puregrace_01,Speech,liliweiss,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_01_10,True,,50,50,1.0,,,,liliweiss,,,1,idle,,,3,idle,,,5,idle,,,,,,,13,idle,,,15,idle,
