id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id,set_camera_shake
d_nikke_elegg_01_1,d_nikke_elegg_01,Monologue,Locale_NikkeEpisode:d_nikke_elegg_01_1,False,1,idle,Cafe,1,1,1.0,bgm_story_orangepop,,,,,,,,,,,
d_nikke_elegg_01_2,d_nikke_elegg_01,Narration,Locale_NikkeEpisode:d_nikke_elegg_01_2,False,1,idle,,1,1,1.0,,sfx_scn_autodooropen,,,,,,,,,,
d_nikke_elegg_01_3,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_3,True,1,idle,,1,1,1.0,,,sugar,sugar,sugar,,,,,,,
d_nikke_elegg_01_4,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_4,True,1,idle,,1,S_10,1.0,,,sugar,sugar,,,,,,,,
d_nikke_elegg_01_5,d_nikke_elegg_01,Monologue,Locale_NikkeEpisode:d_nikke_elegg_01_5,False,1,idle,,S_10,S_10,1.0,,,sugar,,,,,,,,,
d_nikke_elegg_01_6,d_nikke_elegg_01,Self,Locale_NikkeEpisode:d_nikke_elegg_01_6,False,1,idle,,S_10,S_10,1.0,,,sugar,,,,,,,,,
d_nikke_elegg_01_7,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_7,True,1,surprise,,S_10,S_100,1.0,,,sugar,sugar,,,,,,,,
d_nikke_elegg_01_8,d_nikke_elegg_01,Self,Locale_NikkeEpisode:d_nikke_elegg_01_8,False,1,surprise,,S_100,S_100,1.0,,,sugar,,,,,,,,,
d_nikke_elegg_01_9,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_9,True,1,idle,,S_100,S_10,1.0,,,sugar,sugar,,,,,,,,
d_nikke_elegg_01_10,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_10,True,1,idle,,S_10,S_10,1.0,,,sugar,sugar,,,,,,,,
d_nikke_elegg_01_11,d_nikke_elegg_01,Self,Locale_NikkeEpisode:d_nikke_elegg_01_11,False,1,idle,,S_10,S_10,1.0,,,sugar,,,,,,,,,
d_nikke_elegg_01_12,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_12,True,1,surprise,,S_10,S_10,1.0,,,sugar,sugar,,,,,,,,
d_nikke_elegg_01_13,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_13,True,1,idle,,S_10,S_10,1.0,,,sugar,sugar,,,,,,,,
d_nikke_elegg_01_14,d_nikke_elegg_01,Monologue,Locale_NikkeEpisode:d_nikke_elegg_01_14,False,1,idle,,S_10,S_10,1.0,,,sugar,,,,,,,,,
