id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,fade,play_sound,conversation_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_n102_02_1,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_1,False,n102,1,idle,Hospital,1,1,1.0,none,,,,,,,
d_nikke_n102_02_2,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_2,True,,1,idle,,1,1,1.0,,,,,,,,
d_nikke_n102_02_3,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_3,True,,1,idle,,1,XS_10,1.0,,,,,,,,
d_nikke_n102_02_4,d_nikke_n102_02,Narration,n102,Narration,Locale_NikkeEpisode:d_nikke_n102_02_4,False,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_5,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_5,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_6,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_6,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_7,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_7,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_8,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_8,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_9,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_9,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_10,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_10,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_11,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_11,True,,1,delight,,XS_10,1,1.0,,,,,,,,
d_nikke_n102_02_12,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_12,True,,5,delight,,1,1,1.0,,n102,,,,,,
d_nikke_n102_02_13,d_nikke_n102_02,Narration,n102,Narration,Locale_NikkeEpisode:d_nikke_n102_02_13,False,n102,1,delight,City_d,black,black,1.0,,n102,,,,,,
d_nikke_n102_02_14,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_14,False,n102,1,delight,,1,1,1.0,bgm_story_backtonormal,,black,,,,,
d_nikke_n102_02_15,d_nikke_n102_02,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_02_15,False,,1,delight,,1,1,1.0,,,,,,,,
d_nikke_n102_02_16,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_16,False,,2,delight,,1,1,1.0,,,,,,,,
d_nikke_n102_02_17,d_nikke_n102_02,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_02_17,False,,2,delight,,1,1,1.0,,,,,,,,
d_nikke_n102_02_18,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_18,False,,2,delight,,1,1,1.0,,,,,,,,
d_nikke_n102_02_19,d_nikke_n102_02,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_02_19,False,,1,delight,,1,1,1.0,,,,,,,,
d_nikke_n102_02_20,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_20,False,,1,delight,,1,1,1.0,,,,,,,,
d_nikke_n102_02_21,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_21,True,,1,delight,,1,1,1.0,,,,,,,,
d_nikke_n102_02_22,d_nikke_n102_02,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_02_22,False,,1,delight,,1,1,1.0,,,,,,,,
d_nikke_n102_02_23,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_23,False,,1,delight,,1,1,1.0,,,,,,,,
d_nikke_n102_02_24,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_24,False,,1,idle,,1,1,1.0,,,,,,,,
d_nikke_n102_02_25,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_25,True,,1,idle,,1,1,1.0,,,,,,,,
d_nikke_n102_02_26,d_nikke_n102_02,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_02_26,False,,1,idle,,1,1,1.0,,,,,,,,
d_nikke_n102_02_27,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_27,False,,1,delight,,1,1,1.0,,,,,,,,
d_nikke_n102_02_28,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_28,True,,1,delight,,1,XS_10,1.0,,,,,,,,
d_nikke_n102_02_29,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_29,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_30,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_30,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_31,d_nikke_n102_02,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_02_31,False,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_32,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_32,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_33,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_33,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_34,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_34,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_35,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_35,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_36,d_nikke_n102_02,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_02_36,False,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_37,d_nikke_n102_02,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_02_37,False,,1,delight,FastFood,black,black,1.0,,,,,,,,
d_nikke_n102_02_38,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_38,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_39,d_nikke_n102_02,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_02_39,False,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_40,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_40,False,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_41,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_41,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_42,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_42,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_43,d_nikke_n102_02,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_02_43,False,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_44,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_44,False,,1,delight,,XS_10,XS_10,1.0,,,,,,,,
d_nikke_n102_02_45,d_nikke_n102_02,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_02_45,False,,1,delight,,black,black,1.0,,n102,,,,,,
d_nikke_n102_02_46,d_nikke_n102_02,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_02_46,False,n102,1,delight,,black,black,1.0,,,,,,,,
d_nikke_n102_02_47,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_47,False,,1,pain,,XS_10,XS_100,0.5,,,,,,,,
d_nikke_n102_02_48,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_48,True,,1,pain,,XS_100,XS_100,1.0,,,,,,,,
d_nikke_n102_02_49,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_49,True,,1,pain,,XS_100,XS_100,1.0,,,,,,,,
d_nikke_n102_02_50,d_nikke_n102_02,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_02_50,True,,1,pain,,XS_100,XS_10,1.0,,,,,,,,
d_nikke_n102_02_51,d_nikke_n102_02,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_02_51,False,,1,pain,,XS_10,XS_10,1.0,,,,,,,,
