id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_maiden_icerose_02_1,d_nikke_maiden_icerose_02,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_1,True,SnowTown_n,L_10,L_10,1.0,event_bgm_icedragonsaga_adventure,,,,,maiden_w,1,idle,,,,,
d_nikke_maiden_icerose_02_2,d_nikke_maiden_icerose_02,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_2,True,,L_10,L_10,1.0,,,,,,,1,idle,,,,,
d_nikke_maiden_icerose_02_3,d_nikke_maiden_icerose_02,Self,maiden_w,,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_3,False,,L_10,L_10,1.0,,,,,,,1,idle,,,,,
d_nikke_maiden_icerose_02_4,d_nikke_maiden_icerose_02,Self,maiden_w,,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_4,False,,L_10,L_10,1.0,,,,,,,1,idle,,,,,
d_nikke_maiden_icerose_02_5,d_nikke_maiden_icerose_02,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_5,True,,L_10,L_10,1.0,,,,,,,1,no,,,,,
d_nikke_maiden_icerose_02_6,d_nikke_maiden_icerose_02,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_6,True,,L_10,L_10,1.0,,,,,,,1,no,,,,,
d_nikke_maiden_icerose_02_7,d_nikke_maiden_icerose_02,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_7,True,,L_10,L_10,1.0,,,,,,,1,no,,,,,
d_nikke_maiden_icerose_02_8,d_nikke_maiden_icerose_02,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_8,True,,L_10,L_10,1.0,,,,,,,1,delight,,,,,
d_nikke_maiden_icerose_02_9,d_nikke_maiden_icerose_02,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_9,True,,L_10,L_10,1.0,,,,,,,1,delight,,,,,
d_nikke_maiden_icerose_02_10,d_nikke_maiden_icerose_02,Self,,,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_10,False,,L_10,L_10,1.0,,,,,,,1,delight,maiden_w,,,,
d_nikke_maiden_icerose_02_11,d_nikke_maiden_icerose_02,Self,,,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_11,False,,L_10,L_10,1.0,,,,,,,,,,,,,
d_nikke_maiden_icerose_02_12,d_nikke_maiden_icerose_02,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_12,True,Mafiaoffice,L_10,L_10,1.0,,black,,,,maiden_w,1,shy,,,,,
d_nikke_maiden_icerose_02_13,d_nikke_maiden_icerose_02,Self,maiden_w,,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_13,False,,L_10,L_10,1.0,,,,,,,1,shy,,,,,
d_nikke_maiden_icerose_02_14,d_nikke_maiden_icerose_02,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_14,True,,L_10,L_10,1.0,,,,,,,1,idle,,,,,
d_nikke_maiden_icerose_02_15,d_nikke_maiden_icerose_02,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_15,True,,L_10,L_10,1.0,,,,,,,1,idle,,,,,
d_nikke_maiden_icerose_02_16,d_nikke_maiden_icerose_02,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_16,True,,L_10,L_10,1.0,,,,,,,1,idle,,,,,
d_nikke_maiden_icerose_02_17,d_nikke_maiden_icerose_02,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_17,True,,L_10,12,1.0,,,,,,,1,idle,,ether,13,idle,
d_nikke_maiden_icerose_02_18,d_nikke_maiden_icerose_02,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_18,True,,12,12,1.0,none,,,,,,1,surprise,,,13,idle,
d_nikke_maiden_icerose_02_19,d_nikke_maiden_icerose_02,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_19,True,,12,12,1.0,bgm_story_kneeldownfools,,,,,,1,surprise,,,13,idle,
d_nikke_maiden_icerose_02_20,d_nikke_maiden_icerose_02,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_20,True,,12,12,1.0,,,,,,,1,worry,,,13,idle,
d_nikke_maiden_icerose_02_21,d_nikke_maiden_icerose_02,Speech,maiden_w,maiden_w,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_21,True,,12,12,1.0,,,,,,,1,worry,,,13,idle,
d_nikke_maiden_icerose_02_22,d_nikke_maiden_icerose_02,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_22,True,,12,12,1.0,,,,,,,1,worry,,,13,idle,
d_nikke_maiden_icerose_02_23,d_nikke_maiden_icerose_02,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_23,True,,12,12,1.0,,,,,,,1,surprise,,,13,idle,
d_nikke_maiden_icerose_02_24,d_nikke_maiden_icerose_02,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_24,True,,12,12,1.0,,,,,,,1,surprise,,,13,idle,
d_nikke_maiden_icerose_02_25,d_nikke_maiden_icerose_02,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_maiden_icerose_02_25,True,,12,12,1.0,,,,,,,1,surprise,,,13,idle,
