id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_filter_01,fade,characters/0/hide_char_id,jump_target
d_nikke_grave_04_1,d_nikke_grave_04,Monologue,Locale_NikkeEpisode:d_nikke_grave_04_1,False,grave_p,1,idle,Hospital_n,black,black,1.0,bgm_intotheswarm,,,,,,
d_nikke_grave_04_2,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_2,True,,1,idle,,1,L_10,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_3,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_3,True,,1,idle,,L_10,L_10,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_4,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_4,True,,1,idle,,L_10,L_10,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_5,d_nikke_grave_04,Self,Locale_NikkeEpisode:d_nikke_grave_04_5,False,,1,idle,,L_10,L_10,1.0,,grave_p,,,,,
d_nikke_grave_04_6,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_6,True,,1,idle,,L_10,L_10,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_7,d_nikke_grave_04,Self,Locale_NikkeEpisode:d_nikke_grave_04_7,False,,1,idle,,L_10,L_10,1.0,,grave_p,,,,,
d_nikke_grave_04_8,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_8,True,,1,idle,,L_10,1,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_9,d_nikke_grave_04,Monologue,Locale_NikkeEpisode:d_nikke_grave_04_9,False,,1,idle,City_d,black,black,1.0,,grave_p,,,,,
d_nikke_grave_04_10,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_10,True,,1,idle,,7,7,1.0,,grave_p,grave_p,Grey,,,
d_nikke_grave_04_11,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_11,True,,1,idle,,7,7,1.0,,grave_p,grave_p,Grey,,,
d_nikke_grave_04_12,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_12,True,,1,idle,,7,7,1.0,,grave_p,grave_p,Grey,,,
d_nikke_grave_04_13,d_nikke_grave_04,Self,Locale_NikkeEpisode:d_nikke_grave_04_13,False,,1,idle,,7,7,1.0,,grave_p,,Grey,,,
d_nikke_grave_04_14,d_nikke_grave_04,Self,Locale_NikkeEpisode:d_nikke_grave_04_14,False,,1,idle,,7,7,1.0,,grave_p,,Grey,,,
d_nikke_grave_04_15,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_15,True,,1,surprise,Hospital_n,7,1,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_16,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_16,True,,1,surprise,,1,1,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_17,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_17,True,,1,surprise,,1,1,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_18,d_nikke_grave_04,Self,Locale_NikkeEpisode:d_nikke_grave_04_18,False,,1,surprise,,1,1,1.0,,grave_p,,,,,
d_nikke_grave_04_19,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_19,True,,1,surprise,,1,L_10,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_20,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_20,True,,1,delight,,L_10,L_10,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_21,d_nikke_grave_04,Monologue,Locale_NikkeEpisode:d_nikke_grave_04_21,False,,1,delight,,black,black,1.0,,grave_p,,,,,
d_nikke_grave_04_22,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_22,True,,1,idle,,L_10,L_10,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_23,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_23,True,,1,idle,,L_10,L_10,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_24,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_24,True,,1,idle,,L_10,L_10,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_25,d_nikke_grave_04,Monologue,Locale_NikkeEpisode:d_nikke_grave_04_25,False,,1,idle,,black,black,1.0,,grave_p,,,,,
d_nikke_grave_04_26,d_nikke_grave_04,Monologue,Locale_NikkeEpisode:d_nikke_grave_04_26,False,,1,idle,,black,black,1.0,,grave_p,,,,,
d_nikke_grave_04_27,d_nikke_grave_04,Self,Locale_NikkeEpisode:d_nikke_grave_04_27,False,,1,idle,,1,1,1.0,,grave_p,,,,,
d_nikke_grave_04_28,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_28,True,,1,idle,,1,1,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_29,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_29,True,,1,idle,,1,1,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_30,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_30,False,,1,idle,,1,1,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_31,d_nikke_grave_04,Self,Locale_NikkeEpisode:d_nikke_grave_04_31,False,,1,idle,,1,1,1.0,,grave_p,,,,,
d_nikke_grave_04_32,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_32,True,,1,surprise,,1,L_10,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_33,d_nikke_grave_04,Self,Locale_NikkeEpisode:d_nikke_grave_04_33,False,,1,surprise,,L_10,L_10,1.0,,grave_p,,,,,
d_nikke_grave_04_34,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_34,True,,1,idle,,L_10,L_10,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_35,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_35,True,,1,idle,,L_10,L_10,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_36,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_36,True,,1,idle,CountryVillage_n,L_10,L_10,1.0,bgm_chapter32_field_advance,grave_p,grave_p,,black,,
d_nikke_grave_04_37,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_37,True,,1,idle,,L_10,L_10,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_38,d_nikke_grave_04,Self,Locale_NikkeEpisode:d_nikke_grave_04_38,False,,1,idle,,L_10,L_10,1.0,,grave_p,,,,,
d_nikke_grave_04_39,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_39,True,,1,idle,,L_10,L_10,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_40,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_40,True,,1,idle,,L_10,1,1.0,,grave_p,grave_p,,,,
d_nikke_grave_04_41,d_nikke_grave_04,Self,Locale_NikkeEpisode:d_nikke_grave_04_41,False,,1,idle,,1,1,1.0,,grave_p,,,,,
d_nikke_grave_04_42,d_nikke_grave_04,Monologue,Locale_NikkeEpisode:d_nikke_grave_04_42,False,,1,idle,Sky_n,1,L_100,1.0,,grave_p,,,,grave_p,
d_nikke_grave_04_43,d_nikke_grave_04,Self,Locale_NikkeEpisode:d_nikke_grave_04_43,False,,,,,L_100,L_100,1.0,,grave_p,,,,,
d_nikke_grave_04_44,d_nikke_grave_04,Speech,Locale_NikkeEpisode:d_nikke_grave_04_44,True,,,,,L_100,L_100,1.0,,grave_p,grave_p,,,,
