id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,jump_target,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_rupee_wintershopper_02_1,d_nikke_rupee_wintershopper_02,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_1,False,OutpostOut,13,1,3.0,none,,,,,,,,,,,,,,,,,
d_nikke_rupee_wintershopper_02_2,d_nikke_rupee_wintershopper_02,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,
d_nikke_rupee_wintershopper_02_3,d_nikke_rupee_wintershopper_02,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_3,False,black,1,1,1.0,,,,,,,,,,,,,,,,,,
d_nikke_rupee_wintershopper_02_4,d_nikke_rupee_wintershopper_02,Narration,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_4,False,,1,1,1.0,,m_nikke_rupee_wintershopper_02,sfx_scn_phonevibration,,,,,,,,,,,,,,,
d_nikke_rupee_wintershopper_02_5,d_nikke_rupee_wintershopper_02,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_5,False,OutpostOut,1,1,1.0,,,,,,,,,,,,,,,,,,
d_nikke_rupee_wintershopper_02_6,d_nikke_rupee_wintershopper_02,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_6,False,RoyalRoad,7,1,2.0,,,,black,,,,,,,,,,,,,,
d_nikke_rupee_wintershopper_02_7,d_nikke_rupee_wintershopper_02,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_7,False,,1,1,1.0,bgm_story_orangepop,,,,rupee_w,rupee,rupee_w,1,think,,,,,,,,,
d_nikke_rupee_wintershopper_02_8,d_nikke_rupee_wintershopper_02,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_8,True,,1,1,1.0,,,,,rupee_w,rupee,,1,think,,,,,,,,,
d_nikke_rupee_wintershopper_02_9,d_nikke_rupee_wintershopper_02,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_9,True,,1,1,1.0,,,,,rupee_w,rupee,,1,idle,,,,,,,,,
d_nikke_rupee_wintershopper_02_10,d_nikke_rupee_wintershopper_02,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_10,False,,1,31,1.0,,,,,staff,staff,,1,idle,staff,3,idle,,,,,,
d_nikke_rupee_wintershopper_02_11,d_nikke_rupee_wintershopper_02,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_11,True,,31,31,1.0,,,,,staff,staff,,1,think,,3,idle,,,,,,
d_nikke_rupee_wintershopper_02_12,d_nikke_rupee_wintershopper_02,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_12,True,,31,31,1.0,,,,,staff,staff,,1,think,,3,idle,,,,,,
d_nikke_rupee_wintershopper_02_13,d_nikke_rupee_wintershopper_02,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_13,True,,31,31,1.0,,,,,rupee_w,rupee,,1,think,,3,idle,,,,,,
d_nikke_rupee_wintershopper_02_14,d_nikke_rupee_wintershopper_02,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_14,True,,31,31,1.0,,,,,staff,staff,,1,think,,3,idle,,,,,,
d_nikke_rupee_wintershopper_02_15,d_nikke_rupee_wintershopper_02,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_15,False,,31,30,2.0,,,,,staff,staff,,1,think,,3,idle,,,,,,
d_nikke_rupee_wintershopper_02_16,d_nikke_rupee_wintershopper_02,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_16,True,,30,30,1.0,,,,,staff,staff,,1,think,,3,idle,,,,,,
d_nikke_rupee_wintershopper_02_17,d_nikke_rupee_wintershopper_02,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_02_17,True,,L_10,L_10,1.0,,,,,rupee_w,rupee,,1,think,,3,idle,,,,,,
