id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,set_filter_01,set_filter_02,fade,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake
d_nikke_sakura_04_1,d_nikke_sakura_04,Monologue,sakura,Locale_NikkeEpisode:d_nikke_sakura_04_1,False,sakura,1,idle,TatamiRoom,1,1,1.0,bgm_story_fairytalesend_if,,,,,,,,,,
d_nikke_sakura_04_2,d_nikke_sakura_04,Speech,sakura,Locale_NikkeEpisode:d_nikke_sakura_04_2,True,,1,idle,,1,10,1.0,,sakura,,,,,,,,,
d_nikke_sakura_04_3,d_nikke_sakura_04,Speech,sakura,Locale_NikkeEpisode:d_nikke_sakura_04_3,True,,1,idle,,10,10,1.0,,sakura,,,,,,,,,
d_nikke_sakura_04_4,d_nikke_sakura_04,Speech,sakura,Locale_NikkeEpisode:d_nikke_sakura_04_4,True,,1,idle,,10,10,1.0,,sakura,,,,,,,,,
d_nikke_sakura_04_5,d_nikke_sakura_04,Speech,sakura,Locale_NikkeEpisode:d_nikke_sakura_04_5,True,,1,idle,CityForest_03_d,10,10,1.0,,sakura,sakura,Grey,Vignetting,,,,,,
d_nikke_sakura_04_6,d_nikke_sakura_04,Speech,sakura,Locale_NikkeEpisode:d_nikke_sakura_04_6,True,,,,,10,10,1.0,,sakura,,Grey,Vignetting,,,,,,
d_nikke_sakura_04_7,d_nikke_sakura_04,Speech,sakura,Locale_NikkeEpisode:d_nikke_sakura_04_7,True,,,,,10,10,1.0,,sakura,,Grey,Vignetting,,,,,,
d_nikke_sakura_04_8,d_nikke_sakura_04,Speech,sakura,Locale_NikkeEpisode:d_nikke_sakura_04_8,True,,,,,10,10,1.0,,sakura,,Grey,Vignetting,,,,,,
d_nikke_sakura_04_9,d_nikke_sakura_04,Speech,sakura,Locale_NikkeEpisode:d_nikke_sakura_04_9,True,,,,,10,10,1.0,,sakura,,Grey,Vignetting,,,,,,
d_nikke_sakura_04_10,d_nikke_sakura_04,Speech,sakura,Locale_NikkeEpisode:d_nikke_sakura_04_10,True,,,,,10,10,1.0,,sakura,,Grey,Vignetting,,,,,,
