id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_d_killerwife_05_1,d_nikke_d_killerwife_05,Monologue,d_w,Locale_NikkeEpisode:d_nikke_d_killerwife_05_1,True,City,3,1,2.0,bgm_story_inwonderland,,,,d_w,1,idle,
d_nikke_d_killerwife_05_2,d_nikke_d_killerwife_05,Monologue,d_w,Locale_NikkeEpisode:d_nikke_d_killerwife_05_2,True,,1,10,1.0,,,,,,1,idle,
d_nikke_d_killerwife_05_3,d_nikke_d_killerwife_05,Self,d_w,Locale_NikkeEpisode:d_nikke_d_killerwife_05_3,True,,10,10,1.0,,,,,,1,idle,
d_nikke_d_killerwife_05_4,d_nikke_d_killerwife_05,Monologue,d_w,Locale_NikkeEpisode:d_nikke_d_killerwife_05_4,True,,10,100,1.0,,,,,,1,idle,
d_nikke_d_killerwife_05_5,d_nikke_d_killerwife_05,Speech,d_w,Locale_NikkeEpisode:d_nikke_d_killerwife_05_5,True,,100,100,1.0,,d_w,,,,1,surprise,
d_nikke_d_killerwife_05_6,d_nikke_d_killerwife_05,Speech,d_w,Locale_NikkeEpisode:d_nikke_d_killerwife_05_6,True,,100,100,1.0,,d_w,,,,1,surprise,
d_nikke_d_killerwife_05_7,d_nikke_d_killerwife_05,Self,d_w,Locale_NikkeEpisode:d_nikke_d_killerwife_05_7,True,,100,100,1.0,,,,,,1,surprise,
d_nikke_d_killerwife_05_8,d_nikke_d_killerwife_05,Self,d_w,Locale_NikkeEpisode:d_nikke_d_killerwife_05_8,True,,100,100,1.0,,,,,,1,surprise,
d_nikke_d_killerwife_05_9,d_nikke_d_killerwife_05,Speech,d_w,Locale_NikkeEpisode:d_nikke_d_killerwife_05_9,True,,100,100,1.0,,d_w,,,,1,sad,
d_nikke_d_killerwife_05_10,d_nikke_d_killerwife_05,Self,d_w,Locale_NikkeEpisode:d_nikke_d_killerwife_05_10,True,,100,100,1.0,,,,,,1,sad,
d_nikke_d_killerwife_05_11,d_nikke_d_killerwife_05,Speech,d_w,Locale_NikkeEpisode:d_nikke_d_killerwife_05_11,True,,100,100,1.0,,d_w,,,,1,idle,
d_nikke_d_killerwife_05_12,d_nikke_d_killerwife_05,Speech,d_w,Locale_NikkeEpisode:d_nikke_d_killerwife_05_12,True,,100,100,1.0,,d_w,,,,1,idle,
d_nikke_d_killerwife_05_13,d_nikke_d_killerwife_05,Narration,d_w,Locale_NikkeEpisode:d_nikke_d_killerwife_05_13,True,,100,100,1.0,,,sfx_scn_buggerbite,,,1,idle,
d_nikke_d_killerwife_05_14,d_nikke_d_killerwife_05,Monologue,d_w,Locale_NikkeEpisode:d_nikke_d_killerwife_05_14,True,,100,10,1.0,,,,,,1,idle,
d_nikke_d_killerwife_05_15,d_nikke_d_killerwife_05,Self,d_w,Locale_NikkeEpisode:d_nikke_d_killerwife_05_15,True,,10,10,1.0,,,,,,1,idle,
