id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,play_sound,set_camera_shake
d_nikke_emma_tactical_05_1,d_nikke_emma_tactical_05,Narration,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_1,False,NikkeRoom,black,black,1.0,bgm_story_treatment,Blur_Middle,,,,,,
d_nikke_emma_tactical_05_2,d_nikke_emma_tactical_05,Monologue,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_2,False,,10,100,1.5,,Blur_Middle,emma_t,1,idle,,,
d_nikke_emma_tactical_05_3,d_nikke_emma_tactical_05,Speech,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_3,True,,100,100,1.0,,,,1,idle,emma_t,,
d_nikke_emma_tactical_05_4,d_nikke_emma_tactical_05,Self,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_4,False,,100,100,1.0,,,,1,idle,,,
d_nikke_emma_tactical_05_5,d_nikke_emma_tactical_05,Speech,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_5,True,,100,100,1.0,,,,1,idle,emma_t,,
d_nikke_emma_tactical_05_6,d_nikke_emma_tactical_05,Speech,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_6,True,,100,100,1.0,,,,1,idle,emma_t,,
d_nikke_emma_tactical_05_7,d_nikke_emma_tactical_05,Speech,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_7,True,,100,100,1.0,,,,1,idle,emma_t,,
d_nikke_emma_tactical_05_8,d_nikke_emma_tactical_05,Self,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_8,False,,100,100,1.0,,,,1,idle,,,
d_nikke_emma_tactical_05_9,d_nikke_emma_tactical_05,Speech,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_9,True,,100,100,1.0,,,,1,delight,emma_t,,
d_nikke_emma_tactical_05_10,d_nikke_emma_tactical_05,Speech,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_10,True,,100,100,1.0,,,,1,delight,emma_t,,
d_nikke_emma_tactical_05_11,d_nikke_emma_tactical_05,Speech,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_11,True,,100,100,1.0,,,,1,idle,emma_t,,
d_nikke_emma_tactical_05_12,d_nikke_emma_tactical_05,Self,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_12,False,,100,100,1.0,,,,1,idle,,,
d_nikke_emma_tactical_05_13,d_nikke_emma_tactical_05,Monologue,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_13,False,,100,100,1.0,,,,1,idle,,,
d_nikke_emma_tactical_05_14,d_nikke_emma_tactical_05,Monologue,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_14,False,,100,10,0.5,,,,1,idle,,sfx_scn_blanket,Low_2
d_nikke_emma_tactical_05_15,d_nikke_emma_tactical_05,Monologue,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_15,False,,10,10,1.0,,,,1,idle,,,
d_nikke_emma_tactical_05_16,d_nikke_emma_tactical_05,Speech,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_16,True,,10,10,1.0,,,,1,idle,emma_t,,
d_nikke_emma_tactical_05_17,d_nikke_emma_tactical_05,Speech,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_17,True,,10,10,1.0,,,,1,idle,emma_t,,
d_nikke_emma_tactical_05_18,d_nikke_emma_tactical_05,Speech,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_18,True,,10,10,1.0,,,,1,idle,emma_t,,
d_nikke_emma_tactical_05_19,d_nikke_emma_tactical_05,Self,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_19,False,,10,10,1.0,,,,1,idle,,,
d_nikke_emma_tactical_05_20,d_nikke_emma_tactical_05,Speech,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_20,True,,10,10,1.0,,,,1,idle,emma_t,,
d_nikke_emma_tactical_05_21,d_nikke_emma_tactical_05,Speech,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_21,True,,10,10,1.0,,,,1,idle,emma_t,,
d_nikke_emma_tactical_05_22,d_nikke_emma_tactical_05,Speech,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_22,True,,10,100,1.2,,,,1,special,emma_t,,
d_nikke_emma_tactical_05_23,d_nikke_emma_tactical_05,Speech,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_05_23,True,,100,100,1.0,,,,1,special,emma_t,,
