id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,characters/3/hide_char_id,characters/2/hide_char_id
d_nikke_rumani_01_1,d_nikke_rumani_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rumani_01_1,False,CommanderRoom,1,1,1.0,none,,,,,,,,,,,,,,,,,,,
d_nikke_rumani_01_2,d_nikke_rumani_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rumani_01_2,False,,1,1,1.0,bgm_story_breakaway,,,,,,,,,,,,,,,,,,,
d_nikke_rumani_01_3,d_nikke_rumani_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_rumani_01_3,False,,black,black,1.0,,sfx_scn_shower,,,,,,,,,,,,,,,,,,
d_nikke_rumani_01_4,d_nikke_rumani_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rumani_01_4,False,,1,10,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_rumani_01_5,d_nikke_rumani_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rumani_01_5,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_rumani_01_6,d_nikke_rumani_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rumani_01_6,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_rumani_01_7,d_nikke_rumani_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rumani_01_7,False,,10,1,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_rumani_01_8,d_nikke_rumani_01,Self,Self,Locale_NikkeEpisode:d_nikke_rumani_01_8,False,,1,10,0.5,,,,,,,,,,,,,,,,,,,,
d_nikke_rumani_01_9,d_nikke_rumani_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rumani_01_9,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_rumani_01_10,d_nikke_rumani_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rumani_01_10,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_rumani_01_11,d_nikke_rumani_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rumani_01_11,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_rumani_01_12,d_nikke_rumani_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_rumani_01_12,False,,10,4,1.0,,sfx_scn_knock,,,,,,,,,,,,,,,,,,
d_nikke_rumani_01_13,d_nikke_rumani_01,Speech,rapi,Locale_NikkeEpisode:d_nikke_rumani_01_13,True,,4,4,1.0,,,rapi,,,,,,,,,,,,,,,,,
