id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_nikke_anis_02_1,d_nikke_anis_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_02_1,True,anis,1,idle,FastFood,10,10,1.0,bgm_story_backtonormal,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anis_02_2,d_nikke_anis_02,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_02_2,False,,1,idle,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anis_02_3,d_nikke_anis_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_02_3,True,,1,void,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anis_02_4,d_nikke_anis_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_02_4,True,,1,void,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anis_02_5,d_nikke_anis_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_02_5,True,,1,delight,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anis_02_6,d_nikke_anis_02,Monologue,anis,Monologue,Locale_NikkeEpisode:d_nikke_anis_02_6,False,,1,delight,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anis_02_7,d_nikke_anis_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_anis_02_7,False,,1,idle,,150,150,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anis_02_8,d_nikke_anis_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_anis_02_8,False,,1,idle,,150,150,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anis_02_9,d_nikke_anis_02,Choice,,,Locale_NikkeEpisode:d_nikke_anis_02_9,False,,1,idle,,150,150,1.0,,d_nikke_anis_02_11,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anis_02_10,d_nikke_anis_02,Choice,,,Locale_NikkeEpisode:d_nikke_anis_02_10,False,,1,idle,,150,150,1.0,,d_nikke_anis_02_11,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anis_02_11,d_nikke_anis_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_02_11,True,,1,delight,,150,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anis_02_12,d_nikke_anis_02,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_02_12,False,,1,delight,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anis_02_13,d_nikke_anis_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_02_13,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anis_02_14,d_nikke_anis_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_02_14,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anis_02_15,d_nikke_anis_02,Narration,,Narration,Locale_NikkeEpisode:d_nikke_anis_02_15,False,,1,idle,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,
