id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_ce004_02_02_1,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_1,True,MaidCafe,1,1,1.0,bgm_story_leisuretime,,ce004_02_s,12,idle,ein,2,surprise,
d_nikke_ce004_02_02_2,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_2,True,,1,1,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_3,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_3,True,,1,1,1.0,,,,12,idle,,2,delight,
d_nikke_ce004_02_02_4,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_4,True,,1,1,1.0,,,,12,idle,,2,delight,
d_nikke_ce004_02_02_5,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_5,True,,1,1,1.0,,,,12,idle,,2,delight,
d_nikke_ce004_02_02_6,d_nikke_ce004_02_02,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_02_6,False,,1,1,1.0,,,,12,idle,,2,delight,
d_nikke_ce004_02_02_7,d_nikke_ce004_02_02,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_02_7,True,,1,1,1.0,,,,12,idle,,2,delight,
d_nikke_ce004_02_02_8,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_8,True,,1,20,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_9,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_9,True,,20,20,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_10,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_10,True,,20,20,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_11,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_11,True,,20,20,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_12,d_nikke_ce004_02_02,Monologue,ce004_02_s,,Locale_NikkeEpisode:d_nikke_ce004_02_02_12,False,,20,120,1.0,,,,12,idle,,2,surprise,ein
d_nikke_ce004_02_02_13,d_nikke_ce004_02_02,Monologue,ce004_02_s,,Locale_NikkeEpisode:d_nikke_ce004_02_02_13,False,,120,120,1.0,,,,12,idle,,,,
d_nikke_ce004_02_02_14,d_nikke_ce004_02_02,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_02_14,False,,120,120,1.0,,,,12,idle,,,,
d_nikke_ce004_02_02_15,d_nikke_ce004_02_02,Monologue,ce004_02_s,,Locale_NikkeEpisode:d_nikke_ce004_02_02_15,False,,120,60,1.7,,,,12,idle,,,,
d_nikke_ce004_02_02_16,d_nikke_ce004_02_02,Monologue,ce004_02_s,,Locale_NikkeEpisode:d_nikke_ce004_02_02_16,False,,black,black,1.0,,,,12,idle,ein,2,delight,
d_nikke_ce004_02_02_17,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_17,True,,1,1,1.0,,,,12,idle,,2,delight,
d_nikke_ce004_02_02_18,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_18,True,,1,1,1.0,,,,12,idle,,2,delight,
d_nikke_ce004_02_02_19,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_19,True,,1,1,1.0,,,,12,idle,,2,delight,
d_nikke_ce004_02_02_20,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_20,True,,1,1,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_21,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_21,True,,1,1,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_22,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_22,True,,1,1,1.0,,,,12,idle,,2,shy,
d_nikke_ce004_02_02_23,d_nikke_ce004_02_02,Monologue,ce004_02_s,,Locale_NikkeEpisode:d_nikke_ce004_02_02_23,False,,1,120,1.0,,,,12,idle,,2,shy,
d_nikke_ce004_02_02_24,d_nikke_ce004_02_02,Monologue,ce004_02_s,,Locale_NikkeEpisode:d_nikke_ce004_02_02_24,False,,120,120,1.0,,,,12,idle,,2,shy,
d_nikke_ce004_02_02_25,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_25,True,,120,20,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_26,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_26,True,,20,20,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_27,d_nikke_ce004_02_02,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_02_27,True,,20,1,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_28,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_28,True,,1,1,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_29,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_29,True,,1,1,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_30,d_nikke_ce004_02_02,Monologue,ein,,Locale_NikkeEpisode:d_nikke_ce004_02_02_30,False,,1,1,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_31,d_nikke_ce004_02_02,Monologue,ein,,Locale_NikkeEpisode:d_nikke_ce004_02_02_31,False,,1,1,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_32,d_nikke_ce004_02_02,Monologue,ein,,Locale_NikkeEpisode:d_nikke_ce004_02_02_32,False,,1,1,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_33,d_nikke_ce004_02_02,Monologue,ein,,Locale_NikkeEpisode:d_nikke_ce004_02_02_33,False,,1,1,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_34,d_nikke_ce004_02_02,Narration,ein,,Locale_NikkeEpisode:d_nikke_ce004_02_02_34,False,,black,black,1.0,none,sfx_scn_toyshopbell,,12,idle,,2,surprise,
d_nikke_ce004_02_02_35,d_nikke_ce004_02_02,Speech,ein,femaleemployee,Locale_NikkeEpisode:d_nikke_ce004_02_02_35,False,City_d,black,black,1.0,,,,12,idle,,2,surprise,
d_nikke_ce004_02_02_36,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_36,True,,1,1,1.0,bgm_inark,,,12,idle,,2,delight,
d_nikke_ce004_02_02_37,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_37,True,,1,1,1.0,,,,12,idle,,2,delight,
d_nikke_ce004_02_02_38,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_38,True,,1,1,1.0,,,,12,idle,,2,delight,
d_nikke_ce004_02_02_39,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_39,True,,1,1,1.0,,,,12,idle,,2,delight,
d_nikke_ce004_02_02_40,d_nikke_ce004_02_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_02_40,True,,1,1,1.0,,,,12,idle,,2,delight,
