id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,jump_target,characters/0/hide_char_id,play_sound
d_nikke_quency_01_1,d_nikke_quency_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_01_1,True,quency,3,idle,guilty,7,idle,sin,9,idle,Jail,30,30,1.0,bgm_story_fairytalesend_if,Grey,Vignetting,,,,,,,,,
d_nikke_quency_01_2,d_nikke_quency_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_01_2,True,,3,idle,,7,idle,,9,idle,,97,97,1.0,,Grey,Vignetting,,,,,,,,,
d_nikke_quency_01_3,d_nikke_quency_01,Self,,,Locale_NikkeEpisode:d_nikke_quency_01_3,False,,3,idle,,7,idle,,9,idle,JailCorridor,97,1,2.0,,,,mana,1,idle,quency,guilty,sin,,,
d_nikke_quency_01_4,d_nikke_quency_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_01_4,True,,,,,,,,,,,1,1,1.0,,,,,1,idle,,,,,,
d_nikke_quency_01_5,d_nikke_quency_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_01_5,True,,,,,,,,,,,1,1,1.0,,,,,1,idle,,,,,,
d_nikke_quency_01_6,d_nikke_quency_01,Self,,,Locale_NikkeEpisode:d_nikke_quency_01_6,False,,,,,,,,,,,1,1,1.0,,,,,1,idle,,,,,,
d_nikke_quency_01_7,d_nikke_quency_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_01_7,True,,,,,,,,,,,1,10,1.0,,,,,1,idle,,,,,,
d_nikke_quency_01_8,d_nikke_quency_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_01_8,True,,,,,,,,,,,10,10,1.0,,,,,1,idle,,,,,,
d_nikke_quency_01_9,d_nikke_quency_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_01_9,True,,,,,,,,,,,10,10,1.0,,,,,1,idle,,,,,,
d_nikke_quency_01_10,d_nikke_quency_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_01_10,True,,,,,,,,,,,10,10,1.0,,,,,1,idle,,,,,,
d_nikke_quency_01_11,d_nikke_quency_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_01_11,True,,,,,,,,,,,10,10,1.0,,,,,1,idle,,,,,,
d_nikke_quency_01_12,d_nikke_quency_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_01_12,True,,,,,,,,,,,10,10,1.0,,,,,1,idle,,,,,,
d_nikke_quency_01_13,d_nikke_quency_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_01_13,True,,,,,,,,,,,10,10,1.0,,,,,1,idle,,,,,,
d_nikke_quency_01_14,d_nikke_quency_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_01_14,True,,,,,,,,,,,10,100,1.0,,,,,1,idle,,,,,,
d_nikke_quency_01_15,d_nikke_quency_01,Choice,,,Locale_NikkeEpisode:d_nikke_quency_01_15,False,,,,,,,,,,,100,100,1.0,,,,,1,idle,,,,d_nikke_quency_01_17,,
d_nikke_quency_01_16,d_nikke_quency_01,Choice,,,Locale_NikkeEpisode:d_nikke_quency_01_16,False,,,,,,,,,,,100,100,1.0,,,,,1,idle,,,,d_nikke_quency_01_18,,
d_nikke_quency_01_17,d_nikke_quency_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_01_17,True,,,,,,,,,,,100,100,1.0,,,,,1,idle,,,,d_nikke_quency_01_18,,
d_nikke_quency_01_18,d_nikke_quency_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_01_18,True,,,,,,,,,,,100,10,1.0,,,,,1,idle,,,,,,
d_nikke_quency_01_19,d_nikke_quency_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_01_19,True,,,,,,,,,,,10,10,1.0,,,,,1,idle,,,,,,
d_nikke_quency_01_20,d_nikke_quency_01,Self,,,Locale_NikkeEpisode:d_nikke_quency_01_20,False,,,,,,,,,,,10,10,1.0,,,,,1,idle,,,,,,
d_nikke_quency_01_21,d_nikke_quency_01,Narration,,,Locale_NikkeEpisode:d_nikke_quency_01_21,False,,,,,,,,,,Jail,black,black,1.0,none,,,,1,idle,,,,,mana,sfx_scn_rustydooropen
d_nikke_quency_01_22,d_nikke_quency_01,Narration,,,Locale_NikkeEpisode:d_nikke_quency_01_22,False,,,,,,,,,,,black,black,1.0,,,,,,,,,,,,
d_nikke_quency_01_23,d_nikke_quency_01,Self,,,Locale_NikkeEpisode:d_nikke_quency_01_23,False,,,,,,,,,,,15,15,1.0,,,,,,,,,,,,
