id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_eleggboomandshock_03_1,d_nikke_eleggboomandshock_03,Self,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_1,False,CoinRushGameZone,S_100,S_100,1.0,bgm_story_cottoncandy,,,,elegg_s,1,idle,,,,,,
d_nikke_eleggboomandshock_03_2,d_nikke_eleggboomandshock_03,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_2,True,,S_100,S_100,1.0,,elegg_s,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_3,d_nikke_eleggboomandshock_03,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_3,True,,S_100,S_10,1.0,,elegg_s,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_4,d_nikke_eleggboomandshock_03,Self,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_4,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_5,d_nikke_eleggboomandshock_03,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_5,True,,S_10,S_10,1.0,,elegg_s,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_6,d_nikke_eleggboomandshock_03,Self,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_6,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_7,d_nikke_eleggboomandshock_03,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_7,True,,S_10,S_10,1.0,,elegg_s,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_8,d_nikke_eleggboomandshock_03,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_8,True,,S_10,S_10,1.0,,elegg_s,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_9,d_nikke_eleggboomandshock_03,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_9,True,,S_10,S_10,1.0,,elegg_s,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_10,d_nikke_eleggboomandshock_03,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_10,True,,S_10,S_10,1.0,,elegg_s,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_11,d_nikke_eleggboomandshock_03,Self,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_11,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_12,d_nikke_eleggboomandshock_03,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_12,True,,S_10,S_10,1.0,,elegg_s,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_13,d_nikke_eleggboomandshock_03,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_13,True,,S_10,S_10,1.0,,elegg_s,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_14,d_nikke_eleggboomandshock_03,Self,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_14,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_15,d_nikke_eleggboomandshock_03,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_15,True,,S_10,S_100,1.0,,elegg_s,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_16,d_nikke_eleggboomandshock_03,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_16,True,,S_100,S_100,1.0,,elegg_s,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_17,d_nikke_eleggboomandshock_03,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_17,True,,S_100,S_100,1.0,,elegg_s,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_18,d_nikke_eleggboomandshock_03,Monologue,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_18,False,,black,black,1.0,,,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_19,d_nikke_eleggboomandshock_03,Monologue,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_19,False,,black,black,1.0,,,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_20,d_nikke_eleggboomandshock_03,Narration,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_20,False,,black,black,1.0,,,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_21,d_nikke_eleggboomandshock_03,Monologue,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_21,False,,black,black,1.0,,,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_22,d_nikke_eleggboomandshock_03,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_22,True,,S_100,S_10,0.5,,elegg_s,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_23,d_nikke_eleggboomandshock_03,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_23,True,,S_10,S_10,1.0,,elegg_s,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_24,d_nikke_eleggboomandshock_03,Self,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_24,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,
d_nikke_eleggboomandshock_03_25,d_nikke_eleggboomandshock_03,Speech,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_03_25,True,,S_10,S_10,1.0,,elegg_s,,,,1,idle,,,,,,
