id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,set_camera_shake,jump_target
d_nikke_ade_02_1,d_nikke_ade_02,Narration,Locale_NikkeEpisode:d_nikke_ade_02_1,False,CommanderRoom,black,black,1.0,sfx_scn_knock,bgm_story_breakaway,,,,,,,,
d_nikke_ade_02_2,d_nikke_ade_02,Speech,Locale_NikkeEpisode:d_nikke_ade_02_2,True,,black,black,1.0,,,ade,ade,,,,,,
d_nikke_ade_02_3,d_nikke_ade_02,Self,Locale_NikkeEpisode:d_nikke_ade_02_3,False,,black,black,1.0,,,Self,Self,,,,,,
d_nikke_ade_02_4,d_nikke_ade_02,Narration,Locale_NikkeEpisode:d_nikke_ade_02_4,False,,1,1,1.0,sfx_scn_autodooropen,,,,,,,,,
d_nikke_ade_02_5,d_nikke_ade_02,Speech,Locale_NikkeEpisode:d_nikke_ade_02_5,True,,1,10,1.0,,,ade,ade,ade,1,delight,,,
d_nikke_ade_02_6,d_nikke_ade_02,Speech,Locale_NikkeEpisode:d_nikke_ade_02_6,True,,10,10,1.0,,,ade,ade,,1,delight,,,
d_nikke_ade_02_7,d_nikke_ade_02,Speech,Locale_NikkeEpisode:d_nikke_ade_02_7,True,,10,10,1.0,,,ade,ade,,1,delight,,,
d_nikke_ade_02_8,d_nikke_ade_02,Narration,Locale_NikkeEpisode:d_nikke_ade_02_8,False,,10,1,1.0,sfx_scn_putdown,,ade,,,1,idle,,,
d_nikke_ade_02_9,d_nikke_ade_02,Monologue,Locale_NikkeEpisode:d_nikke_ade_02_9,False,,1,1,1.0,,,ade,,,1,idle,,,
d_nikke_ade_02_10,d_nikke_ade_02,Monologue,Locale_NikkeEpisode:d_nikke_ade_02_10,False,,1,1,1.0,,,ade,,,1,idle,ade,,
d_nikke_ade_02_11,d_nikke_ade_02,Narration,Locale_NikkeEpisode:d_nikke_ade_02_11,False,,1,1,1.0,sfx_scn_blanket,,,,,1,idle,,,
d_nikke_ade_02_12,d_nikke_ade_02,Monologue,Locale_NikkeEpisode:d_nikke_ade_02_12,False,,1,1,1.0,,,,,,1,idle,,,
d_nikke_ade_02_13,d_nikke_ade_02,Monologue,Locale_NikkeEpisode:d_nikke_ade_02_13,False,,1,1,1.0,,,,,,1,idle,,,
d_nikke_ade_02_14,d_nikke_ade_02,Speech,Locale_NikkeEpisode:d_nikke_ade_02_14,True,,1,1,1.0,,,ade,ade,ade,1,idle,,,
d_nikke_ade_02_15,d_nikke_ade_02,Speech,Locale_NikkeEpisode:d_nikke_ade_02_15,True,,1,1,1.0,,,ade,ade,,1,idle,,,
d_nikke_ade_02_16,d_nikke_ade_02,Speech,Locale_NikkeEpisode:d_nikke_ade_02_16,True,,1,1,1.0,,,ade,ade,,1,idle,,,
d_nikke_ade_02_17,d_nikke_ade_02,Speech,Locale_NikkeEpisode:d_nikke_ade_02_17,True,,1,1,1.0,,,ade,ade,,1,idle,,,
d_nikke_ade_02_18,d_nikke_ade_02,Self,Locale_NikkeEpisode:d_nikke_ade_02_18,False,,1,10,1.0,,,ade,,,1,idle,,,
d_nikke_ade_02_19,d_nikke_ade_02,Speech,Locale_NikkeEpisode:d_nikke_ade_02_19,True,,10,10,1.0,,,ade,ade,,1,delight,,,
d_nikke_ade_02_20,d_nikke_ade_02,Speech,Locale_NikkeEpisode:d_nikke_ade_02_20,True,,10,10,1.0,,,ade,ade,,1,delight,,,
d_nikke_ade_02_21,d_nikke_ade_02,Self,Locale_NikkeEpisode:d_nikke_ade_02_21,False,,10,10,1.0,,,ade,,,1,delight,,,
d_nikke_ade_02_22,d_nikke_ade_02,Speech,Locale_NikkeEpisode:d_nikke_ade_02_22,True,,10,10,1.0,,,ade,ade,,1,worried,,,
d_nikke_ade_02_23,d_nikke_ade_02,Speech,Locale_NikkeEpisode:d_nikke_ade_02_23,True,,10,10,1.0,,,ade,ade,,1,worried,,,
d_nikke_ade_02_24,d_nikke_ade_02,Self,Locale_NikkeEpisode:d_nikke_ade_02_24,False,,10,10,1.0,,,ade,,,1,worried,,,
d_nikke_ade_02_25,d_nikke_ade_02,Self,Locale_NikkeEpisode:d_nikke_ade_02_25,False,,10,10,1.0,,,ade,,,1,worried,,,
