id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,fade,set_camera_shake
d_nikke_leona_01_1,d_nikke_leona_01,Monologue,Locale_NikkeEpisode:d_nikke_leona_01_1,False,OutpostOut,black,black,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,
d_nikke_leona_01_2,d_nikke_leona_01,Monologue,Locale_NikkeEpisode:d_nikke_leona_01_2,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_leona_01_3,d_nikke_leona_01,Narration,Locale_NikkeEpisode:d_nikke_leona_01_3,False,,black,black,1.0,,biscuit,13,idle,sfx_scn_autodooropen,,,,,,,,,,,
d_nikke_leona_01_4,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_4,True,,13,13,1.0,,,13,idle,,biscuit,biscuit,,,,,,,,,
d_nikke_leona_01_5,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_5,True,,13,13,1.0,,,13,idle,,biscuit,biscuit,,,,,,,,,
d_nikke_leona_01_6,d_nikke_leona_01,Self,Locale_NikkeEpisode:d_nikke_leona_01_6,False,,13,13,1.0,,,13,idle,,,,,,,,,,,,
d_nikke_leona_01_7,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_7,True,,13,13,1.0,,,13,sad,,biscuit,biscuit,,,,,,,,,
d_nikke_leona_01_8,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_8,True,,13,13,1.0,,,13,sad,,biscuit,biscuit,,,,,,,,,
d_nikke_leona_01_9,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_9,True,,13,13,1.0,,,13,sad,,biscuit,biscuit,,,,,,,,,
d_nikke_leona_01_10,d_nikke_leona_01,Monologue,Locale_NikkeEpisode:d_nikke_leona_01_10,False,SchoolCorridor,black,black,1.0,,,13,sad,,,,,,,,,,,,
d_nikke_leona_01_11,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_11,True,,2,2,1.0,,,13,idle,,leona_no,leona_no,leona_no,1,sad,timi,3,idle,,,
d_nikke_leona_01_12,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_12,True,,2,2,1.0,,,13,idle,,leona_no,leona_no,,1,sad,,3,idle,,,
d_nikke_leona_01_13,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_13,True,,2,2,1.0,,,13,idle,sfx_scn_whine,timi,timi,,1,sad,,3,think,,,
d_nikke_leona_01_14,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_14,True,,2,2,1.0,,,13,idle,,leona_no,leona_no,,1,sad,,3,think,,,
d_nikke_leona_01_15,d_nikke_leona_01,Self,Locale_NikkeEpisode:d_nikke_leona_01_15,False,,2,2,1.0,,,13,idle,,,,,1,sad,,3,think,,,
d_nikke_leona_01_16,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_16,True,,2,Leo_10,1.0,,,13,idle,,leona_no,leona_no,,1,idle,,3,idle,,,
d_nikke_leona_01_17,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_17,True,,Leo_10,Leo_10,1.0,,,13,idle,,leona_no,leona_no,,1,idle,,3,idle,,,
d_nikke_leona_01_18,d_nikke_leona_01,Self,Locale_NikkeEpisode:d_nikke_leona_01_18,False,,Leo_10,Leo_10,1.0,,,13,idle,,,,,1,idle,,3,idle,,,
d_nikke_leona_01_19,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_19,True,,Leo_10,Leo_10,1.0,,,13,idle,,leona_no,leona_no,,1,sad,,3,idle,,,
d_nikke_leona_01_20,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_20,True,,Leo_10,Leo_10,1.0,,,13,idle,,leona_no,leona_no,,1,sad,,3,idle,,,
d_nikke_leona_01_21,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_21,True,,Leo_10,Leo_10,1.0,,,13,idle,,leona_no,leona_no,,1,sad,,3,idle,,,
d_nikke_leona_01_22,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_22,True,,Leo_10,Leo_10,1.0,,,13,idle,,leona_no,leona_no,,1,sad,,3,idle,,,
d_nikke_leona_01_23,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_23,True,,Leo_10,Leo_10,1.0,,,13,idle,,leona_no,leona_no,,1,idle,,3,idle,,,
d_nikke_leona_01_24,d_nikke_leona_01,Self,Locale_NikkeEpisode:d_nikke_leona_01_24,False,,Leo_10,Leo_10,1.0,,,13,idle,,,,,1,idle,,3,idle,,,
d_nikke_leona_01_25,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_25,True,,Leo_10,Leo_10,1.0,,,13,idle,,leona_no,leona_no,,1,idle,,3,idle,,,
d_nikke_leona_01_26,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_26,True,,Leo_10,Leo_10,1.0,,,13,idle,,leona_no,leona_no,,1,idle,,3,idle,,,
d_nikke_leona_01_27,d_nikke_leona_01,Speech,Locale_NikkeEpisode:d_nikke_leona_01_27,True,,Leo_10,Leo_10,1.0,,,13,idle,,leona_no,leona_no,,1,idle,,3,idle,,,
