id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,jump_target,set_camera_shake,fade
d_nikke_ether_01_1,d_nikke_ether_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ether_01_1,False,CommanderRoom,9,5,2.0,bgm_story_crawlinganxiety,,,,,,,,,,,,,,
d_nikke_ether_01_2,d_nikke_ether_01,Self,Self,Locale_NikkeEpisode:d_nikke_ether_01_2,False,,5,5,1.0,,,,,,,,,,,,,,,
d_nikke_ether_01_3,d_nikke_ether_01,Speech,rapi,Locale_NikkeEpisode:d_nikke_ether_01_3,True,,5,1,1.0,,rapi,rapi,2,worry,anis,12,void,,,,,,,
d_nikke_ether_01_4,d_nikke_ether_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ether_01_4,False,,1,120,1.0,,anis,,2,worry,,12,void,,,,,,,
d_nikke_ether_01_5,d_nikke_ether_01,Speech,anis,Locale_NikkeEpisode:d_nikke_ether_01_5,True,,120,120,1.0,,anis,,2,worry,,12,worry,,,,,,,
d_nikke_ether_01_6,d_nikke_ether_01,Self,Self,Locale_NikkeEpisode:d_nikke_ether_01_6,False,,120,120,1.0,,anis,,2,worry,,12,worry,,,,,,,
d_nikke_ether_01_7,d_nikke_ether_01,Speech,rapi,Locale_NikkeEpisode:d_nikke_ether_01_7,True,,120,20,1.0,,rapi,,2,worry,,12,worry,,,,,,,
d_nikke_ether_01_8,d_nikke_ether_01,Speech,rapi,Locale_NikkeEpisode:d_nikke_ether_01_8,True,,20,20,1.0,,rapi,,2,worry,,12,worry,,,,,,,
d_nikke_ether_01_9,d_nikke_ether_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ether_01_9,False,,black,black,1.0,,,,2,worry,,12,worry,,,,,,,
d_nikke_ether_01_10,d_nikke_ether_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ether_01_10,False,,20,1,1.0,,,,2,worry,,12,worry,,,,,,,
d_nikke_ether_01_11,d_nikke_ether_01,Self,Self,Locale_NikkeEpisode:d_nikke_ether_01_11,False,,1,1,1.0,,,,2,worry,,12,worry,Blur_Low,,,,,,
d_nikke_ether_01_12,d_nikke_ether_01,Speech,anis,Locale_NikkeEpisode:d_nikke_ether_01_12,True,,1,1200,1.0,,anis,,2,worry,,12,worry,Blur_Low,,,,,,
d_nikke_ether_01_13,d_nikke_ether_01,Self,Self,Locale_NikkeEpisode:d_nikke_ether_01_13,False,,1200,1200,1.0,,,,2,worry,,12,worry,Blur_Low,,,,,,
d_nikke_ether_01_14,d_nikke_ether_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ether_01_14,False,,1200,1200,1.0,,,,2,worry,,12,worry,Blur_Middle,,,,,,
d_nikke_ether_01_15,d_nikke_ether_01,Speech,anis,Locale_NikkeEpisode:d_nikke_ether_01_15,True,,1200,1200,1.0,,anis,,2,worry,,12,worry,Blur_Low,,,,,,
