id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,jump_target,fade,set_camera_shake
d_nikke_c_3_03_1,d_nikke_c_3_03,Monologue,Locale_NikkeEpisode:d_nikke_c_3_03_1,False,BurningCity,5,13,2.0,bgm_story_armageddon,,,,,,,,,,,,,,,,,
d_nikke_c_3_03_2,d_nikke_c_3_03,Monologue,Locale_NikkeEpisode:d_nikke_c_3_03_2,False,,13,13,1.0,,,,,,,,,,,,,,,,,,
d_nikke_c_3_03_3,d_nikke_c_3_03,Monologue,Locale_NikkeEpisode:d_nikke_c_3_03_3,False,,13,13,1.0,,,,,,,,,,,,,,,,,,
d_nikke_c_3_03_4,d_nikke_c_3_03,Speech,Locale_NikkeEpisode:d_nikke_c_3_03_4,True,,13,XS_130,1.0,,poli,poli,c_3,1,idle,poli,13,angry,miranda,15,idle,,,,,,
d_nikke_c_3_03_5,d_nikke_c_3_03,Speech,Locale_NikkeEpisode:d_nikke_c_3_03_5,True,,XS_130,S_150,1.0,,miranda,miranda,,1,idle,,13,angry,,15,idle,,,,,,
d_nikke_c_3_03_6,d_nikke_c_3_03,Monologue,Locale_NikkeEpisode:d_nikke_c_3_03_6,False,,S_150,10,2.0,,miranda,,,1,idle,,13,angry,,15,idle,poli,miranda,,,,
d_nikke_c_3_03_7,d_nikke_c_3_03,Speech,Locale_NikkeEpisode:d_nikke_c_3_03_7,True,,10,10,1.0,,c_3,c_3,,1,idle,,,,,,,,,,,,
d_nikke_c_3_03_8,d_nikke_c_3_03,Self,Locale_NikkeEpisode:d_nikke_c_3_03_8,False,,10,10,1.0,,c_3,,,1,idle,,,,,,,,,,,,
d_nikke_c_3_03_9,d_nikke_c_3_03,Speech,Locale_NikkeEpisode:d_nikke_c_3_03_9,True,,10,10,1.0,,poli,poli,,1,idle,,,,,,,,,,,,
d_nikke_c_3_03_10,d_nikke_c_3_03,Monologue,Locale_NikkeEpisode:d_nikke_c_3_03_10,False,City_d,black,black,1.0,,poli,,,1,idle,poli,13,sad,miranda,15,idle,,,,,,
d_nikke_c_3_03_11,d_nikke_c_3_03,Speech,Locale_NikkeEpisode:d_nikke_c_3_03_11,True,,13,XS_130,1.0,none,poli,poli,,1,idle,,13,sad,,15,idle,,,,,,
d_nikke_c_3_03_12,d_nikke_c_3_03,Speech,Locale_NikkeEpisode:d_nikke_c_3_03_12,True,,XS_130,XS_130,1.0,,poli,poli,,1,idle,,13,idle,,15,idle,,,,,,
d_nikke_c_3_03_13,d_nikke_c_3_03,Speech,Locale_NikkeEpisode:d_nikke_c_3_03_13,True,,XS_130,10,1.0,,c_3,c_3,,1,good,,13,idle,,15,idle,,,,,,
d_nikke_c_3_03_14,d_nikke_c_3_03,Narration,Locale_NikkeEpisode:d_nikke_c_3_03_14,False,,10,10,1.0,,c_3,,,1,idle,,13,surprise,,15,idle,,,sfx_scn_alarm,,,
d_nikke_c_3_03_15,d_nikke_c_3_03,Monologue,Locale_NikkeEpisode:d_nikke_c_3_03_15,False,,10,12,1.0,,c_3,,,1,idle,,13,surprise,,15,idle,,,sfx_scn_successsignal,,,
