id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,jump_target,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_novel_05_1,d_nikke_novel_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_novel_05_1,False,Office,black,black,1.0,none,,,,,,,,,,,,,,,,,neon,7,idle,
d_nikke_novel_05_2,d_nikke_novel_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_novel_05_2,False,,15,3,2.0,bgm_story_fairytalesend_if,,,,,,,,,,,,,,,,,,7,idle,
d_nikke_novel_05_3,d_nikke_novel_05,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_05_3,True,,3,3,1.0,,exia,,,,,,,,exia,3,delight,,emma,5,idle,,,7,idle,
d_nikke_novel_05_4,d_nikke_novel_05,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_05_4,True,,3,S_30,1.0,,exia,,,,,,,,,3,delight,,,5,idle,,,7,idle,
d_nikke_novel_05_5,d_nikke_novel_05,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_05_5,True,,S_30,2,1.0,,novel,,,,novel,1,delight,,,3,delight,,,5,idle,,,7,idle,
d_nikke_novel_05_6,d_nikke_novel_05,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_05_6,True,,2,2,1.0,,novel,,,,,1,delight,,,3,idle,,,5,idle,,,7,idle,
d_nikke_novel_05_7,d_nikke_novel_05,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_05_7,True,,2,1,1.0,,novel,,,,,1,delight,,,3,idle,,,5,idle,,,7,idle,
d_nikke_novel_05_8,d_nikke_novel_05,Choice,,Locale_NikkeEpisode:d_nikke_novel_05_8,False,,1,1,1.0,,,d_nikke_novel_05_12,,,,1,delight,,,3,idle,,,5,idle,,,7,idle,
d_nikke_novel_05_9,d_nikke_novel_05,Choice,,Locale_NikkeEpisode:d_nikke_novel_05_9,False,,1,1,1.0,,,d_nikke_novel_05_18,,,,1,delight,,,3,idle,,,5,idle,,,7,idle,
d_nikke_novel_05_10,d_nikke_novel_05,Choice,,Locale_NikkeEpisode:d_nikke_novel_05_10,False,,1,1,1.0,,,d_nikke_novel_05_24,,,,1,delight,,,3,idle,,,5,idle,,,7,idle,
d_nikke_novel_05_11,d_nikke_novel_05,Choice,,Locale_NikkeEpisode:d_nikke_novel_05_11,False,,1,1,1.0,,,d_nikke_novel_05_29,,,,1,delight,,,3,idle,,,5,idle,,,7,idle,
d_nikke_novel_05_12,d_nikke_novel_05,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_05_12,False,,S_30,S_30,1.0,,exia,,,,,1,think,,,3,surprise,,,5,idle,,,7,idle,
d_nikke_novel_05_13,d_nikke_novel_05,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_05_13,False,,S_30,2,1.0,,novel,,,,,1,think,,,3,surprise,,,5,idle,,,7,idle,
d_nikke_novel_05_14,d_nikke_novel_05,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_05_14,True,,2,2,1.0,,novel,,,,,1,think,,,3,idle,,,5,idle,,,7,idle,
d_nikke_novel_05_15,d_nikke_novel_05,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_05_15,True,,2,2,1.0,,novel,,,,,1,think,,,3,idle,,,5,idle,,,7,idle,
d_nikke_novel_05_16,d_nikke_novel_05,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_05_16,True,,2,2,1.0,,novel,,,,,1,think,,,3,idle,,,5,idle,,,7,idle,
d_nikke_novel_05_17,d_nikke_novel_05,Self,Self,Locale_NikkeEpisode:d_nikke_novel_05_17,False,,2,1,1.0,,novel,d_nikke_novel_05_31,,,,1,think,,,3,idle,,,5,idle,,,7,idle,
d_nikke_novel_05_18,d_nikke_novel_05,Speech,emma,Locale_NikkeEpisode:d_nikke_novel_05_18,False,,50,50,1.0,,emma,,,,,1,think,,,3,idle,,,5,surprise,,,7,idle,
