id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_nikke_cinderella_04_1,d_nikke_cinderella_04,Self,Self,Locale_NikkeEpisode:d_nikke_cinderella_04_1,False,land_d,3,3,1.0,none,,,,cinderella,3,idle,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_2,d_nikke_cinderella_04,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_04_2,True,,3,3,1.0,bgm_story_backtonormal,cinderella,,,,3,idle,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_3,d_nikke_cinderella_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_cinderella_04_3,False,,3,3,1.0,,,,,,3,idle,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_4,d_nikke_cinderella_04,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_04_4,True,,3,S_30,1.0,,cinderella,,,,3,surprise,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_5,d_nikke_cinderella_04,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_04_5,True,,S_30,S_30,1.0,,cinderella,,,,3,surprise,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_6,d_nikke_cinderella_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_cinderella_04_6,False,,black,black,1.0,,,,,,3,surprise,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_7,d_nikke_cinderella_04,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_04_7,False,,S_30,S_30,1.0,,cinderella,,,,3,surprise,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_8,d_nikke_cinderella_04,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_04_8,True,,S_30,S_30,1.0,,cinderella,,,,3,smile,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_9,d_nikke_cinderella_04,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_04_9,True,,S_30,S_30,1.0,,cinderella,,,,3,smile,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_10,d_nikke_cinderella_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_cinderella_04_10,False,,S_30,S_30,1.0,,,,,,3,smile,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_11,d_nikke_cinderella_04,Self,Self,Locale_NikkeEpisode:d_nikke_cinderella_04_11,False,,S_30,S_30,1.0,,,,,,3,smile,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_12,d_nikke_cinderella_04,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_04_12,True,,S_30,S_30,1.0,,cinderella,,,,3,idle,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_13,d_nikke_cinderella_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_cinderella_04_13,False,,S_30,S_300,1.0,,,,,,3,idle,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_14,d_nikke_cinderella_04,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_04_14,True,,S_300,S_300,1.0,,cinderella,,,,3,smile,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_15,d_nikke_cinderella_04,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_04_15,True,,S_300,S_300,1.0,,cinderella,,,,3,smile,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_16,d_nikke_cinderella_04,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_04_16,True,,S_300,S_300,1.0,,cinderella,,,,3,smile,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_17,d_nikke_cinderella_04,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_04_17,True,,S_300,S_300,1.0,,cinderella,,,,3,smile,,,,,,,,,,,,,,,,
d_nikke_cinderella_04_18,d_nikke_cinderella_04,Self,Self,Locale_NikkeEpisode:d_nikke_cinderella_04_18,False,,S_300,S_300,1.0,,,,,,3,smile,,,,,,,,,,,,,,,,
