id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,fade
d_nikke_hongryeon_blackshadow_02_1,d_nikke_hongryeon_blackshadow_02,Speech,hongryeon_o,hongryeon_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_02_1,True,rapunzel_o,5,idle,liliweiss,3,idle,hongryeon_o,1,sad,dorothy,15,idle,redhood,17,think,BattleShipBridge,1,10,2.0,event_bgm_redash_alldownhill,,,,,,
d_nikke_hongryeon_blackshadow_02_2,d_nikke_hongryeon_blackshadow_02,Speech,hongryeon_o,hongryeon_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_02_2,True,,5,idle,,3,idle,,1,idle,,15,idle,,17,think,,10,10,1.0,,,,,,,
d_nikke_hongryeon_blackshadow_02_3,d_nikke_hongryeon_blackshadow_02,Speech,hongryeon_o,hongryeon_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_02_3,True,,5,idle,,3,idle,,1,idle,,15,idle,,17,think,,10,10,1.0,,,,,,,
d_nikke_hongryeon_blackshadow_02_4,d_nikke_hongryeon_blackshadow_02,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_02_4,True,,5,idle,,3,idle,,1,idle,,15,idle,,17,idle,,1517,1517,1.0,,,,,,,
d_nikke_hongryeon_blackshadow_02_5,d_nikke_hongryeon_blackshadow_02,Speech,dorothy,dorothy,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_02_5,True,,5,idle,,3,idle,,1,idle,,15,idle,,17,idle,,1517,1517,1.0,,,,,,,
d_nikke_hongryeon_blackshadow_02_6,d_nikke_hongryeon_blackshadow_02,Speech,hongryeon_o,hongryeon_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_02_6,False,,5,idle,,3,idle,,1,sad,,15,idle,,17,think,,1,1,1.0,,,,,,,
d_nikke_hongryeon_blackshadow_02_7,d_nikke_hongryeon_blackshadow_02,Speech,hongryeon_o,hongryeon_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_02_7,True,,5,idle,,3,idle,,1,idle,,15,idle,,17,think,,1,10,1.0,,,,,,,
d_nikke_hongryeon_blackshadow_02_8,d_nikke_hongryeon_blackshadow_02,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_02_8,True,,5,idle,,3,idle,,1,idle,,15,idle,,17,think,,17,17,1.0,,,,,,,
d_nikke_hongryeon_blackshadow_02_9,d_nikke_hongryeon_blackshadow_02,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_02_9,True,,5,idle,,3,idle,,1,idle,,15,idle,,17,think,,17,17,1.0,,,,,,,
d_nikke_hongryeon_blackshadow_02_10,d_nikke_hongryeon_blackshadow_02,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_02_10,True,,5,idle,,3,idle,,1,idle,,15,idle,,17,think,,17,17,1.0,,,,,,,
