id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,fade,play_sound,jump_target,set_filter_02
d_nikke_isabel_02_1,d_nikke_isabel_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_02_1,False,ArkRuinIndoor,S_10,S_50,2.0,none,Blur_Low,,,,,,,,,
d_nikke_isabel_02_2,d_nikke_isabel_02,Speech,isabel,Locale_NikkeEpisode:d_nikke_isabel_02_2,True,,S_50,S_50,1.0,,Grey,isabel,isabel,5,good,,,,,
d_nikke_isabel_02_3,d_nikke_isabel_02,Speech,isabel,Locale_NikkeEpisode:d_nikke_isabel_02_3,True,,S_50,S_50,1.0,,Grey,isabel,,5,idle,,,,,
d_nikke_isabel_02_4,d_nikke_isabel_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_02_4,False,,S_50,S_50,1.0,,,,,1,idle,isabel,black,,,
d_nikke_isabel_02_5,d_nikke_isabel_02,Self,Self,Locale_NikkeEpisode:d_nikke_isabel_02_5,False,,S_50,S_50,1.0,,,,,,,,,,,
d_nikke_isabel_02_6,d_nikke_isabel_02,Narration,Narration,Locale_NikkeEpisode:d_nikke_isabel_02_6,False,,S_50,90,1.0,,,,,,,,,sfx_scn_windowrattle,,
d_nikke_isabel_02_7,d_nikke_isabel_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_02_7,False,,90,90,1.0,,,,,,,,,,,
d_nikke_isabel_02_8,d_nikke_isabel_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_02_8,False,,90,90,1.0,,,,,,,,,,,
d_nikke_isabel_02_9,d_nikke_isabel_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_02_9,False,,90,90,1.0,,,,,,,,,,,
d_nikke_isabel_02_10,d_nikke_isabel_02,Narration,Narration,Locale_NikkeEpisode:d_nikke_isabel_02_10,False,,90,1,1.0,,,,,,,,,sfx_scn_knock,,
d_nikke_isabel_02_11,d_nikke_isabel_02,Self,Self,Locale_NikkeEpisode:d_nikke_isabel_02_11,False,,1,1,1.0,,,,,,,,,,,
d_nikke_isabel_02_12,d_nikke_isabel_02,Speech,isabel,Locale_NikkeEpisode:d_nikke_isabel_02_12,True,,1,1,1.0,,,isabel,isabel,1,idle,,,,,
d_nikke_isabel_02_13,d_nikke_isabel_02,Speech,isabel,Locale_NikkeEpisode:d_nikke_isabel_02_13,True,,1,1,1.0,,,isabel,,1,idle,,,,,
d_nikke_isabel_02_14,d_nikke_isabel_02,Speech,isabel,Locale_NikkeEpisode:d_nikke_isabel_02_14,True,,1,1,1.0,,,isabel,,1,idle,,,,,
