id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01,characters/1/hide_char_id,characters/2/hide_char_id
d_nikke_sugar_01_1,d_nikke_sugar_01,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_sugar_01_1,False,Bar,1,1,1.0,bgm_story_epicjazzymoods,,,,,,,,,,,,,,,,
d_nikke_sugar_01_2,d_nikke_sugar_01,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_sugar_01_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_sugar_01_3,d_nikke_sugar_01,Speech,barmaster,barmaster,Locale_NikkeEpisode:d_nikke_sugar_01_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_sugar_01_4,d_nikke_sugar_01,Self,barmaster,Self,Locale_NikkeEpisode:d_nikke_sugar_01_4,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_sugar_01_5,d_nikke_sugar_01,Speech,barmaster,barmaster,Locale_NikkeEpisode:d_nikke_sugar_01_5,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_sugar_01_6,d_nikke_sugar_01,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_01_6,False,,1,1,1.0,,sfx_scn_bikeengine,Low_2,,,,,,,,,,,,,,
d_nikke_sugar_01_7,d_nikke_sugar_01,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_01_7,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_sugar_01_8,d_nikke_sugar_01,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_01_8,False,,1,1,1.0,,sfx_scn_chimebell,,,,,,,,,,,,,,,
d_nikke_sugar_01_9,d_nikke_sugar_01,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_01_9,True,,1,1,1.0,,,,sugar,1,idle,,,,,,,,,,,
d_nikke_sugar_01_10,d_nikke_sugar_01,Choice,sugar,,Locale_NikkeEpisode:d_nikke_sugar_01_10,False,,1,1,1.0,,,,,1,idle,d_nikke_sugar_01_12,,,,,,,,,,
d_nikke_sugar_01_11,d_nikke_sugar_01,Choice,sugar,,Locale_NikkeEpisode:d_nikke_sugar_01_11,False,,1,1,1.0,,,,,1,idle,d_nikke_sugar_01_14,,,,,,,,,,
d_nikke_sugar_01_12,d_nikke_sugar_01,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_01_12,True,,1,1,1.0,,,,,1,delight,,,,,,,,,,,
d_nikke_sugar_01_13,d_nikke_sugar_01,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_01_13,True,,1,1,1.0,,,,,1,delight,d_nikke_sugar_01_16,,,,,,,,,,
d_nikke_sugar_01_14,d_nikke_sugar_01,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_01_14,False,,1,1,1.0,,,,,1,idle,,,,,,,,,,,
d_nikke_sugar_01_15,d_nikke_sugar_01,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_01_15,True,,1,1,1.0,,,,,1,delight,d_nikke_sugar_01_16,,,,,,,,,,
d_nikke_sugar_01_16,d_nikke_sugar_01,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_01_16,True,,1,1,1.0,,,,,1,idle,,,,,,,,,,,
d_nikke_sugar_01_17,d_nikke_sugar_01,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_01_17,True,,1,S_10,1.0,,,,,1,idle,,,,,,,,,,,
d_nikke_sugar_01_18,d_nikke_sugar_01,Speech,sugar,barmaster,Locale_NikkeEpisode:d_nikke_sugar_01_18,False,,S_10,S_10,1.0,,,,,1,idle,,,,,,,,,,,
d_nikke_sugar_01_19,d_nikke_sugar_01,Choice,sugar,,Locale_NikkeEpisode:d_nikke_sugar_01_19,False,,S_10,S_10,1.0,,,,,1,idle,d_nikke_sugar_01_21,,,,,,,,,,
d_nikke_sugar_01_20,d_nikke_sugar_01,Choice,sugar,,Locale_NikkeEpisode:d_nikke_sugar_01_20,False,,S_10,S_10,1.0,,,,,1,idle,d_nikke_sugar_01_26,,,,,,,,,,
d_nikke_sugar_01_21,d_nikke_sugar_01,Speech,sugar,barmaster,Locale_NikkeEpisode:d_nikke_sugar_01_21,False,,S_10,S_10,1.0,,,,,1,idle,,,,,,,,,,,
