id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_camera_shake,fade,jump_target,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_novel_03_1,d_nikke_novel_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_novel_03_1,False,NikkeCorridor,black,black,1.0,none,,,,,,,,,,,,,,,,,,,,,,
d_nikke_novel_03_2,d_nikke_novel_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_novel_03_2,False,,1,1,1.0,bgm_story_tuffguys,,,,,,,,,,,,,,,,,,,,,,
d_nikke_novel_03_3,d_nikke_novel_03,Speech,neon,Locale_NikkeEpisode:d_nikke_novel_03_3,False,,1,S_10,1.0,,neon,Low_2,,,,,,,,,emma,5,idle,,neon,1,angry,,,,,
d_nikke_novel_03_4,d_nikke_novel_03,Speech,emma,Locale_NikkeEpisode:d_nikke_novel_03_4,False,,S_10,S_10,1.0,,neon,,,,,,novel,13,think,,,5,surprise,,,1,angry,,,,,
d_nikke_novel_03_5,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_5,True,,S_10,12,2.0,,novel,,,,,,,13,think,,,5,surprise,,,1,angry,,,,,
d_nikke_novel_03_6,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_6,True,,12,12,1.0,,novel,,,,,,,13,think,,,5,surprise,,,1,angry,,,,,
d_nikke_novel_03_7,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_7,True,,12,12,1.0,,novel,,,,,,,13,think,,,5,surprise,,,1,angry,,,,,
d_nikke_novel_03_8,d_nikke_novel_03,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_03_8,True,,12,12,1.0,,novel,,,,,,,13,think,,,5,surprise,,,1,angry,,exia,4,idle,
d_nikke_novel_03_9,d_nikke_novel_03,Self,Self,Locale_NikkeEpisode:d_nikke_novel_03_9,False,,12,12,1.0,,novel,,,,,,,13,think,,,5,worry,,,1,angry,,,4,idle,
d_nikke_novel_03_10,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_10,True,,12,2,1.0,,exia,,,,,,,13,think,,,5,worry,,,1,angry,,,3,good,
d_nikke_novel_03_11,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_11,True,,2,2,1.0,,exia,,,,,,,13,think,,,5,worry,,,1,angry,,,3,good,
d_nikke_novel_03_12,d_nikke_novel_03,Speech,neon,Locale_NikkeEpisode:d_nikke_novel_03_12,False,,2,S_10,0.5,,neon,Low_2,,,,,,13,think,,,5,worry,,,1,angry,,,3,good,
d_nikke_novel_03_13,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_13,True,,S_10,S_30,0.5,,exia,,,,,,,13,think,,,5,worry,,,1,angry,,,3,surprise,
d_nikke_novel_03_14,d_nikke_novel_03,Speech,exia,Locale_NikkeEpisode:d_nikke_novel_03_14,True,,S_30,S_30,1.0,,exia,,,,,,,13,think,,,5,worry,,,1,angry,,,3,surprise,
d_nikke_novel_03_15,d_nikke_novel_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_novel_03_15,False,,S_30,S_10,1.0,,neon,,,,,,,13,think,,,5,worry,,,1,angry,,,3,surprise,
d_nikke_novel_03_16,d_nikke_novel_03,Self,Self,Locale_NikkeEpisode:d_nikke_novel_03_16,False,,S_10,S_10,1.0,,neon,,,,,,,13,think,,,5,worry,,,1,angry,,,3,idle,
d_nikke_novel_03_17,d_nikke_novel_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_novel_03_17,False,,black,black,1.0,none,,,black,,,,,13,think,,,5,worry,,,1,angry,,,3,idle,
d_nikke_novel_03_18,d_nikke_novel_03,Speech,neon,Locale_NikkeEpisode:d_nikke_novel_03_18,True,,1,S_10,1.0,bgm_story_fairytalesend_if,neon,,,,,,,13,think,,,5,idle,,,1,angry,,,3,idle,
