id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,set_filter_01,set_camera_shake,jump_target,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_diesel_01_1,d_nikke_diesel_01,Monologue,Locale_NikkeEpisode:d_nikke_diesel_01_1,False,black,1,1,1.0,none,,,,,,,,,,,,,,,,
d_nikke_diesel_01_2,d_nikke_diesel_01,Narration,Locale_NikkeEpisode:d_nikke_diesel_01_2,False,,1,1,1.0,,sfx_scn_trainstop,,,,,,,,,,,,,,,
d_nikke_diesel_01_3,d_nikke_diesel_01,Speech,Locale_NikkeEpisode:d_nikke_diesel_01_3,False,,1,1,1.0,,,announcement,,,,,,,,,,,,,,
d_nikke_diesel_01_4,d_nikke_diesel_01,Monologue,Locale_NikkeEpisode:d_nikke_diesel_01_4,False,,1,1,1.0,,,,Blur_Middle,,,,,,,,,,,,,
d_nikke_diesel_01_5,d_nikke_diesel_01,Monologue,Locale_NikkeEpisode:d_nikke_diesel_01_5,False,Station_n,5,1,2.0,,,,Blur_Middle,,,,,,,,,,,,,
d_nikke_diesel_01_6,d_nikke_diesel_01,Narration,Locale_NikkeEpisode:d_nikke_diesel_01_6,False,,1,10,0.5,,sfx_scn_bookdrop,,Blur_Middle,Low_2,,,,,,,,,,,,
d_nikke_diesel_01_7,d_nikke_diesel_01,Monologue,Locale_NikkeEpisode:d_nikke_diesel_01_7,False,,10,1,2.0,,,,Blur_Middle,,,,,,,,,,,,,
d_nikke_diesel_01_8,d_nikke_diesel_01,Monologue,Locale_NikkeEpisode:d_nikke_diesel_01_8,False,,1,1,1.0,,,,Blur_Middle,,,,,,,,,,,,,
d_nikke_diesel_01_9,d_nikke_diesel_01,Choice,Locale_NikkeEpisode:d_nikke_diesel_01_9,False,,1,1,1.0,,,,Blur_Middle,,d_nikke_diesel_01_12,,,,,,,,,,,
d_nikke_diesel_01_10,d_nikke_diesel_01,Choice,Locale_NikkeEpisode:d_nikke_diesel_01_10,False,,1,1,1.0,,,,Blur_Middle,,d_nikke_diesel_01_12,,,,,,,,,,,
d_nikke_diesel_01_11,d_nikke_diesel_01,Choice,Locale_NikkeEpisode:d_nikke_diesel_01_11,False,,1,1,1.0,,,,Blur_Middle,,d_nikke_diesel_01_12,,,,,,,,,,,
d_nikke_diesel_01_12,d_nikke_diesel_01,Monologue,Locale_NikkeEpisode:d_nikke_diesel_01_12,False,,1,100,2.0,,,,Blur_Middle,,,,,,,,,,,,,
d_nikke_diesel_01_13,d_nikke_diesel_01,Monologue,Locale_NikkeEpisode:d_nikke_diesel_01_13,False,,100,100,1.0,,,,Blur_High,,,,,,,,,,,,,
d_nikke_diesel_01_14,d_nikke_diesel_01,Monologue,Locale_NikkeEpisode:d_nikke_diesel_01_14,False,none,black,black,1.0,,,,Blur_Middle,,,,,,,,,,,,,
d_nikke_diesel_01_15,d_nikke_diesel_01,Speech,Locale_NikkeEpisode:d_nikke_diesel_01_15,False,,100,100,1.0,,,unknown,Blur_Middle,,,diesel,,,,,,,,,,
d_nikke_diesel_01_16,d_nikke_diesel_01,Self,Locale_NikkeEpisode:d_nikke_diesel_01_16,False,Station_n,100,10,2.0,bgm_story_weare,,,Blur_Low,,,diesel,diesel,1,idle,,,,,,,
d_nikke_diesel_01_17,d_nikke_diesel_01,Speech,Locale_NikkeEpisode:d_nikke_diesel_01_17,True,,10,10,1.0,,,diesel,Blur_Low,,,diesel,,1,delight,,,,,,,
d_nikke_diesel_01_18,d_nikke_diesel_01,Speech,Locale_NikkeEpisode:d_nikke_diesel_01_18,True,,10,10,1.0,,,diesel,Blur_Low,,,diesel,,1,idle,,,,,,,
d_nikke_diesel_01_19,d_nikke_diesel_01,Speech,Locale_NikkeEpisode:d_nikke_diesel_01_19,True,,10,10,1.0,,,diesel,Blur_Low,,,diesel,,1,idle,,,,,,,
d_nikke_diesel_01_20,d_nikke_diesel_01,Self,Locale_NikkeEpisode:d_nikke_diesel_01_20,False,,10,10,1.0,,,,Blur_Low,,,diesel,,1,idle,,,,,,,
d_nikke_diesel_01_21,d_nikke_diesel_01,Speech,Locale_NikkeEpisode:d_nikke_diesel_01_21,True,,10,10,1.0,,,diesel,Blur_Low,,,diesel,,1,idle,,,,,,,
d_nikke_diesel_01_22,d_nikke_diesel_01,Speech,Locale_NikkeEpisode:d_nikke_diesel_01_22,True,,10,10,1.0,,,diesel,Blur_Low,,,diesel,,1,idle,,,,,,,
d_nikke_diesel_01_23,d_nikke_diesel_01,Speech,Locale_NikkeEpisode:d_nikke_diesel_01_23,True,,10,10,1.0,,,diesel,Blur_Low,,,diesel,,1,idle,,,,,,,
d_nikke_diesel_01_24,d_nikke_diesel_01,Self,Locale_NikkeEpisode:d_nikke_diesel_01_24,False,,10,10,1.0,,,,Blur_Low,,,diesel,,1,idle,,,,,,,
d_nikke_diesel_01_25,d_nikke_diesel_01,Speech,Locale_NikkeEpisode:d_nikke_diesel_01_25,True,,10,10,1.0,,,diesel,Blur_Low,,,diesel,,1,delight,,,,,,,
d_nikke_diesel_01_26,d_nikke_diesel_01,Speech,Locale_NikkeEpisode:d_nikke_diesel_01_26,True,,10,10,1.0,,,diesel,Blur_Low,,,diesel,,1,idle,,,,,,,
d_nikke_diesel_01_27,d_nikke_diesel_01,Speech,Locale_NikkeEpisode:d_nikke_diesel_01_27,True,,10,10,1.0,,,diesel,Blur_Low,,,diesel,,1,idle,,,,,,,
