id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,set_camera_shake,play_sound,set_filter_01,characters/9/set_char_anim
d_nikke_blanc_05_1,d_nikke_blanc_05,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_05_1,True,blanc,1,shy,City,L_10,L_10,1.0,bgm_story_breakaway,,,,,,,,,,,
d_nikke_blanc_05_2,d_nikke_blanc_05,Choice,,,Locale_NikkeEpisode:d_nikke_blanc_05_2,False,,1,shy,,L_10,L_10,1.0,,d_nikke_blanc_05_4,,,,,,,,,,
d_nikke_blanc_05_3,d_nikke_blanc_05,Choice,,,Locale_NikkeEpisode:d_nikke_blanc_05_3,False,,1,delight,,L_10,L_10,1.0,,d_nikke_blanc_05_6,,,,,,,,,,
d_nikke_blanc_05_4,d_nikke_blanc_05,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_05_4,True,,1,delight,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_blanc_05_5,d_nikke_blanc_05,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_05_5,True,,1,idle,,L_10,L_10,1.0,,d_nikke_blanc_05_8,,,,,,,,,,
d_nikke_blanc_05_6,d_nikke_blanc_05,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_05_6,True,,1,shy,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_blanc_05_7,d_nikke_blanc_05,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_05_7,True,,1,shy,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_blanc_05_8,d_nikke_blanc_05,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_05_8,True,,1,idle,,L_10,1,1.0,,,,,,,,,,,,
d_nikke_blanc_05_9,d_nikke_blanc_05,Self,,Self,Locale_NikkeEpisode:d_nikke_blanc_05_9,False,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_blanc_05_10,d_nikke_blanc_05,Self,,Self,Locale_NikkeEpisode:d_nikke_blanc_05_10,False,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_blanc_05_11,d_nikke_blanc_05,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_05_11,True,,1,no,,1,1,1.0,,,,,,,,,,,,
d_nikke_blanc_05_12,d_nikke_blanc_05,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_05_12,True,,1,no,,1,1,1.0,,,,,,,,,,,,
d_nikke_blanc_05_13,d_nikke_blanc_05,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_05_13,True,,1,delight,,1,1,1.0,,,,,,,,,,,,
d_nikke_blanc_05_14,d_nikke_blanc_05,Speech,blanc,blanc,Locale_NikkeEpisode:d_nikke_blanc_05_14,True,,1,delight,,1,1,1.0,,,,,,,,,,,,
d_nikke_blanc_05_15,d_nikke_blanc_05,Self,,Self,Locale_NikkeEpisode:d_nikke_blanc_05_15,False,,1,delight,,1,1,1.0,,,,,,,,,,,,
