id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,conversation_id,characters/0/hide_char_id,fade
d_nikke_n102_04_1,d_nikke_n102_04,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_04_1,False,n102,2,delight,City_d,1,1,1.0,bgm_story_backtonormal,,,,
d_nikke_n102_04_2,d_nikke_n102_04,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_04_2,False,,2,delight,,1,1,1.0,,,,,
d_nikke_n102_04_3,d_nikke_n102_04,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_04_3,False,,1,delight,,1,1,1.0,,,,,
d_nikke_n102_04_4,d_nikke_n102_04,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_04_4,False,,1,pain,,1,1,1.0,none,,,,
d_nikke_n102_04_5,d_nikke_n102_04,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_04_5,False,,1,pain,,1,XS_10,0.7,,,,,
d_nikke_n102_04_6,d_nikke_n102_04,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_04_6,False,,1,pain,,XS_10,XS_10,1.0,,,,,
d_nikke_n102_04_7,d_nikke_n102_04,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_04_7,True,,1,pain,,XS_10,XS_10,1.0,,,,,
d_nikke_n102_04_8,d_nikke_n102_04,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_04_8,False,,1,pain,,XS_10,XS_10,1.0,,,,,
d_nikke_n102_04_9,d_nikke_n102_04,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_04_9,False,,1,pain,,XS_10,XS_10,1.0,,,,,
d_nikke_n102_04_10,d_nikke_n102_04,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_04_10,True,,1,pain,,XS_10,XS_10,1.0,,,,,
d_nikke_n102_04_11,d_nikke_n102_04,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_04_11,True,,1,pain,,XS_10,XS_10,1.0,,,,,
d_nikke_n102_04_12,d_nikke_n102_04,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_04_12,True,,1,pain,,XS_10,XS_10,1.0,,,,,
