id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_sin_03_1,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_1,False,Jail,10,10,1.0,bgm_story_fairytalesend_if,,,,sin,1,idle,,,,,
d_nikke_sin_03_2,d_nikke_sin_03,Self,sin,Self,Locale_NikkeEpisode:d_nikke_sin_03_2,False,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_3,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_3,True,,10,1,2.0,,,,,,1,idle,,,,,
d_nikke_sin_03_4,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_4,True,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_5,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_5,True,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_6,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_6,True,,1,1,1.0,,,,,,1,shy,,,,,
d_nikke_sin_03_7,d_nikke_sin_03,Self,sin,Self,Locale_NikkeEpisode:d_nikke_sin_03_7,False,,1,1,1.0,,,,,,1,shy,,,,,
d_nikke_sin_03_8,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_8,False,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_9,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_9,True,,1,10,2.0,,,,,,1,delight,,,,,
d_nikke_sin_03_10,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_10,False,,10,10,1.0,,d_nikke_sin_03_14,,,,1,delight,,,,,
d_nikke_sin_03_11,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_11,False,,10,10,1.0,,d_nikke_sin_03_12,,,,1,delight,,,,,
d_nikke_sin_03_12,d_nikke_sin_03,Monologue,sin,Monologue,Locale_NikkeEpisode:d_nikke_sin_03_12,False,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_sin_03_13,d_nikke_sin_03,Self,sin,Self,Locale_NikkeEpisode:d_nikke_sin_03_13,False,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_sin_03_14,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_14,True,,10,100,2.0,,,,,,1,shy,,,,,
d_nikke_sin_03_15,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_15,False,,100,100,1.0,,d_nikke_sin_03_17,,,,1,shy,,,,,
