id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,highlight,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,fade
d_nikke_littlemermaid_03_1,d_nikke_littlemermaid_03,Speech,unknown,Locale_NikkeEpisode:d_nikke_littlemermaid_03_1,False,TechIndoor,black,black,1.0,none,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_littlemermaid_03_2,d_nikke_littlemermaid_03,Speech,unknown,Locale_NikkeEpisode:d_nikke_littlemermaid_03_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_littlemermaid_03_3,d_nikke_littlemermaid_03,Speech,unknown,Locale_NikkeEpisode:d_nikke_littlemermaid_03_3,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_littlemermaid_03_4,d_nikke_littlemermaid_03,Speech,unknown,Locale_NikkeEpisode:d_nikke_littlemermaid_03_4,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_littlemermaid_03_5,d_nikke_littlemermaid_03,Narration,,Locale_NikkeEpisode:d_nikke_littlemermaid_03_5,False,,black,black,1.0,event_bgm_oldtales_dutycall,littlemermaid,6,idle,hansel,4,idle,gretel,2,idle,redshoes,12,idle,cinderella,14,idle_blue,abe,16,idle,sfx_scn_glasstable,,,,,,
d_nikke_littlemermaid_03_6,d_nikke_littlemermaid_03,Speech,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_03_6,True,,1600,160,1.3,,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle_blue,,16,idle,,abe,,,,,
d_nikke_littlemermaid_03_7,d_nikke_littlemermaid_03,Speech,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_03_7,True,,160,160,1.0,,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle_blue,,16,idle,,abe,,,,,
d_nikke_littlemermaid_03_8,d_nikke_littlemermaid_03,Speech,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_03_8,True,,160,160,1.0,,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle_blue,,16,idle,,abe,,,,,
d_nikke_littlemermaid_03_9,d_nikke_littlemermaid_03,Speech,cinderella,Locale_NikkeEpisode:d_nikke_littlemermaid_03_9,False,,160,15,1.3,,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle_blue,,16,idle,,cinderella,,,,,
d_nikke_littlemermaid_03_10,d_nikke_littlemermaid_03,Speech,hansel,Locale_NikkeEpisode:d_nikke_littlemermaid_03_10,True,,3,3,1.0,,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle_blue,,16,idle,,hansel,,,,,
