id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,highlight,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,fade,characters/6/hide_char_id,set_filter_01
d_nikke_littlemermaid_01_1,d_nikke_littlemermaid_01,Speech,unknown,Locale_NikkeEpisode:d_nikke_littlemermaid_01_1,False,TechIndoor,black,black,1.0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_littlemermaid_01_2,d_nikke_littlemermaid_01,Speech,unknown,Locale_NikkeEpisode:d_nikke_littlemermaid_01_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_littlemermaid_01_3,d_nikke_littlemermaid_01,Speech,unknown,Locale_NikkeEpisode:d_nikke_littlemermaid_01_3,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_littlemermaid_01_4,d_nikke_littlemermaid_01,Speech,unknown,Locale_NikkeEpisode:d_nikke_littlemermaid_01_4,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_littlemermaid_01_5,d_nikke_littlemermaid_01,Narration,,Locale_NikkeEpisode:d_nikke_littlemermaid_01_5,False,,black,black,1.0,event_bgm_oldtales_dutycall,hansel,5,idle,gretel,3,idle,littlemermaid,1,idle,redshoes,13,idle,cinderella,15,idle_blue,abe,17,worry,sfx_scn_glasstable,,,,,,,,
d_nikke_littlemermaid_01_6,d_nikke_littlemermaid_01,Speech,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_01_6,True,,1700,170,1.3,,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle_blue,,17,worry,,abe,,,,,,,
d_nikke_littlemermaid_01_7,d_nikke_littlemermaid_01,Speech,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_01_7,True,,170,170,1.0,,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle_blue,,17,worry,,abe,,,,,,,
d_nikke_littlemermaid_01_8,d_nikke_littlemermaid_01,Speech,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_01_8,True,,170,170,1.0,,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle_blue,,17,worry,,abe,,,,,,,
d_nikke_littlemermaid_01_9,d_nikke_littlemermaid_01,Speech,cinderella,Locale_NikkeEpisode:d_nikke_littlemermaid_01_9,False,,14,14,1.0,,,5,idle,,3,idle,,1,idle,,13,surprise,,15,surprise_blue,,17,worry,,cinderella,,,,,,,
d_nikke_littlemermaid_01_10,d_nikke_littlemermaid_01,Speech,redshoes,Locale_NikkeEpisode:d_nikke_littlemermaid_01_10,True,,14,14,1.0,,,5,idle,,3,idle,,1,idle,,13,surprise,,15,surprise_blue,,17,worry,,redshoes,,,,,,,
d_nikke_littlemermaid_01_11,d_nikke_littlemermaid_01,Speech,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_01_11,True,,170,170,1.0,,,5,idle,,3,idle,,1,idle,,13,surprise,,15,surprise_blue,,17,worry,,abe,,,,,,,
d_nikke_littlemermaid_01_12,d_nikke_littlemermaid_01,Speech,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_01_12,True,,170,170,1.0,,,5,idle,,3,idle,,1,idle,,13,surprise,,15,surprise_blue,,17,worry,,abe,,,,,,,
d_nikke_littlemermaid_01_13,d_nikke_littlemermaid_01,Speech,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_01_13,True,,170,170,1.0,,,5,idle,,3,idle,,1,idle,,13,surprise,,15,surprise_blue,,17,worry,,abe,,,,,,,
d_nikke_littlemermaid_01_14,d_nikke_littlemermaid_01,Speech,cinderella,Locale_NikkeEpisode:d_nikke_littlemermaid_01_14,False,,170,16,1.3,,,5,idle,,3,idle,,1,idle,,13,surprise,,15,surprise_blue,,17,worry,,cinderella,,,,,,,
d_nikke_littlemermaid_01_15,d_nikke_littlemermaid_01,Speech,cinderella,Locale_NikkeEpisode:d_nikke_littlemermaid_01_15,True,,16,16,1.0,,,5,idle,,3,idle,,1,idle,,13,idle,,15,angry_blue,,17,worry,,cinderella,,,,,,,
d_nikke_littlemermaid_01_16,d_nikke_littlemermaid_01,Speech,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_01_16,True,,16,16,1.0,,,5,idle,,3,idle,,1,idle,,13,idle,,15,angry_blue,,17,idle,,abe,,,,,,,
d_nikke_littlemermaid_01_17,d_nikke_littlemermaid_01,Speech,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_01_17,True,,16,16,1.0,,,5,idle,,3,idle,,1,idle,,13,idle,,15,angry_blue,,17,idle,,abe,,,,,,,
d_nikke_littlemermaid_01_18,d_nikke_littlemermaid_01,Speech,abe,Locale_NikkeEpisode:d_nikke_littlemermaid_01_18,True,,16,16,1.0,,,5,idle,,3,idle,,1,idle,,13,idle,,15,angry_blue,,17,idle,,abe,,,,,,,
d_nikke_littlemermaid_01_19,d_nikke_littlemermaid_01,Speech,cinderella,Locale_NikkeEpisode:d_nikke_littlemermaid_01_19,True,,16,16,1.0,,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle_blue,,17,idle,,cinderella,,,,,,,
d_nikke_littlemermaid_01_20,d_nikke_littlemermaid_01,Speech,hansel,Locale_NikkeEpisode:d_nikke_littlemermaid_01_20,True,,4,4,1.0,,,5,void,,3,void,,1,idle,,13,idle,,15,idle_blue,,17,idle,,hansel,,,,,,,
d_nikke_littlemermaid_01_21,d_nikke_littlemermaid_01,Speech,hansel,Locale_NikkeEpisode:d_nikke_littlemermaid_01_21,True,,4,4,1.0,,,5,void,,3,void,,1,idle,,13,idle,,15,idle_blue,,17,idle,,hansel,,,,,,,
