id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_emma_tactical_04_1,d_nikke_emma_tactical_04,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_04_1,True,NikkeRoom,130,10,1.0,bgm_story_cottoncandy,,,,emma_t,1,idle,
d_nikke_emma_tactical_04_2,d_nikke_emma_tactical_04,Self,emma_t,,Locale_NikkeEpisode:d_nikke_emma_tactical_04_2,False,,10,10,1.0,,,,,,1,idle,
d_nikke_emma_tactical_04_3,d_nikke_emma_tactical_04,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_04_3,True,,10,10,1.0,,,,,,1,idle,
d_nikke_emma_tactical_04_4,d_nikke_emma_tactical_04,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_04_4,True,,10,10,1.0,,,,,,1,idle,
d_nikke_emma_tactical_04_5,d_nikke_emma_tactical_04,Self,emma_t,,Locale_NikkeEpisode:d_nikke_emma_tactical_04_5,False,,10,10,1.0,,,,,,1,idle,
d_nikke_emma_tactical_04_6,d_nikke_emma_tactical_04,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_04_6,True,,10,10,1.0,,,,,,1,delight,
d_nikke_emma_tactical_04_7,d_nikke_emma_tactical_04,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_04_7,True,,10,10,1.0,,,,,,1,delight,
d_nikke_emma_tactical_04_8,d_nikke_emma_tactical_04,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_04_8,True,,10,10,1.0,,,,,,1,idle,
d_nikke_emma_tactical_04_9,d_nikke_emma_tactical_04,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_04_9,True,,10,10,1.0,,,,,,1,idle,
d_nikke_emma_tactical_04_10,d_nikke_emma_tactical_04,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_04_10,True,,10,100,1.3,,,,,,1,idle,
d_nikke_emma_tactical_04_11,d_nikke_emma_tactical_04,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_04_11,True,,100,100,1.0,,,,,,1,idle,
d_nikke_emma_tactical_04_12,d_nikke_emma_tactical_04,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_04_12,True,,100,100,1.0,,,,,,1,idle,
d_nikke_emma_tactical_04_13,d_nikke_emma_tactical_04,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_04_13,True,,100,100,1.0,,,,,,1,idle,
d_nikke_emma_tactical_04_14,d_nikke_emma_tactical_04,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_04_14,True,,100,100,1.0,,,,,,1,idle,
d_nikke_emma_tactical_04_15,d_nikke_emma_tactical_04,Self,emma_t,,Locale_NikkeEpisode:d_nikke_emma_tactical_04_15,False,,100,100,1.0,,,,,,1,idle,
d_nikke_emma_tactical_04_16,d_nikke_emma_tactical_04,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_04_16,True,,100,100,1.0,,,,,,1,delight,
d_nikke_emma_tactical_04_17,d_nikke_emma_tactical_04,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_04_17,True,,100,100,1.0,,,,,,1,delight,
d_nikke_emma_tactical_04_18,d_nikke_emma_tactical_04,Speech,emma_t,emma_t,Locale_NikkeEpisode:d_nikke_emma_tactical_04_18,True,,100,100,1.0,,,,,,1,delight,
d_nikke_emma_tactical_04_19,d_nikke_emma_tactical_04,Monologue,emma_t,,Locale_NikkeEpisode:d_nikke_emma_tactical_04_19,False,,black,black,1.0,,black,,,,1,delight,emma_t
d_nikke_emma_tactical_04_20,d_nikke_emma_tactical_04,Narration,emma_t,,Locale_NikkeEpisode:d_nikke_emma_tactical_04_20,False,,black,black,1.0,,,sfx_scn_pour_water,,,,,
d_nikke_emma_tactical_04_21,d_nikke_emma_tactical_04,Self,emma_t,,Locale_NikkeEpisode:d_nikke_emma_tactical_04_21,False,,1,1,1.0,,,,,,,,
d_nikke_emma_tactical_04_22,d_nikke_emma_tactical_04,Self,emma_t,,Locale_NikkeEpisode:d_nikke_emma_tactical_04_22,False,,1,1,1.0,,,,,,,,
d_nikke_emma_tactical_04_23,d_nikke_emma_tactical_04,Narration,emma_t,,Locale_NikkeEpisode:d_nikke_emma_tactical_04_23,False,,black,black,1.0,,,sfx_scn_pour_water,,,,,
d_nikke_emma_tactical_04_24,d_nikke_emma_tactical_04,Self,emma_t,,Locale_NikkeEpisode:d_nikke_emma_tactical_04_24,False,,1,1,1.0,,,,,,,,
