id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target
d_nikke_noise_02_1,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_1,True,noise,1,idle,CommanderRoom,1,1,1.0,none,
d_nikke_noise_02_2,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_2,True,,1,idle,,1,1,1.0,,
d_nikke_noise_02_3,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_3,False,,1,idle,,1,1,1.0,,
d_nikke_noise_02_4,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_4,False,,1,idle,,1,1,1.0,bgm_story_orangepop,
d_nikke_noise_02_5,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_5,False,,1,idle,,1,10,1.0,,
d_nikke_noise_02_6,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_6,True,,1,idle,,10,10,1.0,,
d_nikke_noise_02_7,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_7,False,,1,idle,,10,10,1.0,,
d_nikke_noise_02_8,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_8,True,,1,idle,,10,10,1.0,,
d_nikke_noise_02_9,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_9,False,,1,idle,,10,10,1.0,,
d_nikke_noise_02_10,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_10,False,,1,angry,,10,1,1.0,,
d_nikke_noise_02_11,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_11,True,,1,angry,,1,1,1.0,,
d_nikke_noise_02_12,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_12,True,,1,angry,,1,1,1.0,,
d_nikke_noise_02_13,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_13,True,,1,angry,,1,1,1.0,,
d_nikke_noise_02_14,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_14,False,,1,angry,,1,1,1.0,,
d_nikke_noise_02_15,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_15,True,,1,sad,,1,100,1.0,,
d_nikke_noise_02_16,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_16,True,,1,sad,,100,100,1.0,,
d_nikke_noise_02_17,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_17,True,,1,idle,,100,100,1.0,,
d_nikke_noise_02_18,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_18,True,,1,idle,,100,100,1.0,,
d_nikke_noise_02_19,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_19,True,,1,sad,,100,100,1.0,,
d_nikke_noise_02_20,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_20,False,,1,sad,,100,100,1.0,,
