id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,fade,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
d_nikke_guillotine_winterslayer_01_1,d_nikke_guillotine_winterslayer_01,Monologue,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_01_1,False,CommanderRoom,15,1,2.0,bgm_story_alittlestar,,,,,,,,,,,,,,,,
d_nikke_guillotine_winterslayer_01_2,d_nikke_guillotine_winterslayer_01,Narration,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_01_2,False,,1,1,1.0,,sfx_scn_shootinggame,,,,,,,,,,,,,,,
d_nikke_guillotine_winterslayer_01_3,d_nikke_guillotine_winterslayer_01,Monologue,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_01_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_guillotine_winterslayer_01_4,d_nikke_guillotine_winterslayer_01,Narration,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_01_4,False,,1,1,1.0,,sfx_scn_shootinggame,,,,,,,,,,,,,,,
d_nikke_guillotine_winterslayer_01_5,d_nikke_guillotine_winterslayer_01,Monologue,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_01_5,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_guillotine_winterslayer_01_6,d_nikke_guillotine_winterslayer_01,Monologue,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_01_6,False,SnowTown_i,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_guillotine_winterslayer_01_7,d_nikke_guillotine_winterslayer_01,Monologue,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_01_7,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_guillotine_winterslayer_01_8,d_nikke_guillotine_winterslayer_01,Monologue,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_01_8,False,,1,6,1.5,,,,,,,,,,,,,,,,,
d_nikke_guillotine_winterslayer_01_9,d_nikke_guillotine_winterslayer_01,Monologue,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_01_9,False,,6,6,1.0,,,,,,,,,,,,,,,,,
d_nikke_guillotine_winterslayer_01_10,d_nikke_guillotine_winterslayer_01,Monologue,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_01_10,False,,6,6,1.0,,,syuen,syuen,6,angry,,,,,,,,,,,
d_nikke_guillotine_winterslayer_01_11,d_nikke_guillotine_winterslayer_01,Monologue,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_01_11,False,,6,S_60,1.0,,,syuen,,6,special,,,,,,,,,,,
d_nikke_guillotine_winterslayer_01_12,d_nikke_guillotine_winterslayer_01,Monologue,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_01_12,False,,S_60,S_600,1.0,,,syuen,,6,pain,,,,,,,,,,,
d_nikke_guillotine_winterslayer_01_13,d_nikke_guillotine_winterslayer_01,Narration,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_01_13,False,CommanderRoom,S_600,1,2.0,,sfx_scn_shootinggame,,,6,pain,syuen,,,,,,,,,,
