id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,conversation_id,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_sora_05_1,d_nikke_sora_05,Narration,sora,Locale_NikkeEpisode:d_nikke_sora_05_1,False,CommanderRoom,m_d_nikke_sora_05,black,black,1.0,sfx_scn_phonevibration,bgm_story_cottoncandy,,,sora,1,idle
d_nikke_sora_05_2,d_nikke_sora_05,Monologue,sora,Locale_NikkeEpisode:d_nikke_sora_05_2,False,none,,black,black,1.0,,,,,,1,idle
d_nikke_sora_05_4,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_4,True,CityForest_03_d,,100,100,1.0,,,sora,black,,1,idle
d_nikke_sora_05_5,d_nikke_sora_05,Monologue,sora,Locale_NikkeEpisode:d_nikke_sora_05_5,False,,,100,100,1.0,,,,,,1,idle
d_nikke_sora_05_6,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_6,True,,,100,100,1.0,,,sora,,,1,idle
d_nikke_sora_05_8,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_8,True,Sky2,,black,black,1.0,,,sora,,,1,idle
d_nikke_sora_05_9,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_9,True,,,500,500,1.0,,,sora,,,1,idle
d_nikke_sora_05_10,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_10,True,,,500,100,1.5,,,sora,,,1,idle
d_nikke_sora_05_11,d_nikke_sora_05,Self,sora,Locale_NikkeEpisode:d_nikke_sora_05_11,False,,,100,100,1.0,,,,,,1,idle
d_nikke_sora_05_12,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_12,True,,,100,100,1.0,,,sora,,,1,idle
d_nikke_sora_05_13,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_13,True,,,100,100,1.0,,,sora,,,1,idle
d_nikke_sora_05_14,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_14,True,,,100,10,1.0,,,sora,,,1,idle
d_nikke_sora_05_15,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_15,True,,,10,10,1.0,,,sora,,,1,idle
d_nikke_sora_05_16,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_16,True,,,10,10,1.0,,,sora,,,1,idle
d_nikke_sora_05_18,d_nikke_sora_05,Monologue,sora,Locale_NikkeEpisode:d_nikke_sora_05_18,False,CityForest_03_d,,black,black,1.0,,,,,,1,idle
d_nikke_sora_05_19,d_nikke_sora_05,Monologue,sora,Locale_NikkeEpisode:d_nikke_sora_05_19,False,,,black,black,1.0,,,,,,1,idle
d_nikke_sora_05_20,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_20,True,,,10,10,1.0,,,sora,,,1,idle
d_nikke_sora_05_21,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_21,True,,,10,10,1.0,,,sora,,,1,idle
d_nikke_sora_05_22,d_nikke_sora_05,Self,sora,Locale_NikkeEpisode:d_nikke_sora_05_22,False,,,10,10,1.0,,,,,,1,idle
d_nikke_sora_05_23,d_nikke_sora_05,Narration,sora,Locale_NikkeEpisode:d_nikke_sora_05_23,False,,,10,10,1.0,sfx_scn_paperopen,,,,,1,idle
d_nikke_sora_05_24,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_24,True,,,10,10,1.0,,,sora,,,1,idle
d_nikke_sora_05_25,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_25,True,,,10,10,1.0,,,sora,,,1,idle
d_nikke_sora_05_26,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_26,True,,,10,10,1.0,,,sora,,,1,idle
d_nikke_sora_05_27,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_27,True,,,10,10,1.0,,,sora,,,1,idle
d_nikke_sora_05_28,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_28,False,,,10,10,1.0,,,sora,,,1,idle
d_nikke_sora_05_29,d_nikke_sora_05,Speech,sora,Locale_NikkeEpisode:d_nikke_sora_05_29,True,,,10,10,1.0,,,sora,,,1,idle
