id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,set_filter_02,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/0/hide_char_id,set_camera_shake,jump_target
d_nikke_viper_04_1,d_nikke_viper_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_viper_04_1,False,Bar,black,black,1.0,sfx_scn_knock,none,,,,,,,,,,
d_nikke_viper_04_2,d_nikke_viper_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_04_2,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_viper_04_3,d_nikke_viper_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_viper_04_3,False,,1,1,1.0,sfx_scn_knock,,Blur_Middle,Vignetting,,,,,,,,
d_nikke_viper_04_4,d_nikke_viper_04,Self,Self,Locale_NikkeEpisode:d_nikke_viper_04_4,False,,1,1,1.0,,,Blur_Middle,Vignetting,,,,,,,,
d_nikke_viper_04_5,d_nikke_viper_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_viper_04_5,False,,1,1,1.0,sfx_scn_knock,,Blur_Low,,,,,,,,,
d_nikke_viper_04_6,d_nikke_viper_04,Speech,waiter,Locale_NikkeEpisode:d_nikke_viper_04_6,False,,1,1,1.0,,,Blur_Low,,,,,,,,,
d_nikke_viper_04_7,d_nikke_viper_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_04_7,False,,1,1,1.0,,,Blur_Low,,,,,,,,,
d_nikke_viper_04_8,d_nikke_viper_04,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_04_8,False,,100,100,1.0,,,Grey,,viper,viper,1,delight,black,,,
d_nikke_viper_04_9,d_nikke_viper_04,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_04_9,False,,100,100,1.0,,,Grey,,viper,,1,good,,,,
d_nikke_viper_04_10,d_nikke_viper_04,Self,Self,Locale_NikkeEpisode:d_nikke_viper_04_10,False,,1,1,1.0,,bgm_story_trauma,,,,,1,good,black,viper,,
d_nikke_viper_04_11,d_nikke_viper_04,Speech,waiter,Locale_NikkeEpisode:d_nikke_viper_04_11,False,,1,1,1.0,,,,,,,,,,,,
d_nikke_viper_04_12,d_nikke_viper_04,Self,Self,Locale_NikkeEpisode:d_nikke_viper_04_12,False,,1,1,1.0,,,,,,,,,,,,
d_nikke_viper_04_13,d_nikke_viper_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_04_13,False,,1,1,1.0,sfx_scn_autodooropen,,,,,,,,,,,
d_nikke_viper_04_14,d_nikke_viper_04,Speech,waiter,Locale_NikkeEpisode:d_nikke_viper_04_14,True,,1,1,1.0,,,,,waiter,waiter,1,idle,,,,
d_nikke_viper_04_15,d_nikke_viper_04,Self,Self,Locale_NikkeEpisode:d_nikke_viper_04_15,False,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_16,d_nikke_viper_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_04_16,False,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_17,d_nikke_viper_04,Self,Self,Locale_NikkeEpisode:d_nikke_viper_04_17,False,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_18,d_nikke_viper_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_04_18,False,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_19,d_nikke_viper_04,Speech,waiter,Locale_NikkeEpisode:d_nikke_viper_04_19,True,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_20,d_nikke_viper_04,Self,Self,Locale_NikkeEpisode:d_nikke_viper_04_20,False,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_21,d_nikke_viper_04,Speech,waiter,Locale_NikkeEpisode:d_nikke_viper_04_21,True,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_22,d_nikke_viper_04,Self,Self,Locale_NikkeEpisode:d_nikke_viper_04_22,False,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_23,d_nikke_viper_04,Speech,waiter,Locale_NikkeEpisode:d_nikke_viper_04_23,True,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_24,d_nikke_viper_04,Speech,waiter,Locale_NikkeEpisode:d_nikke_viper_04_24,True,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_25,d_nikke_viper_04,Speech,waiter,Locale_NikkeEpisode:d_nikke_viper_04_25,True,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_26,d_nikke_viper_04,Self,Self,Locale_NikkeEpisode:d_nikke_viper_04_26,False,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_27,d_nikke_viper_04,Speech,waiter,Locale_NikkeEpisode:d_nikke_viper_04_27,True,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_28,d_nikke_viper_04,Self,Self,Locale_NikkeEpisode:d_nikke_viper_04_28,False,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_29,d_nikke_viper_04,Self,Self,Locale_NikkeEpisode:d_nikke_viper_04_29,False,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_30,d_nikke_viper_04,Speech,waiter,Locale_NikkeEpisode:d_nikke_viper_04_30,True,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_31,d_nikke_viper_04,Speech,waiter,Locale_NikkeEpisode:d_nikke_viper_04_31,True,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_32,d_nikke_viper_04,Self,Self,Locale_NikkeEpisode:d_nikke_viper_04_32,False,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_33,d_nikke_viper_04,Speech,waiter,Locale_NikkeEpisode:d_nikke_viper_04_33,True,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_34,d_nikke_viper_04,Speech,waiter,Locale_NikkeEpisode:d_nikke_viper_04_34,True,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_35,d_nikke_viper_04,Speech,waiter,Locale_NikkeEpisode:d_nikke_viper_04_35,True,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_36,d_nikke_viper_04,Self,Self,Locale_NikkeEpisode:d_nikke_viper_04_36,False,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_37,d_nikke_viper_04,Self,Self,Locale_NikkeEpisode:d_nikke_viper_04_37,False,,1,1,1.0,,,,,waiter,,1,idle,,,,
d_nikke_viper_04_38,d_nikke_viper_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_04_38,False,ArkRuinIndoor,black,black,1.0,,none,,,,,1,idle,black,waiter,,
d_nikke_viper_04_39,d_nikke_viper_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_04_39,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_viper_04_40,d_nikke_viper_04,Self,Self,Locale_NikkeEpisode:d_nikke_viper_04_40,False,,1,1,1.0,sfx_scn_bang,,,,,,,,,,Low_2,
