id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,play_sound,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_rosanna_02_1,d_nikke_rosanna_02,Monologue,Locale_NikkeEpisode:d_nikke_rosanna_02_1,False,CommanderRoom,black,black,1.0,bgm_story_tuffguys,,,,,,,rosanna,1,idle,
d_nikke_rosanna_02_2,d_nikke_rosanna_02,Speech,Locale_NikkeEpisode:d_nikke_rosanna_02_2,True,,1,10,1.0,,rosanna,rosanna,,,,,,1,idle,
d_nikke_rosanna_02_3,d_nikke_rosanna_02,Speech,Locale_NikkeEpisode:d_nikke_rosanna_02_3,True,,10,10,1.0,,rosanna,rosanna,,,,,,1,idle,
d_nikke_rosanna_02_4,d_nikke_rosanna_02,Choice,Locale_NikkeEpisode:d_nikke_rosanna_02_4,False,,10,10,1.0,,,,d_nikke_rosanna_02_6,,,,,1,idle,
d_nikke_rosanna_02_5,d_nikke_rosanna_02,Choice,Locale_NikkeEpisode:d_nikke_rosanna_02_5,False,,10,10,1.0,,,,d_nikke_rosanna_02_12,,,,,1,idle,
d_nikke_rosanna_02_6,d_nikke_rosanna_02,Speech,Locale_NikkeEpisode:d_nikke_rosanna_02_6,True,,10,10,1.0,,rosanna,rosanna,,,,,,1,idle,
d_nikke_rosanna_02_7,d_nikke_rosanna_02,Speech,Locale_NikkeEpisode:d_nikke_rosanna_02_7,True,,10,10,1.0,,rosanna,rosanna,,,,,,1,idle,
d_nikke_rosanna_02_8,d_nikke_rosanna_02,Self,Locale_NikkeEpisode:d_nikke_rosanna_02_8,False,,10,10,1.0,,,,,,,,,1,idle,
d_nikke_rosanna_02_9,d_nikke_rosanna_02,Speech,Locale_NikkeEpisode:d_nikke_rosanna_02_9,True,,10,10,1.0,,rosanna,rosanna,,,,,,1,idle,
d_nikke_rosanna_02_10,d_nikke_rosanna_02,Self,Locale_NikkeEpisode:d_nikke_rosanna_02_10,False,,10,10,1.0,,,,,,,,,1,idle,
d_nikke_rosanna_02_11,d_nikke_rosanna_02,Speech,Locale_NikkeEpisode:d_nikke_rosanna_02_11,True,,10,10,1.0,,rosanna,rosanna,d_nikke_rosanna_02_13,,,,,1,good,
d_nikke_rosanna_02_12,d_nikke_rosanna_02,Speech,Locale_NikkeEpisode:d_nikke_rosanna_02_12,True,,10,10,1.0,,rosanna,rosanna,d_nikke_rosanna_02_13,,,,,1,good,
d_nikke_rosanna_02_13,d_nikke_rosanna_02,Speech,Locale_NikkeEpisode:d_nikke_rosanna_02_13,True,,10,10,1.0,,rosanna,rosanna,,,,,,1,good,
d_nikke_rosanna_02_14,d_nikke_rosanna_02,Speech,Locale_NikkeEpisode:d_nikke_rosanna_02_14,True,,10,10,1.0,,rosanna,rosanna,,,,,,1,idle,
d_nikke_rosanna_02_15,d_nikke_rosanna_02,Self,Locale_NikkeEpisode:d_nikke_rosanna_02_15,False,,10,10,1.0,,,,,,,,,1,idle,
d_nikke_rosanna_02_16,d_nikke_rosanna_02,Speech,Locale_NikkeEpisode:d_nikke_rosanna_02_16,True,,10,1,1.0,,rosanna,rosanna,,,,,,1,idle,
