id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,conversation_id,highlight,speaker,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/hide_char_id,fade,characters/1/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/2/hide_char_id,characters/4/hide_char_id,characters/0/hide_char_id,set_camera_shake
d_nikke_mana_01_1,d_nikke_mana_01,Monologue,Locale_NikkeEpisode:d_nikke_mana_01_1,False,CommanderRoom_n,1,1,1.0,bgm_story_breakaway,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_2,d_nikke_mana_01,Self,Locale_NikkeEpisode:d_nikke_mana_01_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_3,d_nikke_mana_01,Monologue,Locale_NikkeEpisode:d_nikke_mana_01_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_4,d_nikke_mana_01,Narration,Locale_NikkeEpisode:d_nikke_mana_01_4,False,,1,1,1.0,,sfx_scn_phonevibration,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_5,d_nikke_mana_01,Monologue,Locale_NikkeEpisode:d_nikke_mana_01_5,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_6,d_nikke_mana_01,Self,Locale_NikkeEpisode:d_nikke_mana_01_6,False,,1,1,1.0,,,m_nikke_mana_01,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_7,d_nikke_mana_01,Self,Locale_NikkeEpisode:d_nikke_mana_01_7,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_8,d_nikke_mana_01,Monologue,Locale_NikkeEpisode:d_nikke_mana_01_8,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_9,d_nikke_mana_01,Self,Locale_NikkeEpisode:d_nikke_mana_01_9,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_10,d_nikke_mana_01,Monologue,Locale_NikkeEpisode:d_nikke_mana_01_10,False,,1,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_11,d_nikke_mana_01,Monologue,Locale_NikkeEpisode:d_nikke_mana_01_11,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_12,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_12,True,,10,10,1.0,,,,ether_op,ether_op,ether_op,OP_center,idle,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_13,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_13,True,,10,10,1.0,,,,ether_op,ether_op,,OP_center,idle,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_14,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_14,True,,10,10,1.0,,,,ether_op,ether_op,,OP_center,delight,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_15,d_nikke_mana_01,Self,Locale_NikkeEpisode:d_nikke_mana_01_15,False,,10,10,1.0,,,,ether_op,,,OP_center,delight,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_16,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_16,True,,10,10,1.0,,,,ether_op,ether_op,,OP_center,idle,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_17,d_nikke_mana_01,Self,Locale_NikkeEpisode:d_nikke_mana_01_17,False,,10,10,1.0,,,,ether_op,,,OP_center,idle,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_18,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_18,False,,10,10,1.0,,,,ether_op,ether_op,,OP_center,idle,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_19,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_19,True,,10,10,1.0,,,,ether_op,ether_op,,OP_center,delight,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_20,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_20,True,,10,10,1.0,,,,ether_op,ether_op,,OP_center,delight,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_21,d_nikke_mana_01,Self,Locale_NikkeEpisode:d_nikke_mana_01_21,False,,10,10,1.0,,,,ether_op,,,OP_center,delight,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_22,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_22,True,,10,10,1.0,,,,ether_op,ether_op,,OP_center,idle,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_23,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_23,True,,10,10,1.0,,,,ether_op,ether_op,,OP_center,idle,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_24,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_24,True,,10,10,1.0,,,,ether_op,ether_op,,OP_center,idle,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_25,d_nikke_mana_01,Self,Locale_NikkeEpisode:d_nikke_mana_01_25,False,,10,10,1.0,,,,ether_op,,,OP_center,idle,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_26,d_nikke_mana_01,Self,Locale_NikkeEpisode:d_nikke_mana_01_26,False,,10,10,1.0,,,,ether_op,,,OP_center,idle,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_27,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_27,True,,10,10,1.0,,,,ether_op,ether_op,,OP_center,delight,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_28,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_28,True,,10,10,1.0,,,,ether_op,ether_op,,OP_center,idle,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_29,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_29,True,,10,10,1.0,,,,ether_op,ether_op,,OP_center,idle,,,,,,,,,,,,,,,,,,,
d_nikke_mana_01_30,d_nikke_mana_01,Monologue,Locale_NikkeEpisode:d_nikke_mana_01_30,False,Bar,black,black,1.0,none,,,,,,OP_center,idle,mana,1,delight,yulha,3,sad,brid,13,pain,ether_op,black,,,,,,,,
d_nikke_mana_01_31,d_nikke_mana_01,Monologue,Locale_NikkeEpisode:d_nikke_mana_01_31,False,,black,black,1.0,,,,,,,,,,1,delight,,3,sad,,13,pain,,,,,,,,,,
d_nikke_mana_01_32,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_32,False,,10,10,1.0,bgm_story_cottoncandy,,,mana,mana,,,,,1,delight,,3,sad,,13,pain,,,,,,,,,,
d_nikke_mana_01_33,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_33,False,,L_30,L_30,1.0,,,,yulha,yulha,,,,,1,delight,,3,sad,,13,pain,,,,,,,,,,
d_nikke_mana_01_34,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_34,False,,130,130,1.0,,,,brid,brid,,,,,1,delight,,3,sad,,13,pain,,,,,,,,,,
d_nikke_mana_01_35,d_nikke_mana_01,Monologue,Locale_NikkeEpisode:d_nikke_mana_01_35,False,,130,13,1.0,,,,brid,,,,,,1,delight,,3,sad,,13,pain,,,,,,,,,,
d_nikke_mana_01_36,d_nikke_mana_01,Self,Locale_NikkeEpisode:d_nikke_mana_01_36,False,,13,2,1.0,,,,brid,,,,,,1,delight,,3,sad,,13,pain,,,,,,,,,,
d_nikke_mana_01_37,d_nikke_mana_01,Self,Locale_NikkeEpisode:d_nikke_mana_01_37,False,,2,2,1.0,,,,brid,,,,,,1,delight,,3,sad,,13,pain,,,,,,,,,,
d_nikke_mana_01_38,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_38,True,,2,L_30,1.0,,,,yulha,yulha,,,,,1,delight,,3,idle,,13,pain,,,,,,,,,,
d_nikke_mana_01_39,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_39,True,,L_30,L_30,1.0,,,,yulha,yulha,,,,,1,delight,,3,idle,,13,pain,,,,,,,,,,
d_nikke_mana_01_40,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_40,True,,L_30,L_30,1.0,,,,yulha,yulha,,,,,1,delight,,3,idle,,13,pain,,,,,,,,,,
d_nikke_mana_01_41,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_41,True,,L_30,L_30,1.0,,,,yulha,yulha,,,,,1,delight,,3,angry,,13,pain,,,,,,,,,,
d_nikke_mana_01_42,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_42,True,,L_30,L_30,1.0,,,,yulha,yulha,,,,,1,delight,,3,angry,,13,pain,,,,,,,,,,
d_nikke_mana_01_43,d_nikke_mana_01,Self,Locale_NikkeEpisode:d_nikke_mana_01_43,False,,L_30,L_30,1.0,,,,yulha,,,,,,1,delight,,3,angry,,13,pain,,,,,,,,,,
d_nikke_mana_01_44,d_nikke_mana_01,Self,Locale_NikkeEpisode:d_nikke_mana_01_44,False,,L_30,L_30,1.0,,,,yulha,,,,,,1,delight,,3,angry,,13,pain,,,,,,,,,,
d_nikke_mana_01_45,d_nikke_mana_01,Self,Locale_NikkeEpisode:d_nikke_mana_01_45,False,,L_30,L_30,1.0,,,,yulha,,,,,,1,delight,,3,angry,,13,pain,,,,,,,,,,
d_nikke_mana_01_46,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_46,True,,L_30,L_30,1.0,,,,yulha,yulha,,,,,1,delight,,3,shy,,13,pain,,,,,,,,,,
d_nikke_mana_01_47,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_47,False,,L_30,L_30,1.0,,,,yulha,yulha,,,,,1,delight,,3,shy,,13,pain,,,,,,,,,,
d_nikke_mana_01_48,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_48,True,,L_30,L_300,0.7,,,,yulha,yulha,,,,,1,delight,,3,shy,,13,pain,,,,,,,,,,
d_nikke_mana_01_49,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_49,True,,L_300,L_300,1.0,,,,unknown,unknown,,,,,1,delight,,3,shy,,13,pain,,,,,,,,,,
d_nikke_mana_01_50,d_nikke_mana_01,Monologue,Locale_NikkeEpisode:d_nikke_mana_01_50,False,,L_300,3,1.0,,,,,,,,,,1,delight,,3,shy,,13,pain,,,,,,,,,,
d_nikke_mana_01_51,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_51,True,,3,4,1.0,,,,privaty,privaty,privaty,5,angry,,1,delight,,3,shy,,13,pain,,,,,,,,,,
d_nikke_mana_01_52,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_52,True,,4,4,1.0,,,,yulha,yulha,,5,angry,,1,delight,,3,shy,,13,pain,,,,,,,,,,
d_nikke_mana_01_53,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_53,True,,4,4,1.0,,,,yulha,yulha,,5,angry,,1,delight,,3,shy,,13,pain,,,,,,,,,,
d_nikke_mana_01_54,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_54,True,,4,4,1.0,,,,privaty,privaty,,5,surprise,,1,delight,,3,shy,,13,pain,,,,,,,,,,
d_nikke_mana_01_55,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_55,True,,4,4,1.0,,,,privaty,privaty,,5,shy,,1,delight,,3,shy,,13,pain,,,,,,,,,,
d_nikke_mana_01_56,d_nikke_mana_01,Speech,Locale_NikkeEpisode:d_nikke_mana_01_56,True,,4,4,1.0,,,,yulha,yulha,,5,shy,,1,delight,,3,sad,,13,pain,,,,,,,,,,
