id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,speaker,jump_target
treasurestory_milk_03_1,treasurestory_milk_03,Narration,Locale_NikkeEpisode:treasurestory_milk_03_1,False,CommanderRoom,1,1,1.0,bgm_story_languor,,,,,,,
treasurestory_milk_03_2,treasurestory_milk_03,Monologue,Locale_NikkeEpisode:treasurestory_milk_03_2,False,,1,S_10,1.0,,milk,milk,1,idle,sfx_scn_autodooropen,,
treasurestory_milk_03_3,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_3,True,,S_10,S_10,1.0,,milk,,1,idle,,milk,
treasurestory_milk_03_4,treasurestory_milk_03,Self,Locale_NikkeEpisode:treasurestory_milk_03_4,False,,S_10,S_10,1.0,,milk,,1,idle,,,
treasurestory_milk_03_5,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_5,True,,S_10,S_10,1.0,,milk,,1,idle,,milk,
treasurestory_milk_03_6,treasurestory_milk_03,Monologue,Locale_NikkeEpisode:treasurestory_milk_03_6,False,,S_10,S_30,1.0,,milk,,3,idle,,,
treasurestory_milk_03_7,treasurestory_milk_03,Monologue,Locale_NikkeEpisode:treasurestory_milk_03_7,False,,S_30,S_30,1.0,,milk,,3,idle,,,
treasurestory_milk_03_8,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_8,True,,S_30,S_30,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_9,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_9,True,,S_30,S_30,1.0,,milk,,3,good,,milk,
treasurestory_milk_03_10,treasurestory_milk_03,Self,Locale_NikkeEpisode:treasurestory_milk_03_10,False,,S_30,S_30,1.0,,milk,,3,good,,,
treasurestory_milk_03_11,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_11,True,,S_30,S_30,1.0,,milk,,3,good,,milk,
treasurestory_milk_03_12,treasurestory_milk_03,Monologue,Locale_NikkeEpisode:treasurestory_milk_03_12,False,,S_30,S_30,1.0,,milk,,3,idle,,,
treasurestory_milk_03_13,treasurestory_milk_03,Self,Locale_NikkeEpisode:treasurestory_milk_03_13,False,,S_30,S_30,1.0,,milk,,3,idle,,,
treasurestory_milk_03_14,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_14,True,,S_30,S_30,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_15,treasurestory_milk_03,Monologue,Locale_NikkeEpisode:treasurestory_milk_03_15,False,,S_30,S_30,1.0,none,milk,,3,idle,,,
treasurestory_milk_03_16,treasurestory_milk_03,Monologue,Locale_NikkeEpisode:treasurestory_milk_03_16,False,,S_30,S_30,1.0,,milk,,3,idle,,,
treasurestory_milk_03_17,treasurestory_milk_03,Narration,Locale_NikkeEpisode:treasurestory_milk_03_17,False,,S_30,S_30,1.0,,milk,,3,idle,sfx_scn_keyboard,,
treasurestory_milk_03_18,treasurestory_milk_03,Monologue,Locale_NikkeEpisode:treasurestory_milk_03_18,False,,S_30,S_300,1.0,,milk,,3,idle,,,
treasurestory_milk_03_19,treasurestory_milk_03,Choice,Locale_NikkeEpisode:treasurestory_milk_03_19,False,,S_300,S_300,1.0,,milk,,3,idle,,,treasurestory_milk_03_21
treasurestory_milk_03_20,treasurestory_milk_03,Choice,Locale_NikkeEpisode:treasurestory_milk_03_20,False,,S_300,S_300,1.0,,milk,,3,idle,,,treasurestory_milk_03_21
treasurestory_milk_03_21,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_21,True,,S_300,S_300,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_22,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_22,True,,S_300,S_300,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_23,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_23,False,,S_300,S_300,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_24,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_24,True,,S_300,S_300,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_25,treasurestory_milk_03,Self,Locale_NikkeEpisode:treasurestory_milk_03_25,False,,S_300,S_300,1.0,,milk,,3,idle,,,
treasurestory_milk_03_26,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_26,True,,S_300,S_300,1.0,,milk,,3,idle,,milk,
