id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id,jump_target
d_nikke_belorta_01_1,d_nikke_belorta_01,Monologue,Locale_NikkeEpisode:d_nikke_belorta_01_1,False,none,15,15,1.0,none,,,,,,,,,,,,,,
d_nikke_belorta_01_2,d_nikke_belorta_01,Narration,Locale_NikkeEpisode:d_nikke_belorta_01_2,False,,15,15,1.0,,sfx_scn_remotesignal,,,,,,,,,,,,,
d_nikke_belorta_01_3,d_nikke_belorta_01,Monologue,Locale_NikkeEpisode:d_nikke_belorta_01_3,False,CommanderRoom_n,15,15,1.0,,,,,,,,,,,,,,,
d_nikke_belorta_01_4,d_nikke_belorta_01,Self,Locale_NikkeEpisode:d_nikke_belorta_01_4,False,,15,15,1.0,,,,,,,,,,,,,,,
d_nikke_belorta_01_5,d_nikke_belorta_01,Monologue,Locale_NikkeEpisode:d_nikke_belorta_01_5,False,,15,13,1.0,,,,,,,,,,,,,,,
d_nikke_belorta_01_6,d_nikke_belorta_01,Narration,Locale_NikkeEpisode:d_nikke_belorta_01_6,False,,13,13,1.0,,sfx_scn_swallow,,,,,,,,,,,,,
d_nikke_belorta_01_7,d_nikke_belorta_01,Self,Locale_NikkeEpisode:d_nikke_belorta_01_7,False,,13,13,1.0,,,Low_2,,,,,,,,,,,,
d_nikke_belorta_01_8,d_nikke_belorta_01,Monologue,Locale_NikkeEpisode:d_nikke_belorta_01_8,False,,13,13,1.0,,,,,,,,,,,,,,,
d_nikke_belorta_01_9,d_nikke_belorta_01,Monologue,Locale_NikkeEpisode:d_nikke_belorta_01_9,False,,13,13,1.0,,,,,,,,,,,,,,,
d_nikke_belorta_01_10,d_nikke_belorta_01,Self,Locale_NikkeEpisode:d_nikke_belorta_01_10,False,,13,13,1.0,,,,,,,,,,,,,,,
d_nikke_belorta_01_11,d_nikke_belorta_01,Monologue,Locale_NikkeEpisode:d_nikke_belorta_01_11,False,,13,13,1.0,,,,,,,,,,,,,,,
