id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_mast_romanticmaid_05_1,d_nikke_mast_romanticmaid_05,Self,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_1,False,PiratePub,S_100,S_100,1.0,bgm_story_inwonderland,,,,,mast_m,1,idle
d_nikke_mast_romanticmaid_05_2,d_nikke_mast_romanticmaid_05,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_2,True,,S_100,S_100,1.0,,mast_m,,,,,1,idle
d_nikke_mast_romanticmaid_05_3,d_nikke_mast_romanticmaid_05,Monologue,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_3,False,,S_100,S_100,1.0,,,,,,,1,idle
d_nikke_mast_romanticmaid_05_4,d_nikke_mast_romanticmaid_05,Self,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_4,False,,S_100,S_100,1.0,,,,,,,1,idle
d_nikke_mast_romanticmaid_05_5,d_nikke_mast_romanticmaid_05,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_5,True,,S_100,S_10,1.0,,mast_m,,,,,1,idle
d_nikke_mast_romanticmaid_05_6,d_nikke_mast_romanticmaid_05,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_6,True,,S_10,S_10,1.0,,mast_m,,,,,1,idle
d_nikke_mast_romanticmaid_05_7,d_nikke_mast_romanticmaid_05,Choice,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_7,False,,S_10,S_10,1.0,,,d_nikke_mast_romanticmaid_05_12,,,,1,idle
d_nikke_mast_romanticmaid_05_8,d_nikke_mast_romanticmaid_05,Choice,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_8,False,,S_10,S_10,1.0,,,d_nikke_mast_romanticmaid_05_9,,,,1,idle
d_nikke_mast_romanticmaid_05_9,d_nikke_mast_romanticmaid_05,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_9,True,,S_10,S_10,1.0,,mast_m,,,,,1,idle
d_nikke_mast_romanticmaid_05_10,d_nikke_mast_romanticmaid_05,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_10,True,,S_10,S_10,1.0,,mast_m,,,,,1,idle
d_nikke_mast_romanticmaid_05_11,d_nikke_mast_romanticmaid_05,Self,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_11,False,,S_10,S_10,1.0,,,d_nikke_mast_romanticmaid_05_12,,,,1,idle
d_nikke_mast_romanticmaid_05_12,d_nikke_mast_romanticmaid_05,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_12,True,,S_10,S_10,1.0,,mast_m,,,,,1,idle
d_nikke_mast_romanticmaid_05_13,d_nikke_mast_romanticmaid_05,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_13,True,,S_10,S_10,1.0,,mast_m,,,,,1,idle
d_nikke_mast_romanticmaid_05_14,d_nikke_mast_romanticmaid_05,Self,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_14,False,,S_10,S_10,1.0,,,,,,,1,idle
d_nikke_mast_romanticmaid_05_15,d_nikke_mast_romanticmaid_05,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_15,True,,S_10,S_100,1.0,,mast_m,,,,,1,surprise
d_nikke_mast_romanticmaid_05_16,d_nikke_mast_romanticmaid_05,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_16,True,,S_100,S_100,1.0,,mast_m,,,,,1,shy2
d_nikke_mast_romanticmaid_05_17,d_nikke_mast_romanticmaid_05,Self,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_17,False,,S_100,S_100,1.0,,,,,,,1,shy2
d_nikke_mast_romanticmaid_05_18,d_nikke_mast_romanticmaid_05,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_18,True,,S_100,S_100,1.0,,mast_m,,,,,1,idle
d_nikke_mast_romanticmaid_05_19,d_nikke_mast_romanticmaid_05,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_19,True,,S_100,S_100,1.0,,mast_m,,,,,1,idle
d_nikke_mast_romanticmaid_05_20,d_nikke_mast_romanticmaid_05,Choice,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_20,False,,S_100,S_100,1.0,,,d_nikke_mast_romanticmaid_05_22,,,,1,idle
d_nikke_mast_romanticmaid_05_21,d_nikke_mast_romanticmaid_05,Choice,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_21,False,,S_100,S_100,1.0,,,d_nikke_mast_romanticmaid_05_23,,,,1,idle
d_nikke_mast_romanticmaid_05_22,d_nikke_mast_romanticmaid_05,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_22,True,,S_100,S_100,1.0,,mast_m,d_nikke_mast_romanticmaid_05_25,,,,1,angry
d_nikke_mast_romanticmaid_05_23,d_nikke_mast_romanticmaid_05,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_23,True,,S_100,S_100,1.0,,mast_m,,,,,1,angry
d_nikke_mast_romanticmaid_05_24,d_nikke_mast_romanticmaid_05,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_24,True,,S_100,S_100,1.0,,mast_m,d_nikke_mast_romanticmaid_05_25,,,,1,angry
d_nikke_mast_romanticmaid_05_25,d_nikke_mast_romanticmaid_05,Self,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_25,False,,S_100,S_100,1.0,,,,,,,1,angry
d_nikke_mast_romanticmaid_05_26,d_nikke_mast_romanticmaid_05,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_05_26,True,,S_100,S_100,1.0,,mast_m,,,,,1,idle
