id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_filter_01,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,conversation_id,characters/0/hide_char_id,fade,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,jump_target,set_camera_shake
d_nikke_admi_02_1,d_nikke_admi_02,Self,Self,Locale_NikkeEpisode:d_nikke_admi_02_1,False,rapi,3,idle,neon,1,idle,anis,13,idle,CommanderRoom,3,3,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,,
d_nikke_admi_02_2,d_nikke_admi_02,Speech,rapi,Locale_NikkeEpisode:d_nikke_admi_02_2,False,,3,idle,,1,idle,,13,idle,,3,30,1.0,,rapi,,,,,,,,,,,,,,,
d_nikke_admi_02_3,d_nikke_admi_02,Self,Self,Locale_NikkeEpisode:d_nikke_admi_02_3,False,,3,idle,,1,idle,,13,idle,,30,30,1.0,,rapi,,,,,,,,,,,,,,,
d_nikke_admi_02_4,d_nikke_admi_02,Speech,rapi,Locale_NikkeEpisode:d_nikke_admi_02_4,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,rapi,,,,,,,,,,,,,,,
d_nikke_admi_02_5,d_nikke_admi_02,Self,Self,Locale_NikkeEpisode:d_nikke_admi_02_5,False,,3,idle,,1,idle,,13,idle,,30,30,1.0,,rapi,,,,,,,,,,,,,,,
d_nikke_admi_02_6,d_nikke_admi_02,Speech,rapi,Locale_NikkeEpisode:d_nikke_admi_02_6,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,rapi,,,,,,,,,,,,,,,
d_nikke_admi_02_7,d_nikke_admi_02,Speech,rapi,Locale_NikkeEpisode:d_nikke_admi_02_7,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,rapi,,,,,,,,,,,,,,,
d_nikke_admi_02_8,d_nikke_admi_02,Speech,rapi,Locale_NikkeEpisode:d_nikke_admi_02_8,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,rapi,,,,,,,,,,,,,,,
d_nikke_admi_02_9,d_nikke_admi_02,Speech,tvvoice,Locale_NikkeEpisode:d_nikke_admi_02_9,False,,3,idle,,1,idle,,13,idle,,30,30,1.0,,rapi,,,,,,,,,,,,,,,
d_nikke_admi_02_10,d_nikke_admi_02,Self,Self,Locale_NikkeEpisode:d_nikke_admi_02_10,False,,3,idle,,1,idle,,13,no,,30,3,1.0,,rapi,,,,,,,,,,,,,,,
d_nikke_admi_02_11,d_nikke_admi_02,Speech,neon,Locale_NikkeEpisode:d_nikke_admi_02_11,True,,3,idle,,1,idle,,13,no,,3,12,1.0,,neon,,,,,,,,,,,,,,,
d_nikke_admi_02_12,d_nikke_admi_02,Speech,anis,Locale_NikkeEpisode:d_nikke_admi_02_12,True,,3,idle,,1,idle,,13,no,,12,12,1.0,,anis,,,,,,,,,,,,,,,
d_nikke_admi_02_13,d_nikke_admi_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_admi_02_13,False,,3,idle,,1,idle,,13,no,none,black,black,1.0,none,anis,,,,,,,,,,,,,,,
