id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_drake_02_1,d_nikke_drake_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_02_1,True,CommanderRoom,1,10,1.0,none,,,drake,1,idle,
d_nikke_drake_02_2,d_nikke_drake_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_02_2,True,,10,10,1.0,,,,,1,idle,
d_nikke_drake_02_3,d_nikke_drake_02,Choice,,,Locale_NikkeEpisode:d_nikke_drake_02_3,False,,10,10,1.0,,d_nikke_drake_02_5,,,1,idle,
d_nikke_drake_02_4,d_nikke_drake_02,Choice,,,Locale_NikkeEpisode:d_nikke_drake_02_4,False,,10,10,1.0,,d_nikke_drake_02_5,,,1,idle,
d_nikke_drake_02_5,d_nikke_drake_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_02_5,True,,10,10,1.0,,,,,1,idle,
d_nikke_drake_02_6,d_nikke_drake_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_02_6,True,,10,10,1.0,,,,,1,idle,
d_nikke_drake_02_7,d_nikke_drake_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_02_7,True,,10,100,0.5,bgm_story_whosdumber,,,,1,delight,
d_nikke_drake_02_8,d_nikke_drake_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_02_8,True,,100,100,1.0,,,,,1,delight,
d_nikke_drake_02_9,d_nikke_drake_02,Self,,,Locale_NikkeEpisode:d_nikke_drake_02_9,False,,100,100,1.0,,,,,1,delight,
d_nikke_drake_02_10,d_nikke_drake_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_02_10,False,,100,10,1.0,,,,,1,delight,
d_nikke_drake_02_11,d_nikke_drake_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_02_11,True,,10,10,1.0,,,,,1,angry,
d_nikke_drake_02_12,d_nikke_drake_02,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_02_12,True,,10,10,1.0,,,,,1,angry,
d_nikke_drake_02_13,d_nikke_drake_02,Self,,,Locale_NikkeEpisode:d_nikke_drake_02_13,False,,10,10,1.0,,,,,1,angry,
