id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce_02_02_01_1,d_nikke_ce_02_02_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_01_1,False,Factory,2,2,1.0,event_bgm_ce002_story_3,,,,,,,
d_nikke_ce_02_02_01_2,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_2,True,,2,2,1.0,,p12,p12,1,idle,ce_02_02,3,idle
d_nikke_ce_02_02_01_3,d_nikke_ce_02_02_01,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_01_3,True,,2,2,1.0,,ce_02_02,,1,idle,,3,idle
d_nikke_ce_02_02_01_4,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_4,True,,2,2,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_5,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_5,True,,2,2,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_6,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_6,True,,2,2,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_7,d_nikke_ce_02_02_01,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_01_7,False,,2,3,0.7,,ce_02_02,,1,idle,,3,think
d_nikke_ce_02_02_01_8,d_nikke_ce_02_02_01,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_01_8,True,,3,3,1.0,,ce_02_02,,1,idle,,3,think
d_nikke_ce_02_02_01_9,d_nikke_ce_02_02_01,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_01_9,True,,3,3,1.0,,ce_02_02,,1,idle,,3,think
d_nikke_ce_02_02_01_10,d_nikke_ce_02_02_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_01_10,False,,black,black,0.5,,,,1,idle,,3,think
d_nikke_ce_02_02_01_11,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_11,True,,2,2,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_12,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_12,True,,2,2,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_13,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_13,True,,2,2,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_14,d_nikke_ce_02_02_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_ce_02_02_01_14,False,,2,2,1.0,,,,1,idle,,3,idle
d_nikke_ce_02_02_01_15,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_15,True,,2,2,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_16,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_16,True,,2,2,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_17,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_17,True,,2,2,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_18,d_nikke_ce_02_02_01,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_01_18,True,,2,2,1.0,,ce_02_02,,1,idle,,3,idle
d_nikke_ce_02_02_01_19,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_19,True,,2,1,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_20,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_20,True,,1,1,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_21,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_21,True,,1,1,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_22,d_nikke_ce_02_02_01,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_01_22,False,,1,2,1.0,,ce_02_02,,1,idle,,3,think
d_nikke_ce_02_02_01_23,d_nikke_ce_02_02_01,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_01_23,True,,2,2,1.0,,ce_02_02,,1,idle,,3,idle
d_nikke_ce_02_02_01_24,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_24,True,,2,2,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_25,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_25,False,,2,2,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_26,d_nikke_ce_02_02_01,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_01_26,False,,2,2,1.0,,ce_02_02,,1,idle,,3,idle
d_nikke_ce_02_02_01_27,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_27,True,,2,2,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_28,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_28,True,,2,2,1.0,,p12,,1,idle,,3,idle
d_nikke_ce_02_02_01_29,d_nikke_ce_02_02_01,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_01_29,True,,2,2,1.0,,p12,,1,idle,,3,idle
