id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,jump_target,fade
d_nikke_miranda_04_1,d_nikke_miranda_04,Monologue,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_1,False,Park_n,5,1,2.0,bgm_story_destinedtofight,,,,,,,,,,,,
d_nikke_miranda_04_2,d_nikke_miranda_04,Monologue,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_2,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_miranda_04_3,d_nikke_miranda_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_3,True,,1,S_10,1.0,,miranda,miranda,1,idle,,,,,,,,
d_nikke_miranda_04_4,d_nikke_miranda_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_4,True,,S_10,S_10,1.0,,miranda,,1,idle,,,,,,,,
d_nikke_miranda_04_5,d_nikke_miranda_04,Self,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_5,False,,S_10,S_10,1.0,,,,1,idle,,,,,,,,
d_nikke_miranda_04_6,d_nikke_miranda_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_6,True,,S_10,S_10,1.0,,miranda,,1,idle,,,,,,,,
d_nikke_miranda_04_7,d_nikke_miranda_04,Narration,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_7,False,,S_10,S_100,2.0,,,,1,idle,,,,,,,,
d_nikke_miranda_04_8,d_nikke_miranda_04,Self,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_8,False,,S_100,S_100,1.0,,,,1,idle,,,,,,,,
d_nikke_miranda_04_9,d_nikke_miranda_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_9,True,,S_100,S_100,1.0,,miranda,,1,idle,,,,,,,,
d_nikke_miranda_04_10,d_nikke_miranda_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_10,True,,S_100,S_10,0.5,,miranda,,1,idle,,,,,,,,
d_nikke_miranda_04_11,d_nikke_miranda_04,Self,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_11,False,,S_10,S_10,1.0,,,,1,idle,,,,,,,,
d_nikke_miranda_04_12,d_nikke_miranda_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_12,True,,S_10,S_10,1.0,,miranda,,1,idle,,,,,,,,
d_nikke_miranda_04_13,d_nikke_miranda_04,Self,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_13,False,,S_10,S_10,1.0,,,,1,idle,,,,,,,,
d_nikke_miranda_04_14,d_nikke_miranda_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_14,True,,S_10,S_10,1.0,,miranda,,1,shy,,,,,,,,
d_nikke_miranda_04_15,d_nikke_miranda_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_15,True,,S_10,S_10,1.0,,miranda,,1,idle,,,,,,,,
d_nikke_miranda_04_16,d_nikke_miranda_04,Monologue,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_16,False,,S_10,S_100,1.0,,,,1,idle,miranda,,,,,,,
d_nikke_miranda_04_17,d_nikke_miranda_04,Monologue,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_17,False,,S_100,XS_300,1.0,,,,1,idle,,,,,,,,
d_nikke_miranda_04_18,d_nikke_miranda_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_18,True,,XS_300,S_100,1.0,,miranda,miranda,1,idle,,,,,,,,
d_nikke_miranda_04_19,d_nikke_miranda_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_19,True,,S_100,S_100,1.0,,miranda,,1,idle,,,,,,,,
d_nikke_miranda_04_20,d_nikke_miranda_04,Self,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_20,False,,S_100,S_100,1.0,,,,1,idle,,,,,,,,
d_nikke_miranda_04_21,d_nikke_miranda_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_21,True,,S_100,S_100,1.0,,miranda,,1,idle,,,,,,,,
d_nikke_miranda_04_22,d_nikke_miranda_04,Narration,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_22,False,,S_100,S_100,1.0,,,,1,idle,,sfx_scn_phonevibration,,,,,,
d_nikke_miranda_04_23,d_nikke_miranda_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_23,True,,S_100,S_10,0.5,,miranda,,1,idle,,,,,,,,
d_nikke_miranda_04_24,d_nikke_miranda_04,Narration,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_24,False,,S_10,S_10,1.0,,,,1,idle,,,,,,,,
d_nikke_miranda_04_25,d_nikke_miranda_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_25,True,,S_10,S_10,1.0,,miranda,,1,idle,,,poli_op,OP_leftup,angry,,,
d_nikke_miranda_04_26,d_nikke_miranda_04,Speech,poli_op,Locale_NikkeEpisode:d_nikke_miranda_04_26,True,,S_10,S_10,1.0,,poli,,1,idle,,,,OP_leftup,angry,,,
d_nikke_miranda_04_27,d_nikke_miranda_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_27,True,,S_10,S_10,1.0,,miranda,,1,idle,,,,OP_leftup,angry,,,
d_nikke_miranda_04_28,d_nikke_miranda_04,Speech,poli_op,Locale_NikkeEpisode:d_nikke_miranda_04_28,True,,S_10,S_10,1.0,,poli,,1,idle,,,,OP_leftup,angry,,,
d_nikke_miranda_04_29,d_nikke_miranda_04,Speech,poli_op,Locale_NikkeEpisode:d_nikke_miranda_04_29,True,,S_10,S_10,1.0,,poli,,1,idle,,,,OP_leftup,angry,,,
d_nikke_miranda_04_30,d_nikke_miranda_04,Speech,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_30,True,,S_10,1,1.0,,miranda,,1,idle,,,,OP_leftup,angry,,,
d_nikke_miranda_04_31,d_nikke_miranda_04,Narration,miranda,Locale_NikkeEpisode:d_nikke_miranda_04_31,False,,1,2,2.0,,,,1,idle,,,,OP_leftup,angry,,,
